,time_together
8477506_vs_8479425,17
8476429_vs_8479425,17
8477506_vs_8480800,21
8476429_vs_8480800,21
8479425_vs_8480865,23
8479425_vs_8483448,15
8480800_vs_8483448,15
8480800_vs_8480865,22
8477369_vs_8480865,14
8474574_vs_8480865,18
8477369_vs_8483448,12
8474574_vs_8483448,12
8477369_vs_8480306,13
8474574_vs_8480306,8
8477369_vs_8479395,15
8474574_vs_8479395,12
8480073_vs_8480306,11
8479395_vs_8480073,10
8479395_vs_8479576,9
8479576_vs_8480306,6
8476429_vs_8480073,12
8476429_vs_8479576,10
8477506_vs_8479576,9
8477506_vs_8480073,12
8480306_vs_8480800,12
8479395_vs_8480800,11
8479395_vs_8479425,15
8479425_vs_8480306,16
8480073_vs_8480865,12
8479576_vs_8480865,12
8480073_vs_8483448,11
8479576_vs_8483448,7
8474574_vs_8477506,13
8477369_vs_8477506,13
8476429_vs_8477369,12
8474574_vs_8476429,11
