,time_together
8482665_vs_8482745,7
8473986_vs_8477955,14
8477444_vs_8482745,7
8477955_vs_8482745,8
8477444_vs_8481533,9
8473986_vs_8477444,11
8473986_vs_8482665,11
8477955_vs_8481533,10
8481533_vs_8482665,9
8476905_vs_8481533,9
8476905_vs_8482745,8
8473986_vs_8476905,11
8476905_vs_8478366,15
8476458_vs_8476905,13
8476458_vs_8478466,9
8478466_vs_8478873,7
8475768_vs_8478873,9
8478366_vs_8478466,8
8475768_vs_8478366,13
8476905_vs_8478873,13
8475768_vs_8476458,10
8478466_vs_8483445,3
8475768_vs_8483445,7
8475768_vs_8480806,14
8478466_vs_8480806,8
8476905_vs_8483445,9
8478466_vs_8481517,5
8475768_vs_8481517,12
8476905_vs_8480806,14
8476905_vs_8481517,13
8481517_vs_8483524,7
8483445_vs_8483524,7
8480806_vs_8483524,9
8480009_vs_8483445,9
8480009_vs_8480806,9
8480009_vs_8481517,9
8477416_vs_8483445,7
8477416_vs_8480806,12
8477416_vs_8481517,10
8479293_vs_8482118,3
8478424_vs_8479293,2
8476826_vs_8477527,6
8477527_vs_8481789,4
8478424_vs_8481789,4
8476826_vs_8482118,5
8476826_vs_8478424,6
8481789_vs_8482118,5
8477527_vs_8479293,2
8478873_vs_8479293,11
8478366_vs_8479293,9
8478873_vs_8481789,6
8478366_vs_8481789,6
8476826_vs_8478873,9
8476458_vs_8479293,9
8476826_vs_8478366,8
8476458_vs_8481789,5
8476458_vs_8476826,9
8478873_vs_8480009,8
8478366_vs_8480009,7
8476458_vs_8480009,10
8476458_vs_8477416,10
8477416_vs_8478366,12
8477416_vs_8478873,9
8477416_vs_8482745,5
8480009_vs_8482745,9
8473986_vs_8480009,10
8477416_vs_8481533,5
8473986_vs_8477416,8
8480009_vs_8481533,10
8482745_vs_8483524,7
8481533_vs_8483524,6
8473986_vs_8483524,8
8477444_vs_8480806,12
8477444_vs_8481517,9
8480806_vs_8482665,14
8481517_vs_8482665,10
8477955_vs_8480806,14
8477955_vs_8481517,12
8477955_vs_8483445,9
8482665_vs_8483445,7
8477444_vs_8483445,9
8477955_vs_8478424,11
8477444_vs_8478424,10
8478424_vs_8482665,10
8475768_vs_8477527,7
8478466_vs_8482118,1
8475768_vs_8482118,6
8477527_vs_8478466,3
8478424_vs_8478466,4
8475768_vs_8478424,7
8476905_vs_8477527,8
8476905_vs_8482118,7
8476905_vs_8478424,9
8481533_vs_8481789,7
8479293_vs_8481533,10
8476826_vs_8481533,11
8477444_vs_8477527,6
8482118_vs_8482665,7
8477527_vs_8477955,8
8477444_vs_8482118,6
8477955_vs_8482118,7
8477527_vs_8482665,7
8473986_vs_8475768,8
8473986_vs_8478466,7
8475768_vs_8482745,4
8478466_vs_8482745,4
8478466_vs_8481533,5
8475768_vs_8481533,4
8473986_vs_8481789,6
8480806_vs_8481789,2
8481789_vs_8483445,1
8479293_vs_8483445,2
8479293_vs_8480806,2
8473986_vs_8479293,8
8476826_vs_8483445,5
8476826_vs_8480806,3
8479293_vs_8481517,3
8476826_vs_8481517,4
8481517_vs_8481789,2
8477416_vs_8477527,7
8477416_vs_8482118,7
8480009_vs_8482118,8
8477416_vs_8478424,9
8477527_vs_8480009,8
8478424_vs_8480009,8
8478424_vs_8483524,9
8482118_vs_8483524,7
8477527_vs_8483524,7
8478873_vs_8483524,5
8476458_vs_8483524,7
8476458_vs_8482665,4
8478873_vs_8482665,3
8477444_vs_8478873,3
8476458_vs_8477444,5
8477444_vs_8478366,6
8478366_vs_8482665,8
8477955_vs_8478366,8
8477955_vs_8478873,5
8476458_vs_8477955,7
8478366_vs_8483524,9
8473986_vs_8476826,11
8476826_vs_8482745,10
8479293_vs_8482745,7
8481789_vs_8482745,6
