,time_together
8478366_vs_8479998,20
8471685_vs_8475208,11
8478873_vs_8479998,21
8477960_vs_8481563,9
8477998_vs_8475208,7
8478366_vs_8478882,20
8476458_vs_8478882,20
8476458_vs_8479998,21
8471685_vs_8481563,7
8477998_vs_8481563,8
8478873_vs_8478882,21
8477960_vs_8475208,11
8481532_vs_8475462,8
8477998_vs_8483490,14
8481532_vs_8483490,9
8471685_vs_8475462,13
8477998_vs_8475462,13
8481533_vs_8478882,18
8471685_vs_8483490,17
8481533_vs_8479998,18
8482745_vs_8478882,16
8479661_vs_8475462,7
8482745_vs_8479998,16
8479661_vs_8483490,8
8473986_vs_8479998,16
8473986_vs_8478882,17
8479661_vs_8481605,9
8471685_vs_8481605,12
8471685_vs_8482803,13
8479661_vs_8482803,11
8481532_vs_8481605,10
8481532_vs_8482803,7
8482124_vs_8482803,13
8482745_vs_8476441,14
8481533_vs_8476441,11
8473986_vs_8476441,15
8482124_vs_8481605,13
8482745_vs_8482730,10
8481533_vs_8482730,9
8473986_vs_8482730,11
8483445_vs_8476441,16
8483445_vs_8482730,12
8480806_vs_8482730,12
8480806_vs_8476441,12
8481517_vs_8476441,14
8481517_vs_8482730,10
8482124_vs_8475462,10
8482124_vs_8483490,11
8477527_vs_8476441,6
8478424_vs_8476441,5
8482118_vs_8476441,5
8477527_vs_8482730,5
8478424_vs_8482730,6
8482118_vs_8482730,5
8481532_vs_8481563,8
8482124_vs_8481563,6
8479661_vs_8481563,8
8477942_vs_8481563,13
8481532_vs_8475208,9
8477942_vs_8475208,16
8479661_vs_8475208,7
8476479_vs_8481563,14
8476479_vs_8475208,17
8480806_vs_8479421,8
8478424_vs_8479421,7
8482118_vs_8479421,7
8483445_vs_8479421,8
8482155_vs_8481563,12
8481517_vs_8479421,7
8482155_vs_8475208,14
8480806_vs_8481606,6
8481517_vs_8481606,10
8483445_vs_8481606,9
8481533_vs_8481606,11
8477942_vs_8482803,8
8481533_vs_8479421,7
8482155_vs_8482803,9
8476479_vs_8482803,12
8482155_vs_8481605,9
8477942_vs_8481605,10
8476479_vs_8481605,10
8473986_vs_8479421,7
8473986_vs_8481606,13
8482745_vs_8481606,11
8482745_vs_8479421,6
8481732_vs_8481605,9
8481732_vs_8482803,9
8473453_vs_8481605,11
8473453_vs_8482803,12
8482726_vs_8482803,6
8482726_vs_8481605,7
8477960_vs_8482803,11
8477960_vs_8481605,11
8482726_vs_8475462,5
8477960_vs_8475462,14
8477998_vs_8482803,7
8477960_vs_8483490,18
8476458_vs_8482730,8
8478873_vs_8476441,10
8478366_vs_8482730,6
8478366_vs_8476441,10
8478873_vs_8482730,8
8476458_vs_8476441,10
8478873_vs_8479421,8
8478366_vs_8479421,5
8476458_vs_8479421,7
8482124_vs_8475208,6
8478366_vs_8481606,5
8480806_vs_8479998,8
8483445_vs_8478882,9
8483445_vs_8479998,9
8480806_vs_8478882,7
8481517_vs_8478882,9
8481517_vs_8479998,9
8477527_vs_8479998,3
8477527_vs_8478882,3
8482726_vs_8483490,3
8473453_vs_8483490,8
8473453_vs_8475462,5
8478424_vs_8481606,6
8481732_vs_8483490,4
8481732_vs_8475462,5
8477527_vs_8481606,6
8477527_vs_8479421,6
8482118_vs_8481606,6
8478873_vs_8481606,8
8473453_vs_8475208,5
8476479_vs_8483490,8
8476458_vs_8481606,7
8473453_vs_8481563,5
8477942_vs_8475462,9
8477942_vs_8483490,10
8477998_vs_8481605,6
8482155_vs_8483490,9
8482155_vs_8475462,8
8476479_vs_8475462,8
8482726_vs_8481563,5
8482726_vs_8475208,4
8481732_vs_8475208,3
8481732_vs_8481563,4
8478424_vs_8479998,1
8482118_vs_8479998,1
8478424_vs_8478882,1
8482118_vs_8478882,1
