,time_together
8475188_vs_8481563,20
8475208_vs_8477447,17
8475188_vs_8475208,18
8477447_vs_8481563,17
8475208_vs_8478396,14
8478396_vs_8481563,15
8474565_vs_8481563,17
8474565_vs_8475208,16
8474565_vs_8475764,16
8475764_vs_8478396,16
8475462_vs_8478396,17
8474565_vs_8475462,18
8475764_vs_8479980,11
8475462_vs_8479980,13
8475462_vs_8481527,13
8475764_vs_8481527,12
8479980_vs_8482803,16
8481527_vs_8482803,14
8481527_vs_8481605,13
8479980_vs_8481605,14
8475208_vs_8479980,8
8479980_vs_8481563,7
8481527_vs_8481563,6
8475208_vs_8481527,7
8475188_vs_8475462,11
8475462_vs_8477447,11
8475764_vs_8477447,11
8475188_vs_8475764,11
8474565_vs_8482803,9
8478396_vs_8482803,10
8478396_vs_8481605,10
8475188_vs_8482803,13
8475188_vs_8481605,13
8477447_vs_8482803,12
8477447_vs_8481605,13
8474565_vs_8481605,8
