,time_together
8477500_vs_8479675,16
8477960_vs_8484958,18
8471685_vs_8477500,17
8476419_vs_8479675,12
8477500_vs_8477960,18
8471685_vs_8484958,16
8471685_vs_8476419,15
8476419_vs_8477960,19
8479675_vs_8484958,15
8475754_vs_8477960,15
8475754_vs_8479675,16
8471685_vs_8475754,16
8475151_vs_8477942,15
8475754_vs_8476479,16
8475314_vs_8476479,13
8475151_vs_8482155,15
8475754_vs_8477942,15
8475314_vs_8477942,11
8475754_vs_8482155,15
8475314_vs_8482155,12
8475151_vs_8476479,16
8477942_vs_8480789,7
8475151_vs_8482124,14
8475754_vs_8482124,15
8480789_vs_8482124,9
8480789_vs_8482155,8
8481601_vs_8482155,5
8481601_vs_8482124,13
8477942_vs_8481601,11
8475231_vs_8479661,9
8479661_vs_8481601,8
8477998_vs_8481601,13
8479661_vs_8480789,7
8475231_vs_8482124,10
8477998_vs_8480789,7
8475231_vs_8477998,11
8477998_vs_8478115,6
8478115_vs_8479661,8
8479661_vs_8481237,5
8477998_vs_8481237,7
8481601_vs_8482726,9
8481237_vs_8482726,4
8478115_vs_8482726,6
8478115_vs_8481532,5
8481532_vs_8481601,7
8481237_vs_8481532,7
8477942_vs_8478115,7
8474709_vs_8477942,4
8474709_vs_8481532,6
8474709_vs_8482726,3
8477942_vs_8481237,5
8475231_vs_8477942,9
8475231_vs_8482155,4
8475314_vs_8482124,11
8475151_vs_8477998,12
8475314_vs_8477998,10
8475314_vs_8479661,7
8475151_vs_8479661,8
8480789_vs_8482726,7
8480789_vs_8481532,8
8481237_vs_8482155,6
8475151_vs_8477960,12
8471685_vs_8475314,12
8475314_vs_8477960,11
8471685_vs_8475151,14
8475314_vs_8479675,14
8475151_vs_8479675,13
8476479_vs_8477500,12
8476479_vs_8484958,9
8476479_vs_8481601,10
8479675_vs_8481601,8
8476419_vs_8476479,8
8476419_vs_8477998,9
8482124_vs_8484958,8
8476419_vs_8482124,8
8477998_vs_8484958,7
8477960_vs_8481601,8
8481237_vs_8482124,7
8477960_vs_8481237,4
8474709_vs_8477960,3
8471685_vs_8474709,4
8471685_vs_8481237,5
8471685_vs_8478115,4
8477960_vs_8478115,5
8475754_vs_8482726,4
8475754_vs_8481532,8
8474709_vs_8479661,3
8475754_vs_8479661,8
8475151_vs_8482726,4
8475151_vs_8481532,7
8475314_vs_8482726,4
8475314_vs_8481532,6
8476419_vs_8479661,6
8477500_vs_8482124,7
8479661_vs_8484958,6
8477500_vs_8477998,9
8477500_vs_8479661,6
8475231_vs_8477960,3
8478115_vs_8482124,7
8477960_vs_8480789,4
8478115_vs_8482155,5
8475231_vs_8482726,6
8476479_vs_8481237,4
8474709_vs_8482155,6
8474709_vs_8476479,3
8476479_vs_8478115,6
8471685_vs_8475231,4
8471685_vs_8481601,6
8475754_vs_8477998,12
8482155_vs_8484958,4
8477500_vs_8482155,4
8477500_vs_8477942,8
8477942_vs_8484958,8
8476419_vs_8477942,9
8476419_vs_8482155,3
8477500_vs_8481532,5
8476419_vs_8481532,3
8475231_vs_8481532,4
8475231_vs_8479675,5
8479675_vs_8480789,5
8481532_vs_8484958,3
8474709_vs_8477998,4
8474709_vs_8482124,5
8476479_vs_8480789,4
8475231_vs_8476479,8
8471685_vs_8480789,2
8478115_vs_8479675,3
8479675_vs_8481237,2
8474709_vs_8479675,2
8477500_vs_8482726,1
