,time_together
8473422_vs_8478115,7
8477450_vs_8481601,8
8476882_vs_8481601,4
8477450_vs_8478115,6
8476882_vs_8478115,8
8475231_vs_8476882,7
8473422_vs_8475231,7
8475231_vs_8477450,5
8473422_vs_8481601,8
8475231_vs_8481624,7
8481601_vs_8481624,12
8478115_vs_8481624,8
8475314_vs_8480798,11
8475151_vs_8481624,10
8475754_vs_8481624,13
8475151_vs_8484144,12
8475314_vs_8481624,12
8475754_vs_8484144,16
8475151_vs_8480798,7
8475314_vs_8484144,10
8475754_vs_8480798,11
8477500_vs_8477987,6
8476419_vs_8477987,7
8475791_vs_8477500,5
8477479_vs_8484958,10
8477987_vs_8484958,6
8475791_vs_8484958,11
8475791_vs_8476419,6
8476419_vs_8477479,9
8477479_vs_8477500,8
8474034_vs_8477500,7
8482117_vs_8484958,7
8477500_vs_8482117,9
8474034_vs_8484958,6
8476419_vs_8482117,10
8474034_vs_8476419,7
8474034_vs_8480789,4
8480789_vs_8482117,5
8477479_vs_8480789,6
8475225_vs_8477500,7
8475225_vs_8480789,4
8475225_vs_8484958,5
8481237_vs_8482117,8
8474034_vs_8481237,6
8475225_vs_8481237,6
8474709_vs_8482117,5
8474709_vs_8475225,5
8474034_vs_8474709,6
8474034_vs_8475231,3
8474034_vs_8478115,2
8475231_vs_8482117,5
8475225_vs_8475231,3
8475225_vs_8478115,5
8481601_vs_8482117,10
8475225_vs_8481601,7
8478115_vs_8482117,5
8474034_vs_8481601,6
8481601_vs_8484144,12
8478115_vs_8484144,6
8475231_vs_8484144,7
8474034_vs_8475754,5
8478115_vs_8480798,11
8480798_vs_8481601,11
8475314_vs_8476882,10
8475754_vs_8476882,15
8475151_vs_8476882,11
8476882_vs_8477500,9
8477500_vs_8480798,6
8477500_vs_8484144,12
8476882_vs_8484958,10
8476419_vs_8477450,8
8473422_vs_8484958,12
8473422_vs_8476419,8
8477450_vs_8477500,11
8477450_vs_8484958,13
8476419_vs_8476882,9
8473422_vs_8477500,10
8477450_vs_8480789,2
8476882_vs_8480789,5
8473422_vs_8480789,3
8475791_vs_8480789,5
8477987_vs_8480789,6
8477479_vs_8481237,4
8477987_vs_8481237,5
8475791_vs_8481237,4
8474709_vs_8475791,4
8474709_vs_8477479,3
8474709_vs_8477987,5
8477479_vs_8478115,6
8477987_vs_8478115,7
8475231_vs_8477987,7
8477987_vs_8481601,5
8475791_vs_8481601,7
8475791_vs_8478115,7
8475231_vs_8477479,6
8477479_vs_8481601,7
8475231_vs_8475791,6
8475225_vs_8475754,5
8475754_vs_8482117,6
8474034_vs_8475314,2
8475225_vs_8475314,2
8475314_vs_8482117,3
8475151_vs_8475225,5
8474034_vs_8475151,4
8475151_vs_8482117,4
8484144_vs_8484958,7
8475151_vs_8477450,16
8475754_vs_8477987,8
8475314_vs_8477987,8
8475151_vs_8477479,10
8475151_vs_8477987,7
8475151_vs_8475791,11
8475754_vs_8477479,10
8475314_vs_8477479,7
8475754_vs_8475791,11
8475314_vs_8475791,6
8475231_vs_8480798,9
8476419_vs_8481624,10
8476419_vs_8480798,9
8476419_vs_8484144,12
8475225_vs_8476419,6
8477450_vs_8481237,2
8476882_vs_8481237,5
8474709_vs_8476882,4
8474709_vs_8477450,2
8473422_vs_8474709,3
8473422_vs_8481237,3
8475754_vs_8477450,15
8481237_vs_8484144,5
8480798_vs_8481237,7
8480789_vs_8480798,7
8480789_vs_8484144,3
8474709_vs_8480798,6
8474709_vs_8484144,4
8480789_vs_8481624,5
8474709_vs_8481624,5
8481237_vs_8481624,5
8473422_vs_8475754,12
8473422_vs_8475314,9
8473422_vs_8475151,13
8475314_vs_8477450,8
8477500_vs_8481624,8
8481624_vs_8484958,4
8480798_vs_8484958,4
