,time_together
8473419_vs_8475172,17
8477496_vs_8481028,16
8476456_vs_8479638,10
8473419_vs_8476456,16
8476456_vs_8477496,20
8475172_vs_8479638,11
8473419_vs_8481028,15
8479638_vs_8481028,11
8475172_vs_8477496,20
8474150_vs_8477496,13
8473419_vs_8474150,14
8474150_vs_8479638,6
8474150_vs_8478401,23
8474150_vs_8479987,19
8479987_vs_8482679,17
8476399_vs_8477956,22
8478401_vs_8482679,22
8474150_vs_8477956,26
8476399_vs_8478401,21
8477956_vs_8482679,23
8476399_vs_8479987,18
8474150_vs_8475745,11
8475745_vs_8476399,7
8475745_vs_8482679,10
8479987_vs_8481592,9
8480355_vs_8481592,12
8479987_vs_8482074,7
8480355_vs_8482074,13
8476399_vs_8480355,1
8475745_vs_8481592,11
8475745_vs_8482074,10
8475745_vs_8481068,9
8479987_vs_8481068,10
8480355_vs_8481068,12
8479365_vs_8481068,13
8479365_vs_8482074,13
8479365_vs_8481592,15
8479066_vs_8483397,9
8482652_vs_8483397,8
8481556_vs_8482652,7
8479291_vs_8481043,8
8479291_vs_8481556,9
8479291_vs_8483397,10
8481043_vs_8482652,6
8479066_vs_8481043,7
8479066_vs_8481556,8
8477496_vs_8479291,6
8477496_vs_8482652,3
8477496_vs_8479066,5
8479291_vs_8479638,6
8479066_vs_8479638,5
8473419_vs_8479066,6
8473419_vs_8479291,6
8476456_vs_8478401,15
8475172_vs_8478401,10
8478401_vs_8481028,7
8479638_vs_8482679,6
8473419_vs_8482679,15
8476456_vs_8479987,14
8477956_vs_8481592,9
8477956_vs_8481068,13
8474150_vs_8479365,8
8474150_vs_8480355,2
8479365_vs_8482652,6
8475745_vs_8482652,5
8480355_vs_8482652,5
8479066_vs_8479365,6
8475745_vs_8479066,5
8479066_vs_8480355,5
8479365_vs_8481028,7
8480355_vs_8481028,7
8475745_vs_8481028,13
8481556_vs_8482074,5
8481028_vs_8481043,5
8481043_vs_8482074,3
8481028_vs_8481556,7
8481028_vs_8483397,6
8475172_vs_8481556,7
8475172_vs_8483397,5
8475172_vs_8481043,5
8481556_vs_8482679,3
8476456_vs_8481556,7
8477496_vs_8482679,12
8478401_vs_8481592,8
8476456_vs_8477956,12
8482074_vs_8483397,3
8481043_vs_8481592,3
8481043_vs_8481068,3
8481592_vs_8483397,3
8481068_vs_8483397,3
8481068_vs_8481556,4
8481556_vs_8481592,5
8475745_vs_8479291,4
8479291_vs_8479365,5
8479291_vs_8480355,4
8475745_vs_8476456,15
8479638_vs_8482652,5
8475172_vs_8479365,6
8475172_vs_8475745,13
8476456_vs_8479365,7
8473419_vs_8482652,5
8476456_vs_8483397,5
8477496_vs_8481068,3
8473419_vs_8481068,4
8477496_vs_8481592,5
8473419_vs_8481592,5
8473419_vs_8482074,5
8477496_vs_8482074,4
8478401_vs_8481068,12
8478401_vs_8482074,10
8477956_vs_8481028,5
8477956_vs_8482074,11
8479987_vs_8481028,9
8475172_vs_8477956,8
8475172_vs_8479987,8
8474150_vs_8481043,4
8474150_vs_8481556,2
8476456_vs_8481043,6
8481043_vs_8482679,3
8482679_vs_8483397,4
8476399_vs_8481556,3
8476399_vs_8483397,5
8474150_vs_8483397,5
8476399_vs_8481043,3
8473419_vs_8476399,8
8476399_vs_8477496,8
8479638_vs_8482074,7
8479638_vs_8481592,8
8479638_vs_8481068,7
8476456_vs_8480355,6
8475172_vs_8480355,5
8480355_vs_8482679,2
8476399_vs_8479638,4
8476399_vs_8479365,4
8479365_vs_8482679,4
8477956_vs_8482652,4
8477956_vs_8479066,5
8477956_vs_8479291,6
8479987_vs_8482652,4
8478401_vs_8482652,4
8478401_vs_8479066,4
8478401_vs_8479291,4
8479291_vs_8479987,3
8479066_vs_8479987,3
