,time_together
8482671_vs_8482964,16
8480807_vs_8482964,12
8475233_vs_8482671,14
8475233_vs_8480807,11
8476875_vs_8480035,17
8476875_vs_8481524,21
8480035_vs_8483457,14
8481524_vs_8483457,16
8480807_vs_8483457,13
8476875_vs_8482671,18
8476875_vs_8480807,15
8482671_vs_8483457,13
8476875_vs_8477365,8
8477365_vs_8483457,10
8477365_vs_8482087,9
8480807_vs_8482087,14
8480807_vs_8482111,9
8477365_vs_8482111,11
8478502_vs_8482087,9
8478502_vs_8482111,10
8480035_vs_8482111,9
8480035_vs_8482087,15
8477365_vs_8482964,9
8480035_vs_8482964,14
8475233_vs_8477365,5
8475233_vs_8480035,10
8475233_vs_8481524,10
8481524_vs_8482964,16
8478502_vs_8483457,6
8481524_vs_8482087,17
8481524_vs_8482111,9
8482087_vs_8482671,17
8475233_vs_8478502,6
8478502_vs_8482964,8
8482111_vs_8482671,9
8476875_vs_8478502,5
