,time_together
8475208_vs_8478038,17
8483490_vs_8484258,15
8478038_vs_8483490,13
8475208_vs_8484258,16
8475462_vs_8479398,14
8479398_vs_8481605,21
8475462_vs_8480069,13
8480069_vs_8481605,21
8476885_vs_8480069,13
8476885_vs_8479398,11
8480069_vs_8482803,12
8479398_vs_8482803,17
8478038_vs_8482803,16
8476885_vs_8478038,15
8476885_vs_8484258,13
8482803_vs_8484258,13
8475177_vs_8475208,14
8475177_vs_8483490,12
8479387_vs_8483490,8
8475208_vs_8479387,8
8475177_vs_8482803,15
8475177_vs_8476885,10
8475177_vs_8475462,8
8475208_vs_8479398,13
8475208_vs_8480069,9
8480069_vs_8483490,6
8479398_vs_8483490,8
8478038_vs_8481605,14
8475462_vs_8478038,8
8475462_vs_8484258,5
8481605_vs_8484258,6
8475177_vs_8481605,11
8479387_vs_8481605,5
8479387_vs_8482803,6
8475462_vs_8479387,2
8476885_vs_8479387,4
