,time_together
8483464_vs_8482087,14
8476469_vs_8481607,9
8482476_vs_8481607,9
8480813_vs_8482087,8
8476469_vs_8476979,15
8482476_vs_8476979,10
8480813_vs_8478851,7
8478133_vs_8481607,9
8478432_vs_8478851,8
8483464_vs_8478851,14
8478432_vs_8482087,8
8478133_vs_8476979,15
8481540_vs_8475718,6
8481540_vs_8476979,4
8483515_vs_8475718,7
8483515_vs_8476979,6
8482078_vs_8483457,13
8480813_vs_8483457,13
8482078_vs_8476875,16
8477946_vs_8483457,14
8480813_vs_8476875,11
8480018_vs_8475718,6
8480018_vs_8476979,6
8477946_vs_8476875,15
8475765_vs_8476875,14
8475765_vs_8483457,7
8481540_vs_8475279,15
8483515_vs_8475279,15
8480018_vs_8475279,15
8480018_vs_8481542,15
8481540_vs_8481542,15
8483515_vs_8481542,15
8477456_vs_8476875,13
8479992_vs_8483457,13
8479992_vs_8476875,15
8477353_vs_8483457,13
8477353_vs_8476875,11
8477456_vs_8483457,13
8476981_vs_8475718,13
8476981_vs_8475279,7
8477989_vs_8475279,8
8477989_vs_8475718,12
8475848_vs_8473507,12
8477989_vs_8473507,13
8476981_vs_8473507,13
8475848_vs_8475718,12
8477946_vs_8478851,14
8475765_vs_8478851,13
8482078_vs_8478851,14
8475765_vs_8482087,13
8482078_vs_8482087,13
8477946_vs_8482087,13
8474141_vs_8482087,11
8477429_vs_8478851,12
8479337_vs_8478851,11
8477429_vs_8482087,12
8479337_vs_8482087,10
8474141_vs_8478851,12
8479339_vs_8475279,12
8482078_vs_8482964,7
8481523_vs_8475279,15
8475765_vs_8475233,11
8481618_vs_8481542,14
8475765_vs_8482964,8
8477946_vs_8482964,8
8479339_vs_8481542,13
8481523_vs_8481542,13
8481618_vs_8475279,14
8482078_vs_8475233,9
8477946_vs_8475233,11
8483464_vs_8475233,12
8483464_vs_8482964,10
8483464_vs_8476875,12
8482476_vs_8481542,4
8478432_vs_8476875,10
8476469_vs_8475279,4
8482476_vs_8475279,4
8478432_vs_8475233,8
8476469_vs_8481542,12
8480813_vs_8475233,7
8481523_vs_8481607,5
8481523_vs_8476979,5
8478432_vs_8483457,9
8483464_vs_8483457,10
8477456_vs_8478851,11
8477353_vs_8478851,5
8479992_vs_8478851,6
8477989_vs_8481542,8
8474141_vs_8483457,8
8477429_vs_8483457,8
8475848_vs_8481542,7
8479337_vs_8483457,7
8477429_vs_8475233,12
8474141_vs_8475233,14
8479337_vs_8475233,14
8476981_vs_8481542,6
8475848_vs_8475279,7
8480813_vs_8482964,7
8478432_vs_8482964,7
8477429_vs_8482964,10
8479337_vs_8482964,11
8474141_vs_8482964,11
8478133_vs_8475279,3
8478133_vs_8481542,11
8477456_vs_8475233,7
8479992_vs_8475233,7
8477353_vs_8475233,5
8477456_vs_8482964,6
8479992_vs_8482964,7
8477353_vs_8482964,5
8475848_vs_8476979,3
8477989_vs_8481607,3
8476981_vs_8481607,3
8476981_vs_8476979,7
8477989_vs_8476979,8
8475848_vs_8481607,3
8478133_vs_8473507,7
8482476_vs_8475718,6
8476469_vs_8475718,8
8476469_vs_8473507,6
8482476_vs_8473507,5
8478133_vs_8475718,9
8481618_vs_8475718,8
8481618_vs_8473507,7
8479339_vs_8475718,7
8479339_vs_8473507,5
8481523_vs_8475718,7
8481523_vs_8473507,7
8479337_vs_8476875,12
8474141_vs_8476875,12
8477429_vs_8476875,11
8483515_vs_8481607,5
8480018_vs_8481607,4
8481540_vs_8481607,4
8481618_vs_8481607,2
8479339_vs_8481607,2
8477456_vs_8482087,10
8481540_vs_8473507,7
8483515_vs_8473507,8
8480018_vs_8473507,7
8477353_vs_8482087,4
8479339_vs_8476979,1
8481618_vs_8476979,1
8479992_vs_8482087,5
