,time_together
8478109_vs_8478366,12
8478366_vs_8478403,13
8475913_vs_8478873,15
8475913_vs_8478366,14
8476458_vs_8478109,10
8475913_vs_8476458,14
8476458_vs_8478403,13
8478109_vs_8478873,12
8478403_vs_8478873,14
8475913_vs_8483445,12
8478403_vs_8483445,12
8478109_vs_8483445,5
8478403_vs_8482745,10
8478109_vs_8482745,6
8475913_vs_8482745,9
8475913_vs_8477952,12
8477952_vs_8478403,13
8477952_vs_8478109,7
8476448_vs_8484153,9
8476934_vs_8478434,1
8476881_vs_8484153,11
8476881_vs_8476934,1
8473986_vs_8476881,12
8473986_vs_8476448,9
8473986_vs_8478434,10
8478434_vs_8484153,9
8476448_vs_8476934,1
8473986_vs_8481604,12
8480806_vs_8481604,10
8473986_vs_8479550,5
8476448_vs_8478424,7
8478424_vs_8481604,6
8478424_vs_8479550,7
8479550_vs_8480806,6
8476448_vs_8480806,8
8478424_vs_8479353,4
8479353_vs_8480806,8
8481517_vs_8481604,10
8479550_vs_8481517,7
8479353_vs_8481517,9
8478366_vs_8481604,6
8478366_vs_8479353,8
8478366_vs_8479550,4
8478873_vs_8481604,6
8478873_vs_8479353,8
8478873_vs_8479550,4
8478403_vs_8480806,10
8475913_vs_8480806,8
8477952_vs_8481655,6
8481655_vs_8483445,3
8482125_vs_8483445,3
8482125_vs_8482745,6
8481655_vs_8482745,3
8477952_vs_8482125,8
8476871_vs_8477952,13
8476871_vs_8482745,11
8476871_vs_8483445,9
8481517_vs_8481655,4
8476871_vs_8481517,6
8481517_vs_8482125,6
8473986_vs_8476871,9
8473986_vs_8482125,7
8473986_vs_8481655,5
8481655_vs_8484153,3
8482125_vs_8484153,4
8476871_vs_8484153,6
8478434_vs_8481517,5
8476881_vs_8481517,6
8476448_vs_8481517,9
8478434_vs_8478873,11
8476448_vs_8478873,11
8476881_vs_8478873,8
8478434_vs_8480806,5
8476881_vs_8480806,8
8478424_vs_8478434,4
8476881_vs_8478424,5
8476458_vs_8479550,2
8476458_vs_8481604,4
8476458_vs_8479353,8
8477952_vs_8479550,6
8477952_vs_8481604,11
8477952_vs_8479353,14
8476458_vs_8476881,7
8476881_vs_8478366,8
8473986_vs_8478403,9
8473986_vs_8475913,9
8473986_vs_8478109,7
8478109_vs_8480806,7
8478403_vs_8481517,10
8478109_vs_8481517,6
8475913_vs_8481517,8
8475913_vs_8478424,3
8478403_vs_8478424,6
8478109_vs_8478424,5
8480806_vs_8482125,8
8476448_vs_8476458,12
8476458_vs_8482125,3
8476448_vs_8477952,12
8476458_vs_8478434,11
8477952_vs_8478434,13
8478434_vs_8483445,11
8479353_vs_8483445,9
8481604_vs_8483445,6
8478434_vs_8482745,13
8479353_vs_8482745,9
8481604_vs_8482745,6
8476458_vs_8476871,4
8476881_vs_8477952,9
8478873_vs_8482125,6
8478366_vs_8482125,4
8476448_vs_8478366,10
8478366_vs_8478434,9
8475913_vs_8484153,9
8478109_vs_8484153,5
8478403_vs_8484153,7
8473986_vs_8479353,12
8479550_vs_8483445,2
8479550_vs_8482745,4
8478424_vs_8482125,5
8478873_vs_8481655,5
8478424_vs_8481655,3
8476871_vs_8478873,6
8476871_vs_8478424,3
8476871_vs_8480806,6
8480806_vs_8481655,5
8478366_vs_8481655,3
8476871_vs_8478366,4
8476448_vs_8483445,10
8476448_vs_8482745,10
8479353_vs_8484153,10
8479550_vs_8484153,5
8481604_vs_8484153,9
8476881_vs_8483445,7
8476881_vs_8482745,9
8476458_vs_8481655,2
