,time_together
8475810_vs_8476917,22
8476483_vs_8477506,21
8471675_vs_8477506,24
8477407_vs_8474578,14
8477407_vs_8476891,10
8475151_vs_8474578,16
8476483_vs_8476917,21
8475754_vs_8474578,16
8471675_vs_8476917,24
8475810_vs_8477506,21
8475151_vs_8476891,14
8475754_vs_8476891,13
8471215_vs_8477506,16
8482055_vs_8476917,10
8484958_vs_8480058,9
8477500_vs_8480058,12
8484958_vs_8471724,8
8477500_vs_8471724,12
8471215_vs_8476917,16
8482055_vs_8477506,12
8478047_vs_8477506,13
8475151_vs_8480058,13
8475151_vs_8471724,17
8478047_vs_8476917,14
8481601_vs_8480058,14
8481601_vs_8471724,16
8471215_vs_8480865,19
8478047_vs_8480865,15
8482055_vs_8480865,12
8478047_vs_8481014,18
8482055_vs_8481014,10
8471215_vs_8481014,22
8471675_vs_8481014,17
8471675_vs_8480865,11
8476419_vs_8476891,14
8476419_vs_8471724,13
8477500_vs_8476891,11
8475754_vs_8471724,15
8471215_vs_8476429,7
8481601_vs_8476891,12
8471675_vs_8476429,10
8481577_vs_8476429,9
8481577_vs_8481014,11
8479996_vs_8476429,13
8479996_vs_8481014,11
8475810_vs_8476429,10
8475810_vs_8481014,16
8481601_vs_8474578,13
8476419_vs_8474578,13
8475754_vs_8480058,13
8481481_vs_8477506,7
8481481_vs_8476917,7
8481577_vs_8477506,11
8481577_vs_8476917,9
8476442_vs_8476917,4
8476442_vs_8477506,7
8484958_vs_8478854,11
8475754_vs_8478854,9
8475151_vs_8478854,9
8477392_vs_8471724,6
8478445_vs_8471724,13
8476442_vs_8481014,10
8475314_vs_8480058,11
8481481_vs_8481014,10
8475314_vs_8471724,11
8478569_vs_8480865,11
8478445_vs_8480058,14
8478569_vs_8481014,8
8476442_vs_8480865,12
8477392_vs_8480058,5
8481481_vs_8480865,12
8478569_vs_8483448,12
8476442_vs_8476429,11
8481481_vs_8476429,11
8476442_vs_8483448,11
8481481_vs_8483448,11
8478569_vs_8476429,12
8484958_vs_8477435,10
8477500_vs_8477435,10
8481601_vs_8477435,11
8477500_vs_8478854,8
8481601_vs_8478854,8
8476483_vs_8476429,8
8476483_vs_8483448,4
8471675_vs_8483448,4
8475810_vs_8483448,6
8475151_vs_8477435,7
8475754_vs_8477435,7
8477407_vs_8477435,8
8475314_vs_8476891,9
8475314_vs_8474578,12
8478445_vs_8474578,13
8478445_vs_8476891,10
8479996_vs_8480865,9
8476419_vs_8480058,7
8478047_vs_8483448,4
8478047_vs_8476429,7
8482055_vs_8476429,8
8479996_vs_8483448,11
8482055_vs_8483448,8
8481237_vs_8471724,5
8481237_vs_8480058,4
8475231_vs_8476891,10
8481237_vs_8474578,7
8481237_vs_8476891,5
8477392_vs_8474578,6
8477392_vs_8476891,5
8475231_vs_8474578,12
8479996_vs_8476917,8
8478463_vs_8480865,8
8481577_vs_8480865,8
8478463_vs_8481014,9
8477407_vs_8480058,12
8477407_vs_8471724,12
8479996_vs_8477506,11
8478463_vs_8477506,6
8478463_vs_8476917,6
8476483_vs_8480865,11
8475810_vs_8480865,13
8476483_vs_8481014,15
8477407_vs_8478854,8
8478463_vs_8483448,4
8481577_vs_8483448,8
8484958_vs_8476891,4
8481237_vs_8477435,6
8478445_vs_8477435,9
8475314_vs_8477435,9
8478445_vs_8478854,8
8475314_vs_8478854,7
8478569_vs_8477506,6
8477392_vs_8478854,6
8477392_vs_8477435,5
8475231_vs_8478854,3
8481237_vs_8478854,6
8475231_vs_8477435,6
8484958_vs_8474578,6
8477500_vs_8474578,12
8471215_vs_8483448,4
8478463_vs_8476429,3
8476419_vs_8477435,7
8476419_vs_8478854,5
8478569_vs_8476917,5
8475231_vs_8480058,7
8475231_vs_8471724,7
