,time_together
8481032_vs_8482745,10
8482110_vs_8483445,10
8477952_vs_8482110,9
8482110_vs_8482745,9
8475287_vs_8477952,11
8475287_vs_8483445,11
8477952_vs_8481032,8
8481032_vs_8483445,11
8475287_vs_8482745,12
8480002_vs_8483445,14
8480002_vs_8482745,15
8477952_vs_8480002,15
8477952_vs_8478414,12
8480002_vs_8484153,10
8478414_vs_8483445,13
8482110_vs_8484153,9
8478414_vs_8484153,9
8476474_vs_8483445,13
8476474_vs_8484153,8
8476474_vs_8481517,11
8480002_vs_8481517,12
8478414_vs_8481517,9
8473986_vs_8480002,11
8473986_vs_8476474,12
8473986_vs_8478414,11
8476458_vs_8479407,15
8478873_vs_8481559,18
8478366_vs_8481559,18
8476292_vs_8478873,14
8478873_vs_8479407,16
8478366_vs_8479407,18
8476292_vs_8478366,16
8476292_vs_8476458,12
8476458_vs_8481559,15
8477508_vs_8477527,8
8477508_vs_8480806,9
8477073_vs_8477527,6
8479414_vs_8480806,8
8477073_vs_8478424,6
8477073_vs_8480806,6
8477508_vs_8478424,9
8477527_vs_8479414,8
8478424_vs_8479414,9
8476292_vs_8477952,7
8476292_vs_8483445,5
8477952_vs_8479407,10
8481559_vs_8483445,8
8479407_vs_8483445,7
8481559_vs_8482745,8
8476292_vs_8482745,6
8479407_vs_8482745,8
8477952_vs_8481559,10
8476458_vs_8482110,9
8478873_vs_8482110,9
8478366_vs_8482110,11
8478366_vs_8481032,7
8475287_vs_8478873,10
8478873_vs_8481032,6
8475287_vs_8478366,8
8475287_vs_8476458,9
8476458_vs_8481032,5
8479414_vs_8484153,3
8473986_vs_8479414,2
8479414_vs_8481517,2
8477527_vs_8481559,3
8478424_vs_8481559,4
8476292_vs_8477527,2
8476292_vs_8480806,4
8476292_vs_8478424,3
8477527_vs_8479407,2
8478424_vs_8479407,3
8479407_vs_8480806,6
8480806_vs_8481559,7
8476474_vs_8477527,3
8476474_vs_8480806,6
8477527_vs_8480002,5
8480002_vs_8480806,9
8478424_vs_8480002,7
8477527_vs_8478414,4
8476474_vs_8478424,4
8478414_vs_8480806,6
8478414_vs_8478424,6
8478873_vs_8480002,6
8478414_vs_8478873,7
8476474_vs_8478873,8
8478366_vs_8480002,5
8476474_vs_8478366,8
8478366_vs_8478414,7
8476458_vs_8476474,8
8476458_vs_8478414,7
8476458_vs_8480002,4
8477508_vs_8483445,5
8477508_vs_8477952,6
8477508_vs_8482745,4
8479414_vs_8483445,4
8477073_vs_8482745,1
8479414_vs_8482745,3
8477952_vs_8479414,6
8477073_vs_8477952,2
8477073_vs_8483445,2
8477073_vs_8484153,3
8477508_vs_8484153,4
8479407_vs_8484153,10
8473986_vs_8477073,2
8481517_vs_8481559,11
8477073_vs_8481517,1
8473986_vs_8479407,9
8481559_vs_8484153,9
8479407_vs_8481517,9
8473986_vs_8481559,11
8476292_vs_8481517,7
8476292_vs_8484153,8
8473986_vs_8476292,10
8478424_vs_8482110,3
8475287_vs_8478424,4
8476474_vs_8482745,12
8476474_vs_8477952,12
8478414_vs_8482745,11
8480806_vs_8482110,6
8473986_vs_8482110,9
8480806_vs_8481032,7
8473986_vs_8481032,9
8476458_vs_8477508,5
8477508_vs_8478873,5
8477508_vs_8478366,3
8478424_vs_8481032,6
8476458_vs_8479414,4
8478873_vs_8479414,4
8476458_vs_8477073,2
8478366_vs_8479414,4
8475287_vs_8480806,3
8475287_vs_8484153,8
8477073_vs_8478873,2
8477073_vs_8478366,1
8473986_vs_8477508,3
8473986_vs_8475287,8
8481032_vs_8481517,7
8481032_vs_8484153,8
8475287_vs_8477527,2
8477527_vs_8481032,4
8477527_vs_8482110,1
8475287_vs_8481517,6
8481517_vs_8482110,6
8477508_vs_8481517,1
