,time_together
8478042_vs_8484153,12
8473986_vs_8477934,14
8477934_vs_8484153,13
8478042_vs_8481517,5
8477934_vs_8481517,11
8473986_vs_8478042,11
8481617_vs_8484153,9
8473986_vs_8481617,9
8481517_vs_8481617,6
8473986_vs_8476454,7
8476454_vs_8481517,9
8476454_vs_8484153,8
8473986_vs_8478402,13
8478402_vs_8481517,12
8478402_vs_8484153,10
8476458_vs_8477015,12
8478402_vs_8478873,15
8478366_vs_8478402,13
8476454_vs_8478873,14
8477015_vs_8478873,13
8476454_vs_8478366,13
8476454_vs_8476458,14
8477015_vs_8478366,12
8476458_vs_8478402,15
8477953_vs_8483445,7
8477953_vs_8482745,8
8475786_vs_8477952,9
8475786_vs_8483445,8
8475786_vs_8482745,10
8477406_vs_8477952,11
8477406_vs_8483445,7
8477406_vs_8482745,8
8477952_vs_8477953,11
8474641_vs_8483445,3
8474641_vs_8482745,5
8474641_vs_8477952,6
8475784_vs_8477952,4
8475784_vs_8483445,1
8475784_vs_8482745,2
8477953_vs_8478424,4
8475784_vs_8478424,5
8474641_vs_8478424,5
8475784_vs_8477527,5
8475784_vs_8480806,6
8470621_vs_8477527,5
8470621_vs_8480806,6
8474641_vs_8477527,5
8474641_vs_8480806,7
8470621_vs_8478424,6
8473986_vs_8474641,8
8473986_vs_8475784,7
8470621_vs_8473986,7
8475784_vs_8484153,7
8470621_vs_8484153,7
8474641_vs_8484153,8
8477934_vs_8478424,6
8475784_vs_8481517,5
8476454_vs_8477952,5
8477952_vs_8478402,9
8477015_vs_8477952,6
8474641_vs_8481517,5
8470621_vs_8481517,5
8478042_vs_8478424,2
8480806_vs_8481617,6
8477934_vs_8480806,7
8478424_vs_8481617,2
8478042_vs_8480806,5
8477527_vs_8481617,3
8477527_vs_8478042,3
8477527_vs_8477934,4
8476458_vs_8481617,7
8476458_vs_8478042,7
8476458_vs_8477934,12
8476458_vs_8477953,5
8477953_vs_8478873,6
8477953_vs_8478366,5
8473986_vs_8477953,7
8477406_vs_8481517,2
8481617_vs_8482745,9
8477953_vs_8481517,1
8473986_vs_8477406,7
8477934_vs_8482745,9
8477953_vs_8484153,7
8473986_vs_8475786,10
8475786_vs_8478873,6
8475786_vs_8476458,6
8478042_vs_8478873,7
8475786_vs_8484153,8
8474641_vs_8478366,7
8474641_vs_8476458,9
8474641_vs_8478873,10
8477406_vs_8478366,6
8476458_vs_8477406,6
8477406_vs_8478873,7
8477934_vs_8478873,11
8477934_vs_8478366,10
8477406_vs_8484153,7
8477015_vs_8484153,5
8478873_vs_8481617,7
8478366_vs_8481617,5
8477952_vs_8481617,8
8481617_vs_8483445,5
8478402_vs_8483445,8
8478402_vs_8482745,9
8477934_vs_8477952,9
8477934_vs_8483445,6
8475786_vs_8480806,8
8478402_vs_8480806,5
8475786_vs_8481517,6
8478402_vs_8478424,3
8475786_vs_8478424,6
8476454_vs_8480806,3
8476454_vs_8478424,1
8477015_vs_8483445,5
8478042_vs_8483445,4
8477952_vs_8478042,8
8478042_vs_8482745,6
8477527_vs_8478402,3
8476454_vs_8477527,1
8475786_vs_8477527,5
8476454_vs_8483445,5
8476454_vs_8482745,7
8470621_vs_8478873,5
8475784_vs_8478873,5
8470621_vs_8478366,4
8475784_vs_8478366,3
8470621_vs_8476458,5
8475786_vs_8478366,3
8477406_vs_8480806,5
8473986_vs_8477015,5
8477015_vs_8481517,5
8478042_vs_8478366,5
8477406_vs_8478424,3
8477527_vs_8477953,3
8477953_vs_8480806,3
8477406_vs_8477527,3
8477015_vs_8482745,5
8470621_vs_8477952,3
8475784_vs_8476458,4
8477015_vs_8477527,1
8470621_vs_8482745,1
