,time_together
8473986_vs_8479542,15
8478519_vs_8484153,12
8483447_vs_8484153,9
8473986_vs_8478519,14
8478519_vs_8481517,10
8481517_vs_8483447,8
8479542_vs_8484153,11
8473986_vs_8483447,10
8479542_vs_8481517,10
8478873_vs_8479542,6
8478519_vs_8478873,7
8478873_vs_8483447,7
8476458_vs_8478010,14
8476453_vs_8476458,10
8477404_vs_8478873,13
8476453_vs_8478873,10
8478010_vs_8478873,14
8476458_vs_8477404,13
8477404_vs_8478366,14
8476453_vs_8478366,11
8478010_vs_8478366,15
8478010_vs_8483445,3
8477404_vs_8483445,3
8476453_vs_8483445,10
8476453_vs_8482745,12
8478010_vs_8482745,4
8477404_vs_8482745,5
8477952_vs_8478010,3
8477404_vs_8477952,5
8476453_vs_8477952,11
8477426_vs_8483445,15
8477426_vs_8477952,14
8477426_vs_8482745,15
8477952_vs_8479591,14
8479591_vs_8482745,15
8479591_vs_8483445,14
8482070_vs_8483445,12
8482070_vs_8482745,12
8477952_vs_8482070,13
8476822_vs_8477952,5
8476822_vs_8483445,4
8476822_vs_8482745,5
8476822_vs_8480806,7
8478424_vs_8482201,8
8476822_vs_8478424,7
8476878_vs_8478424,7
8476878_vs_8481754,5
8481754_vs_8482201,6
8476822_vs_8481754,6
8476878_vs_8480806,7
8480806_vs_8482201,8
8478010_vs_8481754,5
8477404_vs_8481754,6
8476453_vs_8481754,7
8478010_vs_8480806,8
8477404_vs_8480806,8
8476453_vs_8480806,9
8477404_vs_8478424,7
8476453_vs_8478424,8
8478010_vs_8478424,6
8478010_vs_8484153,5
8477404_vs_8484153,5
8476453_vs_8484153,8
8473986_vs_8476453,12
8473986_vs_8477404,7
8473986_vs_8478010,7
8482201_vs_8484153,5
8473986_vs_8482201,5
8477404_vs_8481517,6
8481517_vs_8482201,4
8476822_vs_8484153,5
8476822_vs_8481517,3
8473986_vs_8476822,5
8476878_vs_8484153,4
8473986_vs_8476878,4
8476878_vs_8481517,3
8476878_vs_8478873,5
8476458_vs_8476878,4
8476458_vs_8478519,7
8476458_vs_8483447,8
8476458_vs_8479542,6
8478366_vs_8478519,8
8478366_vs_8479542,8
8478366_vs_8483447,8
8476822_vs_8478873,6
8476878_vs_8478366,3
8476822_vs_8478366,5
8476458_vs_8476822,5
8476878_vs_8482745,3
8476878_vs_8483445,3
8476878_vs_8477952,4
8478519_vs_8482745,11
8477952_vs_8478519,10
8478519_vs_8483445,10
8479542_vs_8482745,14
8477952_vs_8479542,11
8479542_vs_8483445,10
8478424_vs_8479542,5
8478424_vs_8478519,4
8478519_vs_8480806,4
8479542_vs_8480806,6
8479542_vs_8481754,4
8478519_vs_8481754,4
8479591_vs_8481517,5
8481517_vs_8482070,5
8477426_vs_8481517,6
8473986_vs_8482070,5
8473986_vs_8477426,6
8473986_vs_8479591,5
8482070_vs_8484153,4
8479591_vs_8484153,5
8476458_vs_8477426,8
8477426_vs_8478873,9
8477426_vs_8478366,8
8477426_vs_8480806,3
8480806_vs_8483447,5
8480806_vs_8482070,3
8478424_vs_8482070,3
8476453_vs_8481517,7
8477426_vs_8478424,3
8478010_vs_8481517,5
8478366_vs_8479591,5
8478873_vs_8482201,2
8478366_vs_8482201,3
8476458_vs_8482201,2
8479591_vs_8480806,3
8478873_vs_8479591,6
8478424_vs_8479591,3
8478873_vs_8482070,6
8477426_vs_8481754,2
8479591_vs_8481754,2
8481754_vs_8482070,2
8477952_vs_8482201,4
8482201_vs_8482745,3
8482201_vs_8483445,3
8476458_vs_8482070,4
8476458_vs_8479591,4
8478366_vs_8482070,3
8483445_vs_8483447,3
8482745_vs_8483447,2
8477426_vs_8484153,4
8481754_vs_8483447,4
8478424_vs_8483447,4
8477952_vs_8483447,1
