,time_together
8476468_vs_8478133,12
8478133_vs_8483476,10
8476468_vs_8482476,12
8478133_vs_8478444,11
8476469_vs_8478444,13
8476469_vs_8483476,9
8482476_vs_8483476,9
8478444_vs_8482476,10
8476468_vs_8476469,14
8480748_vs_8483515,12
8476858_vs_8480018,15
8476858_vs_8481540,12
8476927_vs_8483515,14
8480748_vs_8481540,11
8480018_vs_8480748,14
8476927_vs_8480018,15
8476927_vs_8481540,15
8476858_vs_8483515,11
8478498_vs_8481618,9
8480459_vs_8481523,17
8478856_vs_8479543,5
8478856_vs_8481523,12
8479543_vs_8480459,5
8478498_vs_8479543,4
8478498_vs_8481523,10
8480459_vs_8481618,14
8478856_vs_8481618,14
8476981_vs_8484136,8
8477989_vs_8484136,10
8476981_vs_8478856,12
8481618_vs_8484136,8
8477989_vs_8478856,11
8481535_vs_8481618,7
8476981_vs_8481535,9
8477989_vs_8481535,9
8475848_vs_8484136,8
8475848_vs_8481535,8
8475848_vs_8478856,10
8477989_vs_8478046,11
8476981_vs_8478046,10
8475848_vs_8478046,11
8478046_vs_8478133,5
8478133_vs_8484136,7
8478133_vs_8481535,5
8476469_vs_8484136,9
8476469_vs_8481535,6
8476469_vs_8478046,8
8478498_vs_8481540,9
8478498_vs_8480018,12
8478498_vs_8483515,7
8480459_vs_8481540,17
8478856_vs_8480018,16
8478856_vs_8481540,12
8480459_vs_8483515,13
8478856_vs_8483515,8
8480018_vs_8480459,16
8478046_vs_8481618,7
8478046_vs_8481523,7
8478046_vs_8479543,3
8479543_vs_8481535,2
8481523_vs_8481535,5
8479543_vs_8484136,2
8481523_vs_8484136,4
8475848_vs_8478444,10
8475848_vs_8483476,9
8476981_vs_8478444,13
8477989_vs_8483476,8
8476981_vs_8483476,10
8477989_vs_8478444,12
8476468_vs_8476981,13
8476468_vs_8477989,11
8475848_vs_8476468,9
8476469_vs_8480748,8
8480748_vs_8482476,6
8478133_vs_8480748,6
8476858_vs_8478133,6
8476858_vs_8482476,7
8476469_vs_8476858,6
8476927_vs_8478133,6
8476927_vs_8482476,8
8476469_vs_8476927,7
8475848_vs_8476927,5
8476927_vs_8477989,4
8476927_vs_8476981,4
8475848_vs_8480748,6
8477989_vs_8480748,6
8476981_vs_8480748,4
8476469_vs_8480459,7
8480459_vs_8482476,6
8478133_vs_8480459,6
8476469_vs_8478498,7
8478498_vs_8482476,6
8478133_vs_8478498,6
8476469_vs_8478856,9
8478133_vs_8478856,8
8478856_vs_8482476,9
8481540_vs_8484136,7
8480018_vs_8484136,9
8483515_vs_8484136,7
8481535_vs_8481540,7
8480018_vs_8481535,8
8478046_vs_8483515,7
8481535_vs_8483515,7
8478046_vs_8480018,9
8478046_vs_8481540,8
8476468_vs_8480018,12
8476468_vs_8483515,8
8476468_vs_8481540,9
8475848_vs_8480459,9
8477989_vs_8480459,7
8476981_vs_8480459,7
8481540_vs_8483476,7
8477989_vs_8478498,7
8476981_vs_8478498,7
8476927_vs_8481618,4
8476858_vs_8481523,6
8476927_vs_8481523,8
8476858_vs_8481618,6
8480748_vs_8481523,8
8480748_vs_8481618,5
8481535_vs_8482476,5
8482476_vs_8484136,6
8475848_vs_8478498,5
8476858_vs_8476981,4
8475848_vs_8476858,4
8476858_vs_8477989,3
8478444_vs_8480018,10
8478444_vs_8481540,7
8478444_vs_8483515,7
8483476_vs_8483515,5
8480018_vs_8483476,7
8476927_vs_8479543,1
8479543_vs_8480748,2
8476858_vs_8479543,1
8478046_vs_8482476,6
8476468_vs_8479543,1
8478444_vs_8479543,1
8478444_vs_8481618,5
8476468_vs_8481618,4
8478444_vs_8481523,5
8476468_vs_8481523,5
8481523_vs_8483476,3
8481618_vs_8483476,3
