,time_together
8477407_vs_8474565,13
8475151_vs_8478396,13
8475151_vs_8474565,13
8481604_vs_8477506,13
8476448_vs_8477506,10
8476881_vs_8476917,15
8477500_vs_8478396,14
8477500_vs_8474565,15
8481604_vs_8476917,13
8476448_vs_8476917,10
8476881_vs_8477506,12
8477407_vs_8478396,13
8477500_vs_8475188,15
8477407_vs_8475188,14
8475151_vs_8475188,14
8481604_vs_8480865,13
8476448_vs_8480865,12
8475314_vs_8474565,14
8476881_vs_8480865,15
8475314_vs_8475188,15
8478445_vs_8474565,15
8475754_vs_8474565,14
8475754_vs_8475188,14
8478445_vs_8475188,16
8478403_vs_8481014,14
8481604_vs_8481014,13
8476871_vs_8480865,10
8476871_vs_8481014,9
8478403_vs_8480865,15
8475913_vs_8480865,16
8478445_vs_8477447,16
8475754_vs_8477447,15
8475314_vs_8477447,15
8475913_vs_8481014,16
8484958_vs_8475188,7
8484958_vs_8477447,7
8478109_vs_8476429,9
8478434_vs_8476429,10
8478434_vs_8479395,10
8478403_vs_8479395,9
8478403_vs_8476429,7
8478109_vs_8479395,8
8475231_vs_8477447,8
8476419_vs_8477447,9
8475231_vs_8475188,7
8476419_vs_8475188,7
8479353_vs_8476429,9
8479353_vs_8479395,10
8475231_vs_8479980,15
8475231_vs_8480727,14
8484958_vs_8479980,17
8484958_vs_8480727,16
8476419_vs_8480727,12
8476419_vs_8479980,13
8478109_vs_8480865,14
8478434_vs_8480865,11
8479353_vs_8480865,10
8481655_vs_8479395,7
8475231_vs_8478396,11
8484958_vs_8478396,12
8476419_vs_8478396,13
8481655_vs_8480865,12
8481655_vs_8481014,10
8482125_vs_8481014,12
8478109_vs_8481014,14
8482125_vs_8479395,7
8481237_vs_8478396,8
8481237_vs_8480727,10
8478115_vs_8480727,9
8482125_vs_8480865,13
8478115_vs_8478396,8
8474709_vs_8480727,8
8480007_vs_8481014,10
8474709_vs_8478396,7
8480007_vs_8480865,10
8481237_vs_8474565,7
8478115_vs_8474565,6
8474709_vs_8474565,6
8478115_vs_8475188,7
8481237_vs_8475188,6
8475151_vs_8477447,13
8481237_vs_8477447,5
8477407_vs_8477447,12
8476881_vs_8481014,13
8477500_vs_8477447,14
8476448_vs_8481014,10
8475754_vs_8478396,13
8475314_vs_8478396,12
8478445_vs_8478396,12
8476871_vs_8476917,8
8475913_vs_8477506,17
8475231_vs_8474565,8
8484958_vs_8474565,8
8476871_vs_8477506,8
8478403_vs_8476917,17
8475913_vs_8476917,16
8476419_vs_8474565,10
8478403_vs_8477506,16
8478109_vs_8477506,14
8478434_vs_8477506,7
8478109_vs_8476917,14
8478434_vs_8476917,8
8478115_vs_8479980,8
8479353_vs_8476917,8
8481237_vs_8479980,9
8474709_vs_8479980,7
8481604_vs_8479395,11
8481604_vs_8476429,10
8476881_vs_8479395,10
8476881_vs_8476429,12
8476448_vs_8476429,9
8476448_vs_8479395,9
8477500_vs_8479980,7
8477407_vs_8479980,5
8478115_vs_8477447,5
8482125_vs_8477506,9
8482125_vs_8476917,10
8481655_vs_8476917,7
8480007_vs_8477506,7
8481655_vs_8477506,7
8480007_vs_8476917,7
8478445_vs_8479980,7
8475754_vs_8479980,4
8478445_vs_8480727,8
8475754_vs_8480727,5
8475913_vs_8479395,8
8475913_vs_8476429,6
8476871_vs_8476429,4
8476871_vs_8479395,5
8477500_vs_8480727,6
8480007_vs_8479395,8
8480007_vs_8476429,8
8482125_vs_8476429,10
8481655_vs_8476429,7
8474709_vs_8477447,1
8474709_vs_8475188,2
8479353_vs_8477506,7
8475314_vs_8479980,3
8475314_vs_8480727,4
8478434_vs_8481014,8
8479353_vs_8481014,7
8477407_vs_8480727,4
8475151_vs_8479980,4
8475151_vs_8480727,4
