,time_together
8473986_vs_8476453,19
8473986_vs_8478010,21
8477404_vs_8484153,16
8478010_vs_8482745,15
8476453_vs_8484153,15
8477404_vs_8482745,17
8478010_vs_8484153,16
8476453_vs_8482745,14
8473986_vs_8477404,21
8476453_vs_8478873,12
8478010_vs_8478873,9
8477404_vs_8478873,8
8476458_vs_8478010,10
8476453_vs_8476458,12
8476458_vs_8477404,9
8476458_vs_8477426,15
8478366_vs_8479542,19
8476458_vs_8478519,18
8478873_vs_8479542,16
8478519_vs_8478873,19
8478366_vs_8478519,18
8477426_vs_8478873,14
8476458_vs_8479542,16
8477426_vs_8478366,15
8478519_vs_8480806,9
8477426_vs_8480806,9
8479542_vs_8480806,8
8476878_vs_8478366,6
8476878_vs_8478873,10
8476878_vs_8480806,7
8476822_vs_8480806,8
8476822_vs_8478873,10
8476822_vs_8478366,7
8478366_vs_8479591,7
8479591_vs_8480806,8
8478873_vs_8479591,9
8476878_vs_8483445,11
8479591_vs_8483445,9
8476878_vs_8477952,10
8476822_vs_8477952,10
8476822_vs_8483445,11
8477952_vs_8479591,8
8477952_vs_8483447,3
8480806_vs_8483447,3
8483445_vs_8483447,3
8476878_vs_8477527,4
8477527_vs_8483447,6
8477527_vs_8479591,4
8477527_vs_8482070,6
8474715_vs_8481754,6
8474715_vs_8477527,6
8474715_vs_8480806,4
8481754_vs_8483447,6
8480806_vs_8482070,7
8481754_vs_8482070,6
8474715_vs_8478424,6
8478424_vs_8483447,6
8478424_vs_8482070,9
8482745_vs_8483447,4
8482070_vs_8482745,4
8474715_vs_8482745,3
8473986_vs_8474715,3
8473986_vs_8483447,4
8473986_vs_8482070,8
8482070_vs_8484153,4
8474715_vs_8484153,4
8483447_vs_8484153,4
8478010_vs_8480806,11
8477404_vs_8480806,10
8476453_vs_8480806,15
8478366_vs_8482070,4
8477404_vs_8478424,6
8476453_vs_8478424,8
8477404_vs_8478366,9
8478010_vs_8478424,6
8476453_vs_8478366,14
8478010_vs_8478366,9
8473986_vs_8477426,9
8476458_vs_8483447,3
8478873_vs_8483447,4
8478366_vs_8483447,2
8473986_vs_8479542,11
8476878_vs_8484153,5
8478519_vs_8482745,13
8478519_vs_8484153,14
8473986_vs_8478519,14
8479542_vs_8482745,10
8473986_vs_8476878,8
8479542_vs_8484153,8
8476878_vs_8482745,7
8476822_vs_8484153,6
8477426_vs_8484153,4
8476458_vs_8476822,7
8477426_vs_8477952,2
8477426_vs_8482745,6
8476822_vs_8482745,9
8477426_vs_8483445,5
8473986_vs_8476822,8
8477952_vs_8478519,2
8478519_vs_8483445,3
8477952_vs_8479542,3
8479542_vs_8483445,3
8478010_vs_8481754,2
8477404_vs_8481754,3
8476453_vs_8481754,3
8477404_vs_8477952,7
8477404_vs_8483445,5
8476453_vs_8477952,8
8476453_vs_8483445,6
8477952_vs_8478010,7
8478010_vs_8483445,5
8474715_vs_8483445,3
8474715_vs_8477952,3
8479591_vs_8482745,5
8479591_vs_8484153,3
8473986_vs_8479591,4
8476458_vs_8476878,5
8477426_vs_8481754,2
8479542_vs_8481754,1
8478519_vs_8481754,1
8478424_vs_8479542,5
8474715_vs_8478873,3
8478873_vs_8482070,3
8476458_vs_8479591,4
8478424_vs_8478519,3
8477426_vs_8478424,3
8482070_vs_8483445,2
8477952_vs_8482070,2
8476822_vs_8477527,3
8476822_vs_8481754,4
8476822_vs_8478424,3
8478424_vs_8479591,3
8479591_vs_8481754,4
8476878_vs_8481754,4
8476878_vs_8478424,3
8477527_vs_8478519,2
8477527_vs_8478010,2
8477404_vs_8477527,2
8476453_vs_8477527,2
8474715_vs_8476458,1
8476458_vs_8482070,1
8474715_vs_8478366,1
