,time_together
8480188_vs_8481014,18
8475798_vs_8480865,19
8484227_vs_8480865,18
8478445_vs_8478013,17
8478445_vs_8476879,17
8475798_vs_8481014,20
8480188_vs_8480865,17
8484227_vs_8481014,18
8477500_vs_8478013,16
8475314_vs_8478013,16
8477500_vs_8476879,17
8475314_vs_8476879,17
8480188_vs_8476917,12
8475798_vs_8477506,13
8484227_vs_8477506,13
8475798_vs_8476917,12
8480188_vs_8477506,11
8484227_vs_8476917,14
8482667_vs_8476917,12
8475151_vs_8476879,14
8480848_vs_8477506,15
8475151_vs_8478013,13
8475754_vs_8478013,14
8475754_vs_8476879,13
8482667_vs_8477506,13
8480848_vs_8476917,11
8477407_vs_8476879,14
8477407_vs_8478013,11
8475151_vs_8479983,11
8475754_vs_8481567,11
8475754_vs_8479983,12
8484801_vs_8476917,13
8477407_vs_8481567,9
8475151_vs_8481567,11
8477407_vs_8479983,11
8484801_vs_8477506,14
8475231_vs_8481567,8
8482667_vs_8476429,8
8481601_vs_8481567,7
8484801_vs_8476429,8
8482667_vs_8483448,5
8484801_vs_8483448,5
8475231_vs_8479983,9
8476419_vs_8481567,7
8480848_vs_8476429,7
8481601_vs_8479983,11
8476419_vs_8479983,7
8480848_vs_8483448,5
8475231_vs_8471709,8
8481601_vs_8471709,9
8476419_vs_8471709,8
8482667_vs_8480865,13
8484801_vs_8480865,14
8480848_vs_8480865,13
8479336_vs_8481014,9
8484801_vs_8481014,13
8479336_vs_8480865,9
8480848_vs_8481014,12
8479316_vs_8480865,12
8483553_vs_8471709,8
8477505_vs_8480865,12
8479316_vs_8481014,11
8483553_vs_8480172,9
8477505_vs_8481014,11
8481237_vs_8471709,9
8478115_vs_8471709,10
8481237_vs_8480172,10
8478115_vs_8480172,10
8478115_vs_8478013,9
8484911_vs_8480865,12
8483553_vs_8478013,8
8484911_vs_8481014,10
8481237_vs_8478013,9
8478115_vs_8476879,11
8483553_vs_8476879,11
8481477_vs_8480865,9
8481477_vs_8481014,9
8476624_vs_8480865,14
8476624_vs_8481014,11
8481477_vs_8477506,12
8484911_vs_8476917,10
8476624_vs_8476917,11
8481477_vs_8476917,9
8484911_vs_8477506,10
8476624_vs_8477506,12
8478445_vs_8481567,12
8475314_vs_8481567,11
8478445_vs_8479983,18
8477500_vs_8481567,11
8477500_vs_8479983,20
8475314_vs_8479983,20
8482667_vs_8481014,12
8479316_vs_8476429,11
8479336_vs_8476429,10
8479316_vs_8483448,8
8477505_vs_8476429,10
8475231_vs_8480172,8
8481601_vs_8480172,9
8479336_vs_8483448,8
8476419_vs_8480172,8
8477505_vs_8483448,9
8484911_vs_8476429,7
8484911_vs_8483448,5
8481237_vs_8481567,9
8481237_vs_8479983,10
8483553_vs_8481567,10
8483553_vs_8479983,10
8476624_vs_8483448,6
8476624_vs_8476429,6
8481477_vs_8483448,6
8481477_vs_8476429,8
8475798_vs_8476429,11
8475798_vs_8483448,8
8484227_vs_8476429,11
8484227_vs_8483448,8
8480188_vs_8476429,11
8475754_vs_8480172,12
8477407_vs_8480172,10
8475151_vs_8480172,10
8477505_vs_8476917,11
8477505_vs_8477506,10
8479316_vs_8477506,9
8479316_vs_8476917,11
8479336_vs_8477506,9
8479336_vs_8476917,11
8478115_vs_8481567,9
8481601_vs_8478013,8
8481237_vs_8476879,10
8480188_vs_8483448,7
8478445_vs_8480172,12
8477500_vs_8480172,9
8475314_vs_8480172,9
8475151_vs_8471709,5
8475754_vs_8471709,7
8477407_vs_8471709,8
8478115_vs_8479983,9
8475231_vs_8478013,6
8476419_vs_8478013,10
8481601_vs_8476879,6
8476419_vs_8476879,5
8475231_vs_8476879,6
8478445_vs_8471709,5
8475314_vs_8471709,3
8477500_vs_8471709,3
