,time_together
8476875_vs_8480817,22
8476875_vs_8478840,19
8480817_vs_8483457,20
8478840_vs_8483457,17
8476875_vs_8480001,14
8476875_vs_8482073,17
8482073_vs_8483457,15
8480001_vs_8483457,11
8480001_vs_8482087,13
8482073_vs_8482087,12
8478851_vs_8482073,13
8478851_vs_8480001,14
8478851_vs_8480817,17
8478840_vs_8482087,15
8480817_vs_8482087,17
8478840_vs_8478851,14
8478840_vs_8482964,8
8480817_vs_8482964,8
8479323_vs_8482964,11
8479323_vs_8483457,22
8479324_vs_8482964,11
8479324_vs_8483457,21
8475233_vs_8479323,12
8475233_vs_8479324,9
8482073_vs_8482964,9
8475233_vs_8482073,9
8475233_vs_8480001,8
8480001_vs_8482964,8
8479323_vs_8482087,20
8478851_vs_8479323,18
8479324_vs_8482087,18
8478851_vs_8479324,18
8476875_vs_8479324,19
8476875_vs_8479323,23
8475233_vs_8480817,8
8475233_vs_8478840,7
