,time_together
8474037_vs_8475754,10
8474037_vs_8477407,9
8477407_vs_8482705,10
8477407_vs_8482660,11
8475151_vs_8482660,12
8474037_vs_8475151,9
8475151_vs_8482705,10
8475754_vs_8482660,13
8475754_vs_8482705,14
8475754_vs_8481716,16
8477407_vs_8481716,12
8475151_vs_8481716,16
8475314_vs_8481716,6
8475314_vs_8482705,13
8474037_vs_8475314,9
8478445_vs_8481716,10
8478445_vs_8482705,14
8474037_vs_8478445,10
8475314_vs_8484166,7
8477500_vs_8481716,11
8478445_vs_8484166,10
8477500_vs_8484166,11
8477500_vs_8482705,15
8478445_vs_8480893,12
8477500_vs_8480893,12
8475314_vs_8480893,8
8475231_vs_8481716,9
8478445_vs_8479944,7
8477500_vs_8479944,8
8475231_vs_8479944,6
8475231_vs_8484166,10
8476419_vs_8484166,14
8476419_vs_8479944,8
8478445_vs_8479671,5
8475231_vs_8479671,6
8476419_vs_8479671,9
8475231_vs_8483432,6
8479944_vs_8481601,6
8481601_vs_8483432,7
8476419_vs_8483432,10
8479671_vs_8481601,7
8481237_vs_8482451,5
8478115_vs_8482451,6
8476374_vs_8478115,8
8479671_vs_8481237,7
8479671_vs_8483553,7
8478115_vs_8479671,8
8482451_vs_8483553,6
8476374_vs_8481237,5
8476374_vs_8483553,6
8478115_vs_8479941,6
8479941_vs_8481237,5
8479941_vs_8483553,6
8475754_vs_8479941,5
8475151_vs_8482451,3
8475754_vs_8482451,5
8475151_vs_8476374,4
8475151_vs_8479941,4
8475754_vs_8476374,9
8478445_vs_8482660,10
8475151_vs_8484166,16
8477407_vs_8484166,12
8477500_vs_8482660,12
8476419_vs_8481716,10
8476419_vs_8482660,10
8476419_vs_8480893,13
8477407_vs_8479671,4
8475151_vs_8479944,6
8475151_vs_8479671,6
8477407_vs_8483432,5
8475151_vs_8483432,7
8477407_vs_8479944,5
8476419_vs_8482451,5
8477407_vs_8482451,3
8476419_vs_8479941,5
8476374_vs_8476419,6
8476374_vs_8477407,5
8477407_vs_8479941,2
8475314_vs_8482660,8
8474037_vs_8477500,9
8475754_vs_8480893,17
8475754_vs_8484166,16
8477407_vs_8480893,11
8475151_vs_8480893,16
8480893_vs_8481237,1
8481237_vs_8481716,1
8481237_vs_8484166,2
8479944_vs_8483553,7
8483553_vs_8484166,2
8479944_vs_8481237,7
8481237_vs_8483432,6
8483432_vs_8483553,6
8478115_vs_8479944,7
8478115_vs_8483432,6
8476374_vs_8481601,5
8475231_vs_8476374,3
8475231_vs_8479941,4
8479941_vs_8481601,5
8475231_vs_8482451,5
8481601_vs_8482451,5
8478445_vs_8482451,6
8476374_vs_8478445,5
8475231_vs_8482660,4
8476374_vs_8477500,4
8477500_vs_8482451,6
8475314_vs_8476374,5
8475314_vs_8482451,5
8475754_vs_8479944,8
8475754_vs_8479671,7
8478115_vs_8484166,1
8477500_vs_8479941,2
8477500_vs_8483432,6
8478445_vs_8479941,2
8478445_vs_8483432,4
8475314_vs_8479941,1
8475314_vs_8483432,5
8474037_vs_8483553,1
8477500_vs_8479671,5
8475314_vs_8479671,5
8475314_vs_8479944,7
8475231_vs_8480893,9
8476419_vs_8482705,8
8474037_vs_8476419,6
8475754_vs_8483432,7
8481601_vs_8482660,7
8480893_vs_8481601,10
8481601_vs_8484166,10
8481601_vs_8481716,8
8482660_vs_8483553,1
8478115_vs_8482660,2
8474037_vs_8478115,1
8481601_vs_8482705,7
8474037_vs_8481601,4
8474037_vs_8475231,3
8475231_vs_8482705,5
8478115_vs_8482705,2
8481237_vs_8482705,1
8482705_vs_8483553,1
8478115_vs_8480893,1
