,time_together
8482713_vs_8483490,13
8480185_vs_8483490,10
8484153_vs_8478859,13
8477935_vs_8476885,16
8481533_vs_8477220,12
8473986_vs_8477220,15
8481533_vs_8478859,13
8473986_vs_8478859,13
8480185_vs_8476885,12
8482713_vs_8476885,15
8477935_vs_8483490,12
8484153_vs_8477220,11
8481533_vs_8478055,10
8484153_vs_8478055,11
8473986_vs_8478055,10
8477935_vs_8475462,9
8482713_vs_8475462,8
8480185_vs_8475462,8
8477935_vs_8481605,12
8482713_vs_8481605,11
8480185_vs_8481605,10
8478873_vs_8478859,13
8478873_vs_8478055,14
8477933_vs_8481605,17
8476458_vs_8478859,11
8476458_vs_8478055,13
8477933_vs_8475462,16
8478873_vs_8475179,14
8479314_vs_8481605,18
8476458_vs_8475179,14
8481533_vs_8475179,10
8479314_vs_8475462,17
8478366_vs_8475179,14
8477493_vs_8475462,17
8477493_vs_8481605,19
8478366_vs_8478055,13
8478873_vs_8481600,6
8478366_vs_8481600,5
8476458_vs_8481600,6
8477493_vs_8482803,7
8479314_vs_8482803,5
8477952_vs_8481600,12
8477952_vs_8475179,9
8477933_vs_8482803,6
8477952_vs_8484304,13
8478366_vs_8484304,4
8476458_vs_8484304,6
8482745_vs_8481600,12
8482745_vs_8484304,11
8477409_vs_8475462,7
8477409_vs_8482803,9
8480003_vs_8482803,9
8480003_vs_8475462,6
8483445_vs_8481600,12
8483445_vs_8484304,11
8483445_vs_8477220,13
8477952_vs_8477220,12
8483445_vs_8478859,14
8477952_vs_8478859,11
8482745_vs_8478859,12
8482745_vs_8477220,11
8482113_vs_8475208,11
8480003_vs_8475208,9
8477409_vs_8475208,12
8482113_vs_8482803,9
8481517_vs_8478859,6
8481517_vs_8477220,10
8478424_vs_8477220,10
8480003_vs_8476885,15
8482113_vs_8476885,14
8477409_vs_8476885,14
8478424_vs_8478859,6
8481754_vs_8478859,7
8480003_vs_8483490,12
8481754_vs_8477220,6
8478421_vs_8476885,9
8482113_vs_8483490,12
8478421_vs_8483490,10
8478542_vs_8476885,10
8478542_vs_8483490,8
8478873_vs_8477220,10
8477931_vs_8482803,8
8484153_vs_8475179,11
8483445_vs_8475179,12
8483445_vs_8478055,11
8473986_vs_8475179,8
8480185_vs_8482803,5
8482745_vs_8478055,9
8482745_vs_8475179,10
8477931_vs_8481605,11
8480003_vs_8481605,6
8478424_vs_8481600,7
8481517_vs_8484304,8
8478424_vs_8484304,10
8481517_vs_8481600,8
8477409_vs_8483490,11
8473986_vs_8481600,10
8481533_vs_8481600,10
8484153_vs_8481600,10
8484153_vs_8484304,11
8473986_vs_8484304,12
8481533_vs_8484304,11
8478542_vs_8482803,6
8478542_vs_8475208,9
8478421_vs_8482803,5
8478421_vs_8475462,11
8478542_vs_8475462,12
8477931_vs_8475462,12
8478366_vs_8478859,11
8482113_vs_8481605,5
8478366_vs_8477220,10
8477933_vs_8476885,7
8477493_vs_8476885,8
8477935_vs_8482803,5
8477933_vs_8475208,10
8477935_vs_8475208,8
8477493_vs_8475208,8
8479314_vs_8476885,8
8479314_vs_8475208,9
8477952_vs_8478055,9
8476458_vs_8477220,8
8477931_vs_8476885,10
8477931_vs_8483490,9
8477931_vs_8475208,5
8478421_vs_8475208,5
8482713_vs_8482803,4
8482713_vs_8475208,7
8480185_vs_8475208,5
8482113_vs_8475462,6
8478873_vs_8484304,5
8477409_vs_8481605,5
8478542_vs_8481605,10
8481754_vs_8481600,7
8481754_vs_8484304,6
8479314_vs_8483490,5
8477933_vs_8483490,2
8477493_vs_8483490,4
8478421_vs_8481605,9
8481517_vs_8475179,6
8481754_vs_8475179,5
8481517_vs_8478055,6
8481754_vs_8478055,6
8478424_vs_8475179,4
8478424_vs_8478055,4
