,time_together
8473512_vs_8479968,10
8477496_vs_8481596,13
8479365_vs_8481596,10
8479365_vs_8480801,13
8479968_vs_8481596,9
8477496_vs_8480801,16
8473512_vs_8477496,13
8479968_vs_8480801,10
8473512_vs_8479365,9
8478401_vs_8480208,14
8478401_vs_8481596,23
8479968_vs_8480208,7
8478401_vs_8480801,18
8479365_vs_8480208,8
8479987_vs_8480801,13
8479987_vs_8480208,14
8476393_vs_8478401,15
8476393_vs_8479987,15
8479987_vs_8481596,21
8479987_vs_8482116,14
8478401_vs_8482116,15
8477956_vs_8480208,12
8476393_vs_8477956,16
8477956_vs_8482116,12
8473512_vs_8477956,14
8477956_vs_8481596,19
8473512_vs_8478401,17
8473512_vs_8479987,12
8477956_vs_8480801,14
8473419_vs_8482116,15
8482116_vs_8483505,14
8480801_vs_8483505,9
8473419_vs_8480208,12
8480208_vs_8483505,13
8473419_vs_8480801,16
8476393_vs_8483505,7
8473419_vs_8476393,6
8475745_vs_8476393,5
8475745_vs_8482116,18
8475745_vs_8480208,16
8478874_vs_8479368,5
8478020_vs_8479368,3
8477887_vs_8478874,9
8478146_vs_8481556,8
8478020_vs_8481556,3
8478874_vs_8481556,8
8478146_vs_8479368,6
8477887_vs_8478146,8
8477887_vs_8478020,7
8477496_vs_8478874,6
8477496_vs_8478146,6
8477496_vs_8478020,5
8478874_vs_8479365,5
8478020_vs_8479365,5
8478146_vs_8479365,4
8478146_vs_8479968,4
8478874_vs_8479968,3
8478020_vs_8479968,4
8474102_vs_8477496,8
8477496_vs_8482092,11
8474102_vs_8479365,7
8479365_vs_8482859,2
8479365_vs_8482092,10
8477496_vs_8482859,3
8474102_vs_8479968,5
8479968_vs_8482092,7
8479968_vs_8482859,3
8475745_vs_8480801,15
8473512_vs_8475745,11
8480801_vs_8481556,3
8475745_vs_8481596,11
8473512_vs_8481556,3
8473419_vs_8481596,12
8473419_vs_8473512,13
8481556_vs_8481596,3
8481596_vs_8483505,8
8473512_vs_8483505,5
8478020_vs_8478401,11
8478020_vs_8479987,11
8478146_vs_8478401,9
8478146_vs_8479987,7
8477956_vs_8478146,10
8478874_vs_8479987,6
8477956_vs_8478020,11
8478401_vs_8478874,6
8477956_vs_8478874,5
8473419_vs_8478020,5
8473419_vs_8478146,9
8473419_vs_8478874,6
8477887_vs_8482092,8
8477887_vs_8482116,6
8477887_vs_8480208,5
8475745_vs_8482092,10
8473419_vs_8482092,10
8474102_vs_8477887,5
8473419_vs_8474102,8
8474102_vs_8475745,10
8474102_vs_8481556,5
8481556_vs_8482116,4
8481556_vs_8482092,6
8477887_vs_8482859,5
8481556_vs_8482859,3
8479368_vs_8482092,2
8474102_vs_8479368,4
8479368_vs_8482859,5
8474102_vs_8483505,5
8482092_vs_8483505,6
8479987_vs_8482092,13
8474102_vs_8479987,7
8477956_vs_8482092,15
8474102_vs_8477956,6
8479987_vs_8482859,2
8477956_vs_8482859,3
8482859_vs_8483505,5
8474102_vs_8478401,8
8478401_vs_8482859,2
8478401_vs_8482092,16
8477496_vs_8482116,12
8477496_vs_8480208,10
8477887_vs_8481596,5
8478874_vs_8483505,5
8473512_vs_8477887,6
8477887_vs_8480801,6
8475745_vs_8478874,5
8478146_vs_8483505,8
8475745_vs_8478146,6
8473419_vs_8482859,4
8475745_vs_8482859,4
8479968_vs_8482116,7
8479365_vs_8482116,7
8476393_vs_8479365,4
8476393_vs_8479968,4
8476393_vs_8477496,3
8478020_vs_8483505,4
8475745_vs_8478020,5
8473512_vs_8479368,2
8479368_vs_8480801,3
8479368_vs_8480208,4
8479368_vs_8482116,4
8480208_vs_8481556,3
8476393_vs_8479368,1
8476393_vs_8481556,1
8476393_vs_8477887,1
8479368_vs_8481596,1
