,time_together
8471724_vs_8481605,16
8475462_vs_8477969,12
8471724_vs_8475462,15
8477969_vs_8481605,13
8475462_vs_8476891,16
8476891_vs_8481605,15
8476885_vs_8477969,13
8476885_vs_8476891,19
8477969_vs_8483490,10
8476891_vs_8483490,15
8474578_vs_8476885,15
8474578_vs_8483490,15
8476891_vs_8481563,10
8474578_vs_8481563,12
8476885_vs_8483503,10
8480058_vs_8481563,11
8481563_vs_8483503,11
8476885_vs_8480058,10
8475208_vs_8480058,10
8475208_vs_8483503,10
8474578_vs_8481605,16
8475208_vs_8476891,12
8474578_vs_8475208,12
8475462_vs_8483503,10
8475462_vs_8480058,6
8480058_vs_8481605,6
8481605_vs_8483503,11
8471724_vs_8476885,12
8474578_vs_8475462,15
8477969_vs_8481563,10
8475208_vs_8477969,11
8471724_vs_8475208,9
8471724_vs_8481563,7
8483490_vs_8483503,10
8480058_vs_8483490,9
8471724_vs_8483490,8
