,time_together
8477492_vs_8479987,15
8477492_vs_8478401,20
8477494_vs_8477956,18
8478401_vs_8480039,19
8477492_vs_8477956,20
8477956_vs_8480039,18
8477494_vs_8478401,19
8477494_vs_8479987,15
8479987_vs_8480039,15
8473419_vs_8477492,14
8473419_vs_8477494,16
8473419_vs_8480039,16
8479999_vs_8483505,10
8477956_vs_8479999,12
8477956_vs_8481704,7
8473419_vs_8479999,12
8481704_vs_8483505,12
8477494_vs_8483505,11
8473419_vs_8481704,15
8477476_vs_8477956,8
8477476_vs_8483505,11
8473419_vs_8477476,14
8475745_vs_8477476,13
8475745_vs_8479999,13
8475745_vs_8481704,14
8477476_vs_8479365,8
8479365_vs_8479999,8
8479365_vs_8481704,6
8479365_vs_8480835,12
8477496_vs_8480835,11
8477496_vs_8481186,11
8479365_vs_8481186,11
8477496_vs_8481704,5
8479968_vs_8480835,12
8479968_vs_8481186,12
8479968_vs_8481704,5
8477496_vs_8479525,9
8479525_vs_8479968,10
8479365_vs_8479525,11
8479525_vs_8479638,7
8479638_vs_8481186,8
8479638_vs_8480835,8
8479368_vs_8479525,6
8479368_vs_8480835,7
8479368_vs_8481186,7
8479525_vs_8481556,9
8480835_vs_8481556,9
8481186_vs_8481556,7
8475780_vs_8481556,6
8475780_vs_8479638,5
8475780_vs_8479368,5
8479638_vs_8480448,6
8480448_vs_8481556,6
8479368_vs_8480448,6
8481556_vs_8481641,6
8479638_vs_8481641,6
8479368_vs_8481641,6
8475780_vs_8477956,5
8477956_vs_8480448,5
8477956_vs_8481641,4
8475780_vs_8479987,4
8479987_vs_8480448,5
8479987_vs_8481641,4
8478401_vs_8481641,4
8475780_vs_8478401,4
8478401_vs_8480448,5
8477492_vs_8483505,8
8480039_vs_8483505,10
8475745_vs_8477494,15
8475745_vs_8480039,14
8475745_vs_8477492,11
8477476_vs_8479968,5
8479968_vs_8479999,5
8477476_vs_8477496,9
8477496_vs_8479999,4
8475745_vs_8480835,7
8473419_vs_8480835,6
8481186_vs_8483505,6
8479525_vs_8483505,7
8475745_vs_8481186,6
8473419_vs_8481186,6
8475745_vs_8479525,9
8480835_vs_8483505,6
8473419_vs_8479525,7
8473419_vs_8481641,5
8481641_vs_8483505,4
8473419_vs_8475780,4
8475780_vs_8483505,4
8480448_vs_8483505,3
8477496_vs_8480039,11
8477494_vs_8477496,12
8477492_vs_8477496,12
8478401_vs_8481704,3
8479987_vs_8481704,4
8479987_vs_8479999,7
8478401_vs_8479999,7
8477476_vs_8479987,6
8477476_vs_8478401,8
8479987_vs_8480835,6
8477956_vs_8480835,5
8478401_vs_8480835,5
8479987_vs_8481186,8
8477956_vs_8481186,5
8477956_vs_8479525,8
8479525_vs_8479987,7
8477492_vs_8481556,5
8479365_vs_8480039,8
8480039_vs_8481556,6
8477492_vs_8479365,7
8477494_vs_8479638,3
8477492_vs_8479638,2
8477494_vs_8481556,5
8479638_vs_8480039,3
8477494_vs_8479365,8
8475745_vs_8480448,3
8473419_vs_8480448,3
8475745_vs_8481641,5
8475745_vs_8475780,6
8481556_vs_8481704,5
8479638_vs_8481704,3
8477476_vs_8479638,3
8479368_vs_8481704,3
8479638_vs_8479999,3
8477476_vs_8481556,5
8479999_vs_8481556,5
8477476_vs_8479368,3
8479368_vs_8479999,3
8477496_vs_8480448,6
8477496_vs_8481641,6
8478401_vs_8481186,3
8479968_vs_8480448,6
8479968_vs_8481641,6
8479968_vs_8480039,6
8477492_vs_8479968,5
8477494_vs_8479968,4
8475780_vs_8477496,3
8479365_vs_8480448,5
8479365_vs_8481641,5
8475780_vs_8479365,3
8475780_vs_8479968,3
8478401_vs_8479525,5
8477494_vs_8479368,1
