,time_together
8479407_vs_8476875,16
8478133_vs_8478399,15
8476474_vs_8483457,18
8478133_vs_8480192,14
8476981_vs_8478399,13
8480002_vs_8483457,11
8476474_vs_8476875,17
8476469_vs_8480192,11
8476981_vs_8480192,13
8476469_vs_8478399,12
8480002_vs_8476875,11
8479407_vs_8483457,17
8476292_vs_8483457,9
8481032_vs_8483457,7
8481032_vs_8476875,9
8476292_vs_8476875,10
8478133_vs_8476462,13
8476981_vs_8476462,10
8476469_vs_8476462,10
8481559_vs_8476875,17
8480018_vs_8476462,12
8476469_vs_8475455,9
8476981_vs_8475455,9
8481559_vs_8483457,13
8480018_vs_8475455,10
8481559_vs_8482087,22
8476292_vs_8482087,18
8481032_vs_8482087,13
8481559_vs_8478851,20
8481540_vs_8475455,10
8483515_vs_8475455,10
8481540_vs_8476462,13
8483515_vs_8476462,11
8481032_vs_8478851,12
8476292_vs_8478851,16
8479339_vs_8482684,10
8482110_vs_8475233,12
8481523_vs_8482684,10
8478414_vs_8475233,11
8482110_vs_8482964,13
8475413_vs_8475233,11
8478414_vs_8482964,13
8481618_vs_8477488,9
8475413_vs_8482964,12
8479339_vs_8477488,9
8481523_vs_8477488,8
8481618_vs_8482684,9
8475413_vs_8482087,7
8482110_vs_8482087,15
8478414_vs_8482087,15
8478414_vs_8478851,14
8475413_vs_8478851,9
8482110_vs_8478851,15
8477989_vs_8477488,12
8477989_vs_8482684,14
8477508_vs_8482087,8
8475848_vs_8477488,11
8479414_vs_8482087,9
8475848_vs_8475455,6
8479543_vs_8477488,6
8477989_vs_8475455,6
8475848_vs_8476462,5
8479543_vs_8476462,4
8479543_vs_8475455,4
8479414_vs_8478851,8
8477508_vs_8478851,8
8477989_vs_8476462,8
8475193_vs_8478851,7
8475193_vs_8482087,6
8479414_vs_8483457,8
8477508_vs_8483457,11
8475193_vs_8483457,9
8479414_vs_8476875,10
8477508_vs_8476875,11
8475193_vs_8476875,9
8478133_vs_8475455,11
8482110_vs_8476875,14
8480018_vs_8480192,10
8478414_vs_8476875,13
8475413_vs_8476875,6
8483515_vs_8478399,10
8483515_vs_8480192,8
8475413_vs_8483457,6
8482110_vs_8483457,14
8478414_vs_8483457,13
8480018_vs_8478399,9
8480018_vs_8482684,12
8481540_vs_8477488,12
8483515_vs_8477488,12
8481540_vs_8482684,12
8483515_vs_8482684,11
8480018_vs_8477488,11
8481618_vs_8476462,9
8481523_vs_8475455,8
8479339_vs_8476462,8
8481523_vs_8476462,8
8481618_vs_8475455,10
8479339_vs_8475455,8
8481032_vs_8482964,4
8481559_vs_8482964,5
8476292_vs_8482964,3
8481523_vs_8480192,10
8481618_vs_8480192,13
8479339_vs_8480192,9
8479339_vs_8478399,10
8481618_vs_8478399,13
8481523_vs_8478399,10
8475848_vs_8482684,9
8479543_vs_8482684,5
8477508_vs_8475233,10
8477508_vs_8482964,10
8475193_vs_8482964,9
8475193_vs_8475233,9
8476474_vs_8482087,16
8480002_vs_8478851,10
8480002_vs_8482087,10
8479407_vs_8478851,18
8479407_vs_8482087,19
8476474_vs_8478851,12
8481540_vs_8478399,9
8475848_vs_8478399,10
8475848_vs_8480192,10
8477989_vs_8478399,9
8477989_vs_8480192,10
8479414_vs_8482964,10
8479414_vs_8475233,9
8478133_vs_8477488,8
8476469_vs_8477488,10
8476981_vs_8477488,9
8478133_vs_8482684,11
8476469_vs_8482684,10
8476981_vs_8482684,9
8481540_vs_8480192,8
8479543_vs_8478399,3
8479543_vs_8480192,3
8479407_vs_8482964,3
8480002_vs_8475233,3
8481559_vs_8475233,2
8479407_vs_8475233,2
8476474_vs_8475233,2
8480002_vs_8482964,2
8481032_vs_8475233,2
8476474_vs_8482964,3
