,time_together
8478133_vs_8479407,11
8476469_vs_8480002,10
8476981_vs_8480002,10
8476469_vs_8479407,10
8476981_vs_8479407,12
8476474_vs_8476981,13
8476469_vs_8476474,13
8478133_vs_8480002,9
8476474_vs_8478133,13
8476292_vs_8476469,8
8476292_vs_8478133,7
8478133_vs_8481032,6
8476292_vs_8476981,7
8476469_vs_8481032,5
8476981_vs_8481032,4
8476469_vs_8481559,10
8480018_vs_8481032,10
8476292_vs_8480018,12
8480018_vs_8481559,18
8476981_vs_8481559,8
8481032_vs_8483515,11
8476292_vs_8483515,13
8481559_vs_8483515,17
8481032_vs_8481540,11
8476292_vs_8481540,13
8481540_vs_8481559,18
8475413_vs_8481523,6
8478414_vs_8481618,11
8478414_vs_8479339,13
8475413_vs_8481618,8
8475413_vs_8479339,6
8481618_vs_8482110,10
8479339_vs_8482110,14
8478414_vs_8481523,11
8481523_vs_8482110,11
8477989_vs_8478414,13
8475413_vs_8477989,10
8477989_vs_8482110,16
8475848_vs_8477508,9
8479414_vs_8479543,6
8477508_vs_8479543,6
8475848_vs_8479414,8
8477508_vs_8477989,10
8477989_vs_8479414,8
8475193_vs_8479543,6
8475193_vs_8475848,8
8475193_vs_8477989,7
8475193_vs_8478133,7
8476469_vs_8477508,7
8475193_vs_8476981,5
8478133_vs_8479414,7
8476981_vs_8477508,6
8476469_vs_8479414,5
8475193_vs_8476469,6
8476981_vs_8479414,5
8477508_vs_8478133,8
8478133_vs_8478414,10
8476981_vs_8478414,8
8476469_vs_8478414,8
8475413_vs_8476981,3
8475413_vs_8478133,5
8475413_vs_8476469,2
8478133_vs_8482110,10
8476981_vs_8482110,6
8476469_vs_8482110,8
8480018_vs_8482110,9
8482110_vs_8483515,8
8478414_vs_8483515,5
8475413_vs_8483515,6
8478414_vs_8480018,6
8475413_vs_8480018,6
8481540_vs_8482110,8
8478414_vs_8481540,5
8475413_vs_8481540,6
8480002_vs_8480018,9
8480002_vs_8483515,7
8480002_vs_8481540,8
8476474_vs_8481540,8
8476474_vs_8480018,8
8476474_vs_8483515,7
8479407_vs_8480018,16
8479407_vs_8483515,13
8479407_vs_8481540,16
8481032_vs_8481618,3
8476292_vs_8481618,6
8476292_vs_8479339,4
8479339_vs_8481032,2
8481559_vs_8481618,8
8479339_vs_8481559,8
8481523_vs_8481559,7
8481032_vs_8481523,2
8476292_vs_8481523,5
8475848_vs_8482110,10
8475413_vs_8475848,9
8475848_vs_8478414,11
8478414_vs_8479543,4
8475413_vs_8479543,4
8479543_vs_8482110,4
8477508_vs_8481618,9
8477508_vs_8479339,7
8475193_vs_8481523,7
8479414_vs_8481618,8
8479414_vs_8481523,7
8477508_vs_8481523,7
8475193_vs_8481618,8
8475193_vs_8479339,6
8479339_vs_8479414,7
8479407_vs_8481618,8
8479407_vs_8481523,7
8479339_vs_8479407,9
8479339_vs_8480002,6
8480002_vs_8481618,5
8476474_vs_8479339,6
8476474_vs_8481523,8
8480002_vs_8481523,4
8476474_vs_8481618,9
8477989_vs_8481559,9
8479543_vs_8481559,2
8476292_vs_8477989,6
8476292_vs_8479543,2
8478133_vs_8481559,9
8477989_vs_8481032,5
8477508_vs_8483515,5
8477508_vs_8481540,4
8477508_vs_8480018,4
8475848_vs_8480002,2
8477989_vs_8480002,3
8475848_vs_8479407,5
8477989_vs_8479407,6
8476474_vs_8477989,10
8475848_vs_8476474,5
8479407_vs_8479543,2
8476474_vs_8479543,2
8475848_vs_8476292,3
8479414_vs_8481540,7
8475848_vs_8481559,5
8479543_vs_8480002,1
8475193_vs_8483515,2
8479414_vs_8483515,6
8475193_vs_8481540,1
8479414_vs_8480018,5
8475848_vs_8481032,2
