,time_together
8477956_vs_8481528,15
8479987_vs_8481528,16
8475722_vs_8478401,16
8475722_vs_8479987,14
8477949_vs_8477956,17
8478401_vs_8481528,15
8477949_vs_8478401,17
8477949_vs_8479987,18
8475722_vs_8477956,14
8479420_vs_8479987,6
8477956_vs_8479420,8
8478401_vs_8479420,6
8479987_vs_8483468,6
8478401_vs_8482175,6
8477956_vs_8482175,8
8478401_vs_8483468,5
8477956_vs_8483468,6
8479987_vs_8482175,8
8473419_vs_8483468,12
8473419_vs_8479420,12
8473419_vs_8482175,12
8479420_vs_8483505,11
8483468_vs_8483505,9
8482175_vs_8483505,11
8475745_vs_8482175,13
8475745_vs_8483468,13
8475745_vs_8479420,13
8473419_vs_8480802,13
8475745_vs_8480802,11
8480802_vs_8483505,10
8475745_vs_8482097,12
8473419_vs_8482097,11
8482097_vs_8483505,9
8481522_vs_8483505,11
8473419_vs_8481522,9
8475745_vs_8481522,9
8479365_vs_8482097,8
8479365_vs_8480802,12
8479365_vs_8481522,13
8477496_vs_8482097,9
8477496_vs_8480802,11
8477496_vs_8481522,8
8477496_vs_8482896,6
8479365_vs_8482896,7
8479968_vs_8481522,10
8479968_vs_8482097,10
8479968_vs_8482896,6
8479359_vs_8479968,7
8477496_vs_8479359,7
8479359_vs_8479365,8
8477496_vs_8484145,10
8479968_vs_8484145,8
8479365_vs_8484145,10
8479359_vs_8481556,7
8481556_vs_8482896,7
8481556_vs_8484145,8
8479638_vs_8484145,9
8481043_vs_8484145,7
8481043_vs_8482896,7
8479359_vs_8479638,9
8479359_vs_8481043,6
8479638_vs_8482896,9
8479638_vs_8481528,7
8481528_vs_8481556,7
8481043_vs_8481528,7
8475722_vs_8481043,7
8475722_vs_8481556,10
8475722_vs_8479638,6
8477949_vs_8479638,7
8477949_vs_8481043,8
8477956_vs_8482097,9
8477956_vs_8481522,9
8479987_vs_8480802,10
8477956_vs_8480802,12
8479987_vs_8482097,9
8479987_vs_8481522,9
8479968_vs_8480802,8
8473419_vs_8484145,4
8477949_vs_8481556,8
8475722_vs_8483505,9
8481528_vs_8483505,8
8477949_vs_8483505,10
8473419_vs_8481528,12
8475745_vs_8481528,12
8477956_vs_8482896,3
8478401_vs_8482896,2
8479987_vs_8482896,4
8473419_vs_8475722,11
8473419_vs_8477949,14
8475722_vs_8475745,10
8479365_vs_8482175,9
8479365_vs_8479420,9
8479365_vs_8483468,10
8477496_vs_8479420,12
8477496_vs_8483468,9
8481556_vs_8482097,10
8481522_vs_8481556,7
8481043_vs_8481522,5
8479638_vs_8481522,9
8477496_vs_8482175,11
8480802_vs_8481556,7
8479638_vs_8482097,7
8479638_vs_8480802,10
8475745_vs_8477949,10
8481043_vs_8482097,5
8480802_vs_8481043,5
8479987_vs_8484145,3
8479359_vs_8479987,2
8477956_vs_8479359,3
8477956_vs_8484145,5
8478401_vs_8484145,3
8478401_vs_8479359,3
8475722_vs_8477496,8
8477496_vs_8477949,9
8477496_vs_8481528,7
8477949_vs_8479968,5
8479968_vs_8482175,6
8479968_vs_8483468,6
8479420_vs_8479968,6
8478401_vs_8481522,8
8478401_vs_8480802,11
8478401_vs_8482097,10
8477949_vs_8479365,5
8479968_vs_8481528,4
8479365_vs_8481528,6
8475722_vs_8479365,4
8475722_vs_8479968,3
8473419_vs_8479359,1
8481556_vs_8482175,9
8479638_vs_8482175,6
8479420_vs_8481556,8
8479420_vs_8479638,5
8481043_vs_8482175,6
8479420_vs_8481043,5
8481556_vs_8483468,6
8481043_vs_8483468,7
8482896_vs_8483505,3
8475745_vs_8482896,1
8473419_vs_8482896,2
8479638_vs_8483468,5
8475745_vs_8484145,3
8483505_vs_8484145,3
8479359_vs_8483505,1
