,time_together
8477407_vs_8477499,5
8475151_vs_8477499,9
8480028_vs_8477950,8
8480028_vs_8481014,7
8480797_vs_8477950,15
8475754_vs_8477499,12
8480797_vs_8481014,15
8481553_vs_8477950,15
8477407_vs_8480874,3
8481553_vs_8481014,16
8475151_vs_8480874,4
8475754_vs_8480874,5
8480220_vs_8477950,19
8480797_vs_8481059,16
8480220_vs_8481059,9
8481553_vs_8481059,14
8478439_vs_8476917,15
8478439_vs_8481059,13
8478445_vs_8477948,11
8477500_vs_8477948,14
8475314_vs_8477948,11
8478445_vs_8481546,11
8482159_vs_8476917,12
8477500_vs_8481546,12
8482159_vs_8481059,9
8480220_vs_8476917,12
8475314_vs_8481546,11
8482159_vs_8477950,15
8478439_vs_8477950,19
8482159_vs_8481014,15
8478439_vs_8481014,18
8480220_vs_8481014,17
8484387_vs_8477950,5
8476461_vs_8477950,10
8484387_vs_8481014,4
8476419_vs_8482142,8
8476461_vs_8481014,11
8478409_vs_8477950,14
8478409_vs_8481014,11
8475231_vs_8476372,9
8481601_vs_8476372,9
8476419_vs_8476372,7
8475231_vs_8482142,11
8481601_vs_8482142,11
8484387_vs_8476429,7
8483553_vs_8476372,6
8484387_vs_8483448,3
8478409_vs_8476429,10
8476461_vs_8483448,3
8478409_vs_8483448,3
8476461_vs_8476429,14
8483553_vs_8482142,8
8481237_vs_8476372,7
8479022_vs_8476429,8
8484958_vs_8480874,6
8476872_vs_8483448,2
8477903_vs_8476429,11
8479022_vs_8483448,2
8481237_vs_8480874,8
8477903_vs_8483448,2
8484958_vs_8476372,7
8476872_vs_8476429,9
8483553_vs_8480874,7
8481237_vs_8477499,10
8484958_vs_8477499,10
8483553_vs_8477499,8
8476872_vs_8476917,10
8479022_vs_8476917,8
8477903_vs_8476917,10
8480797_vs_8476917,13
8480797_vs_8476429,16
8480028_vs_8476917,6
8477903_vs_8481059,7
8480028_vs_8481059,6
8481553_vs_8476917,13
8475754_vs_8481546,17
8477407_vs_8481546,16
8475151_vs_8481546,17
8477407_vs_8477948,15
8475151_vs_8477948,19
8475754_vs_8477948,19
8477500_vs_8482142,9
8478445_vs_8476372,13
8477500_vs_8476372,13
8475314_vs_8476372,12
8478445_vs_8482142,9
8475314_vs_8482142,9
8475231_vs_8480874,7
8481601_vs_8480874,6
8475231_vs_8477499,8
8476419_vs_8480874,6
8481601_vs_8477499,7
8484387_vs_8481059,7
8484387_vs_8476917,7
8476461_vs_8476917,13
8478409_vs_8476917,13
8476461_vs_8481059,12
8478409_vs_8481059,8
8476419_vs_8477499,9
8481237_vs_8481546,8
8483553_vs_8477948,10
8484958_vs_8477948,10
8481237_vs_8477948,9
8483553_vs_8481546,10
8484958_vs_8481546,9
8481553_vs_8483448,1
8480028_vs_8483448,1
8480797_vs_8483448,1
8481553_vs_8476429,14
8480028_vs_8476429,7
8475754_vs_8476372,10
8477407_vs_8476372,7
8475151_vs_8476372,9
8476419_vs_8481546,10
8482159_vs_8476429,11
8477903_vs_8477950,15
8475231_vs_8481546,10
8481601_vs_8481546,11
8479022_vs_8477950,12
8475314_vs_8480874,8
8478445_vs_8477499,11
8475314_vs_8477499,11
8478445_vs_8480874,8
8478439_vs_8483448,1
8482159_vs_8483448,1
8480220_vs_8483448,2
8475754_vs_8482142,12
8477500_vs_8480874,9
8477500_vs_8477499,14
8475231_vs_8477948,10
8481601_vs_8477948,9
8477903_vs_8481014,11
8476872_vs_8481014,14
8479022_vs_8481014,10
8476872_vs_8477950,15
8478439_vs_8476429,11
8475151_vs_8482142,14
8480220_vs_8476429,9
8479022_vs_8481059,5
8477407_vs_8482142,9
8476419_vs_8477948,6
8481237_vs_8482142,7
8484958_vs_8482142,7
8476872_vs_8481059,9
