,time_together
8476525_vs_8477507,8
8477507_vs_8479378,10
8476525_vs_8479369,9
8479369_vs_8479378,9
8476525_vs_8482511,6
8476525_vs_8479325,6
8479378_vs_8482511,9
8479325_vs_8479378,10
8476331_vs_8478443,8
8476331_vs_8478450,9
8477504_vs_8478450,13
8477504_vs_8478443,11
8477504_vs_8477507,17
8478443_vs_8480145,14
8479369_vs_8480145,15
8479325_vs_8480145,22
8479325_vs_8480049,19
8480049_vs_8482511,16
8480145_vs_8482511,19
8477504_vs_8482511,13
8477504_vs_8479325,13
8476331_vs_8482511,14
8476331_vs_8479325,15
8477504_vs_8479369,17
8476331_vs_8479369,17
8477507_vs_8480145,15
8479369_vs_8480049,14
8477507_vs_8480049,15
8476525_vs_8478443,14
8476525_vs_8478450,15
8478443_vs_8479378,10
8478450_vs_8479378,9
8476331_vs_8477507,16
8478450_vs_8480145,12
8478443_vs_8480049,10
8478450_vs_8480049,11
