,time_together
8481556_vs_8479378,3
8479968_vs_8476525,7
8480845_vs_8479369,9
8475799_vs_8479369,11
8481556_vs_8476525,6
8481043_vs_8479378,2
8475799_vs_8477507,10
8484135_vs_8479369,8
8480845_vs_8477507,8
8479968_vs_8479378,5
8484135_vs_8477507,5
8481043_vs_8476525,5
8478401_vs_8476525,8
8479987_vs_8479378,10
8477956_vs_8476525,9
8480845_vs_8482511,9
8480845_vs_8479325,9
8475799_vs_8482511,8
8475799_vs_8479325,10
8478401_vs_8479378,10
8479987_vs_8476525,9
8484135_vs_8482511,11
8484135_vs_8479325,11
8477956_vs_8479378,10
8477496_vs_8477504,13
8475745_vs_8476331,13
8478398_vs_8478450,11
8473419_vs_8476331,11
8476460_vs_8478443,11
8478398_vs_8478443,12
8475745_vs_8477504,16
8476460_vs_8478450,11
8480014_vs_8478443,11
8477496_vs_8476331,11
8473419_vs_8477504,12
8480014_vs_8478450,11
8477940_vs_8477507,9
8476460_vs_8477507,18
8480014_vs_8477507,15
8478398_vs_8477507,18
8478401_vs_8477504,19
8477940_vs_8478443,10
8481556_vs_8477504,11
8480014_vs_8479369,14
8475745_vs_8480145,15
8482149_vs_8478443,11
8476460_vs_8479369,15
8482149_vs_8479325,14
8482149_vs_8479369,9
8477940_vs_8479325,11
8477940_vs_8479369,8
8476460_vs_8479325,7
8480014_vs_8479325,7
8479365_vs_8480145,10
8481043_vs_8480145,8
8476480_vs_8479369,8
8480113_vs_8479325,13
8480113_vs_8479369,8
8476480_vs_8479325,14
8478891_vs_8482511,9
8479638_vs_8480145,11
8478891_vs_8479325,11
8479365_vs_8480049,11
8483505_vs_8480145,11
8479638_vs_8480049,11
8483505_vs_8480049,12
8479638_vs_8477504,8
8483505_vs_8477504,7
8479365_vs_8477504,7
8479365_vs_8476331,10
8481019_vs_8482511,14
8481019_vs_8479325,15
8479638_vs_8476331,8
8483505_vs_8476331,12
8478401_vs_8476331,15
8479987_vs_8477504,14
8479987_vs_8476331,13
8480113_vs_8482511,12
8477956_vs_8477504,15
8477956_vs_8476331,15
8481019_vs_8479369,11
8478398_vs_8479369,12
8473419_vs_8480145,12
8477496_vs_8480049,12
8475745_vs_8480049,12
8477496_vs_8480145,12
8473419_vs_8480049,12
8473419_vs_8479378,9
8475745_vs_8476525,9
8477496_vs_8479378,9
8473419_vs_8476525,8
8475745_vs_8479378,9
8477496_vs_8476525,8
8482149_vs_8478450,9
8477940_vs_8478450,8
8476480_vs_8478443,10
8476480_vs_8478450,8
8479968_vs_8476331,6
8476480_vs_8482511,13
8482149_vs_8482511,11
8481043_vs_8477504,7
8481556_vs_8476331,6
8477940_vs_8482511,11
8479968_vs_8477504,8
8481043_vs_8476331,5
8481556_vs_8480049,8
8481043_vs_8480049,7
8479968_vs_8480049,8
8478891_vs_8479369,7
8478891_vs_8477507,7
8476480_vs_8477507,9
8479987_vs_8480049,13
8478401_vs_8480049,14
8479987_vs_8480145,13
8481019_vs_8477507,8
8478401_vs_8480145,16
8477956_vs_8480049,15
8477956_vs_8480145,17
8480113_vs_8477507,6
8479365_vs_8476525,7
8479638_vs_8479378,7
8475799_vs_8478443,11
8478891_vs_8478450,11
8483505_vs_8479378,8
8480845_vs_8478443,8
8480845_vs_8478450,10
8475799_vs_8478450,13
8479365_vs_8479378,7
8479638_vs_8476525,7
8483505_vs_8476525,7
8478891_vs_8478443,11
8482149_vs_8477507,8
8476460_vs_8482511,7
8478398_vs_8482511,6
8478398_vs_8479325,7
8480014_vs_8482511,6
8481556_vs_8480145,9
8479968_vs_8480145,7
8484135_vs_8478450,4
8480113_vs_8478443,4
8481019_vs_8478450,4
8484135_vs_8478443,2
8480113_vs_8478450,3
8481019_vs_8478443,2
