,time_together
8477407_vs_8475179,15
8477500_vs_8478859,16
8479314_vs_8477950,12
8480003_vs_8477950,10
8475314_vs_8475179,15
8479314_vs_8481014,14
8475314_vs_8478859,16
8480003_vs_8481014,10
8477500_vs_8475179,15
8477407_vs_8478859,16
8477935_vs_8477950,14
8477935_vs_8481014,13
8477933_vs_8481014,15
8477933_vs_8477950,16
8477409_vs_8481059,15
8475151_vs_8477932,14
8477933_vs_8481059,15
8477493_vs_8476917,14
8477493_vs_8481059,14
8484958_vs_8477932,14
8475754_vs_8477932,15
8475151_vs_8478055,13
8475754_vs_8478055,14
8484958_vs_8478055,14
8477409_vs_8476917,16
8477933_vs_8476917,16
8475231_vs_8477220,11
8481601_vs_8477220,12
8475231_vs_8484304,9
8476419_vs_8477220,10
8481601_vs_8484304,8
8480185_vs_8480871,14
8476419_vs_8484304,8
8480185_vs_8481014,12
8482113_vs_8480871,15
8482113_vs_8481014,13
8478542_vs_8480871,12
8478542_vs_8481014,11
8477931_vs_8481014,7
8477931_vs_8480871,7
8478421_vs_8481014,6
8481237_vs_8484304,10
8481237_vs_8478859,8
8478115_vs_8484304,8
8478115_vs_8478859,8
8479981_vs_8480871,7
8483553_vs_8478859,9
8478421_vs_8480871,6
8479981_vs_8481014,6
8483553_vs_8484304,9
8478421_vs_8481059,6
8479981_vs_8481059,6
8477931_vs_8481059,6
8479981_vs_8476917,6
8477931_vs_8476917,5
8478421_vs_8476917,5
8477935_vs_8481059,11
8477935_vs_8476917,12
8479314_vs_8476917,13
8480003_vs_8476917,11
8479314_vs_8481059,11
8480003_vs_8481059,11
8477407_vs_8478055,13
8477500_vs_8477932,20
8475314_vs_8477932,15
8477500_vs_8478055,14
8475314_vs_8478055,13
8477407_vs_8477932,14
8477493_vs_8481014,16
8477409_vs_8477950,13
8477409_vs_8481014,17
8477493_vs_8477950,12
8476419_vs_8477932,12
8476419_vs_8478055,7
8475151_vs_8484304,8
8484958_vs_8484304,7
8475151_vs_8477220,8
8484958_vs_8477220,9
8482113_vs_8477950,14
8477933_vs_8479395,6
8482113_vs_8479395,8
8477409_vs_8479395,4
8482113_vs_8476917,13
8480185_vs_8479395,8
8478542_vs_8476917,11
8478542_vs_8479395,6
8480185_vs_8476917,10
8478421_vs_8479395,6
8477931_vs_8479395,6
8483553_vs_8475179,7
8481237_vs_8475179,6
8478115_vs_8475179,5
8479981_vs_8479395,6
8480003_vs_8480871,5
8479981_vs_8477950,7
8477931_vs_8477950,9
8479314_vs_8480871,7
8477935_vs_8480871,8
8475754_vs_8484304,8
8475754_vs_8477220,8
8484958_vs_8478859,13
8481601_vs_8478859,14
8480185_vs_8481059,8
8475151_vs_8478859,13
8475151_vs_8475179,14
8481601_vs_8475179,14
8484958_vs_8475179,14
8476419_vs_8475179,11
8476419_vs_8478859,11
8478542_vs_8481059,7
8481237_vs_8477220,9
8475231_vs_8478859,13
8475231_vs_8475179,13
8478421_vs_8477950,6
8478542_vs_8477950,12
8483553_vs_8477932,8
8481237_vs_8477932,5
8478115_vs_8477932,6
8483553_vs_8478055,9
8481237_vs_8478055,6
8478115_vs_8478055,7
8475314_vs_8477220,7
8477500_vs_8477220,7
8475754_vs_8475179,15
8477933_vs_8480871,10
8477493_vs_8480871,10
8477409_vs_8480871,8
8481601_vs_8478055,11
8481601_vs_8477932,12
8475231_vs_8478055,8
8475231_vs_8477932,10
8480185_vs_8477950,13
8475754_vs_8478859,15
8482113_vs_8481059,9
8478115_vs_8477220,7
8483553_vs_8477220,8
8477407_vs_8477220,6
8477500_vs_8484304,4
8475314_vs_8484304,4
8477935_vs_8479395,4
8479314_vs_8479395,4
8480003_vs_8479395,2
8477493_vs_8479395,5
8477407_vs_8484304,3
