,time_together
8476885_vs_8480950,10
8481581_vs_8482803,17
8476885_vs_8481581,19
8480950_vs_8482803,10
8475462_vs_8480950,7
8475462_vs_8481581,18
8481581_vs_8481605,20
8480950_vs_8481605,8
8475462_vs_8476902,17
8475462_vs_8476879,16
8476902_vs_8481605,18
8476879_vs_8481605,13
8475208_vs_8476902,14
8476902_vs_8481563,13
8476879_vs_8481563,10
8475208_vs_8476879,12
8475208_vs_8476856,16
8481563_vs_8483425,13
8476856_vs_8481563,14
8475208_vs_8483425,14
8475208_vs_8481581,15
8481563_vs_8481581,12
8480950_vs_8481563,5
8475208_vs_8480950,5
8482803_vs_8483425,12
8476885_vs_8483425,13
8476856_vs_8482803,11
8476856_vs_8476885,12
8481605_vs_8483425,13
8475462_vs_8483425,13
8476856_vs_8481605,14
8475462_vs_8476856,15
8476902_vs_8482803,11
8476885_vs_8476902,13
8476879_vs_8482803,12
8476879_vs_8476885,13
