,time_together
8477407_vs_8481557,8
8477407_vs_8482079,11
8475314_vs_8475692,9
8477500_vs_8481557,10
8475692_vs_8477407,9
8475314_vs_8481557,8
8477500_vs_8482079,10
8475314_vs_8482079,10
8475692_vs_8477500,11
8475692_vs_8475754,13
8482079_vs_8484958,13
8475692_vs_8484958,12
8475754_vs_8481557,10
8475754_vs_8482079,14
8481557_vs_8484958,9
8475754_vs_8477919,10
8475151_vs_8481557,9
8477919_vs_8484958,12
8475151_vs_8477919,10
8475151_vs_8475692,11
8475151_vs_8476994,9
8476994_vs_8484958,8
8475754_vs_8476994,9
8475149_vs_8475231,10
8475149_vs_8481601,11
8477919_vs_8481601,13
8475231_vs_8476994,8
8475231_vs_8477919,10
8476419_vs_8476994,9
8476419_vs_8477919,9
8475149_vs_8476419,9
8476994_vs_8481601,7
8475149_vs_8481237,9
8476994_vs_8481237,7
8477919_vs_8481237,5
8477919_vs_8483553,4
8475149_vs_8483553,6
8476994_vs_8483553,6
8481237_vs_8482177,10
8475220_vs_8481237,7
8478115_vs_8482177,8
8478115_vs_8483499,7
8482177_vs_8483553,8
8475220_vs_8483553,6
8483499_vs_8483553,7
8475220_vs_8478115,6
8481237_vs_8483499,9
8477407_vs_8482177,14
8475220_vs_8477407,10
8477407_vs_8483499,5
8476913_vs_8478115,4
8476913_vs_8481237,5
8476913_vs_8477407,7
8477500_vs_8483499,7
8475220_vs_8477500,11
8476913_vs_8477500,8
8475314_vs_8476913,8
8477407_vs_8478508,10
8475149_vs_8475314,5
8475149_vs_8477407,6
8477500_vs_8478508,10
8475149_vs_8477500,7
8475314_vs_8478508,9
8475220_vs_8484958,11
8478508_vs_8484958,9
8475151_vs_8475220,11
8475754_vs_8476913,9
8475754_vs_8478508,8
8476913_vs_8484958,8
8475151_vs_8478508,10
8475220_vs_8475754,11
8475151_vs_8476913,8
8475149_vs_8475754,7
8475149_vs_8484958,8
8475149_vs_8475151,7
8475231_vs_8483499,5
8481601_vs_8483499,7
8476419_vs_8483499,5
8475220_vs_8481601,11
8475220_vs_8476419,7
8475220_vs_8475231,7
8476419_vs_8482177,7
8478508_vs_8481237,4
8478508_vs_8483553,4
8483499_vs_8484958,4
8482177_vs_8484958,9
8475151_vs_8483499,5
8475151_vs_8482177,10
8475754_vs_8483499,4
8476419_vs_8482079,8
8475692_vs_8476419,7
8476419_vs_8481557,7
8475692_vs_8481601,5
8475231_vs_8475692,5
8481557_vs_8481601,5
8475231_vs_8481557,4
8475231_vs_8482079,5
8481601_vs_8482079,5
8478508_vs_8481601,7
8475314_vs_8482177,13
8481601_vs_8482177,12
8477500_vs_8482177,14
8475151_vs_8482079,11
8476994_vs_8477500,6
8481557_vs_8483553,4
8475692_vs_8478115,5
8478115_vs_8481557,4
8482079_vs_8483553,5
8478115_vs_8482079,5
8475692_vs_8483553,5
8475754_vs_8482177,9
8475220_vs_8475314,10
8476913_vs_8481601,5
8475231_vs_8476913,4
8476419_vs_8476913,3
8475231_vs_8482177,7
8475314_vs_8476994,3
8475314_vs_8477919,9
8475314_vs_8483499,6
8475231_vs_8478508,5
8476419_vs_8478508,5
8481237_vs_8482079,5
8481237_vs_8481557,3
8475692_vs_8481237,4
8475149_vs_8478115,6
8477919_vs_8478115,3
8477500_vs_8477919,9
8476994_vs_8477407,2
8477407_vs_8477919,6
8476913_vs_8483553,3
8476994_vs_8478115,6
8478115_vs_8478508,3
