,time_together
8473419_vs_8480727,7
8475745_vs_8478396,9
8475745_vs_8480727,8
8478109_vs_8482511,1
8473419_vs_8478396,6
8478109_vs_8479325,1
8477964_vs_8482511,12
8478403_vs_8482511,11
8477964_vs_8479325,16
8478403_vs_8479325,19
8477496_vs_8480727,7
8477496_vs_8478396,6
8477964_vs_8479369,17
8478403_vs_8479369,15
8478109_vs_8479369,1
8475913_vs_8479325,15
8475913_vs_8479369,13
8478401_vs_8478396,10
8473419_vs_8475188,20
8478401_vs_8475188,15
8475745_vs_8475188,17
8478403_vs_8477507,20
8479987_vs_8478396,11
8477964_vs_8477507,15
8479987_vs_8475188,13
8475913_vs_8477507,20
8476438_vs_8479369,13
8477956_vs_8477447,11
8477956_vs_8475188,13
8476438_vs_8477507,17
8479353_vs_8479369,14
8479353_vs_8477507,13
8479987_vs_8477447,13
8478401_vs_8477447,16
8479353_vs_8478443,15
8475913_vs_8480828,8
8475913_vs_8478443,16
8476438_vs_8480828,8
8479353_vs_8480828,8
8476438_vs_8478443,17
8477956_vs_8479980,21
8478401_vs_8479980,16
8479987_vs_8479980,19
8483505_vs_8479980,12
8481534_vs_8480828,6
8481534_vs_8478443,10
8483505_vs_8475188,7
8479365_vs_8475188,7
8476881_vs_8480828,7
8479365_vs_8479980,9
8476881_vs_8478443,14
8480789_vs_8479980,10
8480789_vs_8474565,10
8480789_vs_8475188,5
8483505_vs_8474565,9
8479365_vs_8474565,10
8481604_vs_8480828,6
8481604_vs_8478443,14
8476881_vs_8479325,15
8481604_vs_8482511,11
8481604_vs_8479325,15
8481534_vs_8482511,12
8481534_vs_8479325,12
8476881_vs_8482511,12
8481556_vs_8474565,5
8481556_vs_8479980,4
8480355_vs_8474565,5
8480355_vs_8479980,5
8480355_vs_8478396,9
8479365_vs_8478396,13
8481556_vs_8478396,8
8478434_vs_8482511,10
8478434_vs_8479325,11
8481043_vs_8478396,8
8480007_vs_8482511,13
8480007_vs_8479325,14
8481043_vs_8474565,5
8476881_vs_8479369,14
8480007_vs_8479369,11
8478434_vs_8479369,13
8480007_vs_8477507,13
8478434_vs_8477507,13
8476881_vs_8477507,15
8478462_vs_8479369,12
8478462_vs_8477507,12
8481556_vs_8480727,7
8481043_vs_8480727,7
8480355_vs_8480727,9
8473419_vs_8477447,19
8475745_vs_8477447,19
8475913_vs_8482511,11
8477496_vs_8477447,20
8477496_vs_8475188,20
8477964_vs_8478443,12
8478403_vs_8478443,12
8477964_vs_8480828,9
8478403_vs_8480828,7
8477956_vs_8474565,19
8479987_vs_8474565,15
8478401_vs_8474565,15
8478434_vs_8478443,10
8478434_vs_8480828,4
8483505_vs_8480727,14
8480789_vs_8480727,9
8483505_vs_8478396,14
8480789_vs_8478396,10
8479365_vs_8480727,10
8481043_vs_8475188,3
8480355_vs_8475188,3
8481043_vs_8477447,4
8478462_vs_8478443,9
8481556_vs_8477447,5
8480007_vs_8478443,9
8478462_vs_8479325,15
8481556_vs_8475188,3
8480355_vs_8477447,4
8478462_vs_8482511,12
8475745_vs_8479980,6
8473419_vs_8479980,5
8475745_vs_8474565,7
8473419_vs_8474565,8
8477496_vs_8479980,8
8477496_vs_8474565,11
8479353_vs_8482511,13
8479353_vs_8479325,11
8476438_vs_8479325,13
8477956_vs_8478396,15
8477956_vs_8480727,14
8478401_vs_8480727,8
8479987_vs_8480727,11
8476438_vs_8482511,9
8478462_vs_8480828,4
8481534_vs_8479369,8
8481534_vs_8477507,6
8481604_vs_8477507,15
8481604_vs_8479369,13
8483505_vs_8477447,6
8479365_vs_8477447,5
8480789_vs_8477447,3
8480007_vs_8480828,3
8481043_vs_8479980,4
