,time_together
8478133_vs_8475324,5
8482476_vs_8475324,5
8476469_vs_8475324,6
8473512_vs_8476875,17
8478133_vs_8478469,10
8482116_vs_8476875,19
8473512_vs_8478851,14
8482116_vs_8478851,17
8476469_vs_8478469,11
8482476_vs_8478469,10
8478874_vs_8476875,17
8478874_vs_8478851,13
8474102_vs_8476875,9
8474102_vs_8478851,13
8480018_vs_8475324,5
8480018_vs_8478469,7
8482116_vs_8481593,13
8473512_vs_8481593,14
8474102_vs_8481593,16
8482476_vs_8482245,7
8483515_vs_8482245,18
8482092_vs_8481593,16
8474102_vs_8483457,14
8480018_vs_8482105,21
8480208_vs_8483457,14
8482476_vs_8482105,7
8483515_vs_8482105,19
8480208_vs_8481593,17
8480018_vs_8482245,19
8482092_vs_8483457,18
8481540_vs_8482105,21
8481540_vs_8482245,20
8481540_vs_8482095,6
8483515_vs_8482095,5
8480018_vs_8482095,6
8478020_vs_8483457,15
8478146_vs_8481593,10
8478020_vs_8481593,17
8482859_vs_8483457,14
8481618_vs_8482245,6
8481618_vs_8482095,9
8482859_vs_8481593,12
8478146_vs_8483457,11
8479339_vs_8482095,6
8479339_vs_8484321,5
8480018_vs_8484321,4
8481618_vs_8484321,7
8482859_vs_8482964,10
8478146_vs_8482964,13
8478020_vs_8482964,15
8481523_vs_8482095,8
8481523_vs_8484321,5
8478146_vs_8475233,13
8478020_vs_8475233,15
8482859_vs_8475233,10
8481523_vs_8478469,18
8481618_vs_8478469,18
8479339_vs_8478469,18
8482116_vs_8475233,13
8482116_vs_8482964,11
8481618_vs_8474612,5
8479339_vs_8474612,6
8481523_vs_8474612,6
8473512_vs_8475233,11
8473512_vs_8482964,9
8480208_vs_8482964,10
8480208_vs_8475233,12
8475848_vs_8474612,9
8476981_vs_8474612,9
8476981_vs_8478469,20
8475848_vs_8478469,19
8477989_vs_8474612,10
8480208_vs_8476875,13
8477989_vs_8478469,20
8480208_vs_8478851,14
8476469_vs_8482095,13
8482476_vs_8482095,13
8479393_vs_8476875,11
8478133_vs_8484321,10
8478133_vs_8482095,15
8479393_vs_8478851,11
8482476_vs_8484321,9
8476469_vs_8484321,8
8481133_vs_8476875,14
8481133_vs_8478851,14
8476981_vs_8482095,10
8479393_vs_8481593,11
8478874_vs_8481593,8
8481133_vs_8481593,7
8476981_vs_8484321,12
8475848_vs_8484321,11
8477989_vs_8484321,10
8476981_vs_8475324,9
8475848_vs_8475324,8
8477989_vs_8475324,9
8481540_vs_8478469,9
8483515_vs_8478469,9
8481540_vs_8475324,5
8483515_vs_8475324,6
8477989_vs_8482105,11
8474102_vs_8482964,15
8478874_vs_8475233,12
8478874_vs_8482964,10
8479393_vs_8475233,9
8479393_vs_8482964,8
8481133_vs_8475233,8
8481133_vs_8482964,8
8481540_vs_8484321,3
8483515_vs_8484321,2
8482092_vs_8476875,9
8482092_vs_8478851,10
8478874_vs_8483457,8
8477989_vs_8482245,6
8475848_vs_8482245,6
8482116_vs_8483457,13
8473512_vs_8483457,15
8481618_vs_8475324,15
8479339_vs_8475324,14
8481523_vs_8475324,14
8474102_vs_8475233,15
8482092_vs_8475233,12
8482092_vs_8482964,12
8476469_vs_8474612,8
8478133_vs_8474612,8
8482476_vs_8474612,7
8476469_vs_8482245,5
8478146_vs_8476875,14
8478133_vs_8482105,9
8482859_vs_8476875,11
8476469_vs_8482105,6
8478133_vs_8482245,7
8478020_vs_8476875,17
8475848_vs_8482105,6
8478020_vs_8478851,15
8482859_vs_8478851,7
8478146_vs_8478851,10
8476981_vs_8482105,8
8476981_vs_8482245,5
8479393_vs_8483457,10
8481133_vs_8483457,6
8481618_vs_8482105,5
8479339_vs_8482105,4
8481523_vs_8482105,4
8481523_vs_8482245,4
8479339_vs_8482245,4
8475848_vs_8482095,10
8477989_vs_8482095,10
8480018_vs_8474612,2
8481540_vs_8474612,1
8483515_vs_8474612,2
