,time_together
8471709_vs_8478851,15
8478851_vs_8480043,16
8471709_vs_8476875,16
8476875_vs_8480043,18
8478851_vs_8481567,10
8476875_vs_8481567,7
8478013_vs_8478851,17
8476875_vs_8478013,20
8481567_vs_8481593,9
8478013_vs_8481593,16
8481567_vs_8483457,12
8478013_vs_8483457,21
8481593_vs_8482166,12
8482166_vs_8483457,16
8479983_vs_8483457,19
8479983_vs_8481593,13
8482166_vs_8482964,10
8479983_vs_8482964,9
8475233_vs_8479983,16
8475233_vs_8482166,16
8480043_vs_8482964,7
8475233_vs_8480043,13
8471709_vs_8475233,13
8471709_vs_8482964,9
8481567_vs_8482964,4
8475233_vs_8481567,5
8475233_vs_8478013,11
8478013_vs_8482964,5
8480043_vs_8481593,12
8471709_vs_8481593,9
8480043_vs_8483457,16
8471709_vs_8483457,16
8478851_vs_8479983,12
8478851_vs_8482166,13
8476875_vs_8479983,18
8476875_vs_8482166,16
