,time_together
8477507_vs_8480058,3
8478443_vs_8480058,3
8471724_vs_8477507,17
8471724_vs_8478443,17
8471724_vs_8479369,16
8479369_vs_8480058,3
8480058_vs_8482511,5
8471724_vs_8482511,19
8474578_vs_8482511,20
8474578_vs_8479369,20
8476891_vs_8482511,21
8476891_vs_8479369,21
8478854_vs_8480070,12
8478450_vs_8478854,9
8478450_vs_8479576,8
8479576_vs_8480070,10
8477507_vs_8478854,15
8477507_vs_8479576,9
8478443_vs_8478854,15
8478443_vs_8479576,9
8476891_vs_8478443,15
8474578_vs_8478443,18
8474578_vs_8477507,18
8476891_vs_8477507,17
8476891_vs_8478450,18
8474578_vs_8478450,17
8474578_vs_8480070,12
8476891_vs_8480070,11
8479369_vs_8479576,8
8479576_vs_8482511,12
8478854_vs_8482511,19
8478854_vs_8479369,12
8471724_vs_8478450,12
8471724_vs_8480070,12
8480058_vs_8480070,1
8478450_vs_8480058,2
