,time_together
8477493_vs_8479987,16
8477409_vs_8477956,16
8477933_vs_8477956,17
8477409_vs_8478401,16
8477493_vs_8477956,18
8477933_vs_8478401,19
8477409_vs_8479987,14
8477933_vs_8479987,15
8477493_vs_8478401,19
8477496_vs_8477935,15
8482177_vs_8482713,11
8477496_vs_8482713,15
8477935_vs_8482177,11
8480880_vs_8482713,10
8477496_vs_8478542,9
8478542_vs_8482177,10
8477935_vs_8480880,10
8478542_vs_8480880,10
8477935_vs_8479968,8
8478542_vs_8479968,7
8481043_vs_8482713,9
8479968_vs_8482713,9
8477935_vs_8481043,8
8478542_vs_8481043,7
8479968_vs_8480185,10
8477496_vs_8480185,10
8480185_vs_8481043,9
8480003_vs_8481043,7
8481043_vs_8482113,9
8479999_vs_8482113,12
8479968_vs_8482113,10
8479999_vs_8480003,13
8479968_vs_8480003,8
8479999_vs_8480185,13
8477931_vs_8481556,4
8478421_vs_8481556,4
8477887_vs_8477931,5
8477931_vs_8480355,4
8478421_vs_8480355,5
8481477_vs_8481556,5
8477887_vs_8481477,5
8480355_vs_8481477,5
8477887_vs_8478421,5
8477409_vs_8480355,7
8477409_vs_8477887,6
8479987_vs_8481477,7
8477931_vs_8479987,4
8477887_vs_8477933,4
8477933_vs_8480355,3
8477956_vs_8481477,9
8477956_vs_8478542,11
8478401_vs_8478542,9
8478542_vs_8479987,5
8477493_vs_8477496,12
8477409_vs_8477496,6
8479987_vs_8482713,4
8477935_vs_8477956,5
8477956_vs_8482713,7
8477935_vs_8479987,3
8478401_vs_8482713,9
8477935_vs_8478401,8
8478421_vs_8480880,3
8477496_vs_8478421,3
8478421_vs_8482177,4
8481477_vs_8482177,6
8477496_vs_8481477,6
8480880_vs_8481477,3
8477931_vs_8482177,4
8477931_vs_8480880,3
8477496_vs_8477931,3
8481043_vs_8481477,3
8479999_vs_8481477,10
8477493_vs_8479968,6
8477493_vs_8479999,9
8479968_vs_8481477,7
8477931_vs_8479968,5
8477931_vs_8479999,7
8477493_vs_8481043,9
8477931_vs_8481043,3
8477409_vs_8479999,8
8477409_vs_8479968,6
8477409_vs_8481043,7
8477933_vs_8479968,7
8477933_vs_8479999,8
8477933_vs_8481043,9
8477409_vs_8481556,6
8477493_vs_8481556,6
8477933_vs_8481556,6
8478401_vs_8482113,10
8479987_vs_8482113,10
8477956_vs_8482113,15
8477887_vs_8480003,2
8481556_vs_8482113,4
8480003_vs_8481556,4
8477956_vs_8480003,13
8477887_vs_8482113,3
8480003_vs_8480355,2
8480355_vs_8482113,4
8480185_vs_8481556,4
8480185_vs_8480355,3
8477887_vs_8480185,2
8477887_vs_8477935,8
8477935_vs_8481556,9
8477935_vs_8480355,5
8478542_vs_8481556,7
8481556_vs_8482713,9
8478542_vs_8480355,7
8477887_vs_8478542,8
8480355_vs_8482713,5
8477887_vs_8482713,7
8479999_vs_8482713,5
8477935_vs_8479999,4
8478542_vs_8479999,6
8478421_vs_8479968,4
8478421_vs_8481043,2
8478421_vs_8479999,5
8479987_vs_8480003,10
8478401_vs_8480003,5
8477956_vs_8478421,5
8477931_vs_8477956,5
8477956_vs_8480185,12
8479987_vs_8480185,10
8477409_vs_8482177,5
8477933_vs_8482177,7
8477493_vs_8482177,7
8477496_vs_8477933,11
8477409_vs_8480880,7
8477493_vs_8480880,5
8480003_vs_8482177,6
8480003_vs_8480880,5
8482113_vs_8482177,8
8477496_vs_8480003,7
8477496_vs_8482113,8
8480880_vs_8482113,9
8480185_vs_8482177,7
8480185_vs_8480880,7
8478401_vs_8478421,3
8477931_vs_8478401,3
8478401_vs_8481477,5
8478421_vs_8479987,3
8478401_vs_8480185,6
8477933_vs_8480880,4
8477493_vs_8480355,2
8477493_vs_8477887,2
