,time_together
8475762_vs_8478851,16
8478851_vs_8483768,15
8476875_vs_8483768,13
8475762_vs_8476875,16
8475762_vs_8482964,12
8482964_vs_8483768,9
8475233_vs_8475762,11
8475233_vs_8483768,7
8476875_vs_8477969,22
8477969_vs_8478851,21
8474574_vs_8478851,18
8474574_vs_8476875,18
8478851_vs_8479425,24
8478851_vs_8483678,17
8476875_vs_8479425,25
8476875_vs_8483678,15
8483457_vs_8483678,15
8479425_vs_8483457,20
8479425_vs_8481593,15
8481593_vs_8483678,12
8477969_vs_8481593,16
8477969_vs_8483457,19
8475233_vs_8479425,16
8475233_vs_8477969,11
8477969_vs_8482964,12
8479425_vs_8482964,13
8474574_vs_8482964,9
8474574_vs_8475233,11
8475762_vs_8481593,16
8475762_vs_8483457,16
8481593_vs_8483768,15
8483457_vs_8483768,14
8482964_vs_8483678,8
8475233_vs_8483678,9
8474574_vs_8481593,13
8474574_vs_8483457,17
