,time_together
8476419_vs_8478402,19
8475786_vs_8481601,9
8475314_vs_8475786,8
8474641_vs_8481601,12
8478402_vs_8481601,16
8474641_vs_8475314,12
8474641_vs_8476419,12
8475314_vs_8478402,12
8475786_vs_8476419,9
8475151_vs_8475786,8
8474641_vs_8477407,11
8475786_vs_8477500,9
8474641_vs_8475151,11
8477407_vs_8478402,9
8474641_vs_8477500,12
8475151_vs_8478402,14
8477500_vs_8478402,15
8475786_vs_8477407,7
8475151_vs_8477015,11
8477015_vs_8477407,11
8477015_vs_8477500,12
8475151_vs_8477934,12
8477500_vs_8477934,16
8477407_vs_8477934,10
8470621_vs_8475151,10
8470621_vs_8477407,7
8470621_vs_8477500,10
8477015_vs_8478115,12
8470621_vs_8477392,12
8470621_vs_8478115,12
8477392_vs_8477934,12
8477934_vs_8478115,16
8477015_vs_8477392,11
8477500_vs_8478042,12
8477392_vs_8478042,9
8478042_vs_8478115,11
8475231_vs_8478042,9
8475231_vs_8477934,14
8470621_vs_8475231,12
8478042_vs_8481237,6
8477392_vs_8481617,8
8476454_vs_8481237,6
8481237_vs_8481617,6
8478115_vs_8481617,9
8476454_vs_8477392,7
8476454_vs_8478115,7
8478042_vs_8484958,5
8476454_vs_8484958,5
8481617_vs_8484958,8
8478042_vs_8483553,5
8476454_vs_8483553,4
8481617_vs_8483553,4
8477953_vs_8484958,10
8477953_vs_8481237,7
8477953_vs_8483553,6
8477406_vs_8484958,12
8477406_vs_8481237,7
8477406_vs_8483553,6
8475784_vs_8483553,7
8475784_vs_8481237,7
8475784_vs_8484958,7
8477500_vs_8477953,7
8475784_vs_8477500,7
8477406_vs_8477500,7
8475151_vs_8475784,8
8475151_vs_8477406,8
8475151_vs_8477953,8
8477407_vs_8477953,8
8475784_vs_8477407,7
8477406_vs_8477407,7
8476419_vs_8477934,12
8470621_vs_8476419,8
8476454_vs_8477500,16
8475231_vs_8477015,10
8475231_vs_8476454,6
8475231_vs_8481617,7
8477015_vs_8484958,4
8477015_vs_8481237,2
8477015_vs_8483553,1
8477934_vs_8481237,4
8477934_vs_8483553,3
8475784_vs_8478115,4
8477406_vs_8478115,6
8475231_vs_8477406,5
8475231_vs_8477953,6
8475231_vs_8475784,4
8477953_vs_8478115,5
8477500_vs_8481617,11
8478402_vs_8484958,8
8475786_vs_8484958,2
8475151_vs_8481617,8
8476419_vs_8477953,7
8475314_vs_8477953,8
8477953_vs_8481601,5
8475784_vs_8476419,6
8477406_vs_8481601,6
8475314_vs_8475784,7
8475314_vs_8477406,9
8476419_vs_8477406,8
8475784_vs_8481601,6
8475151_vs_8476454,12
8476454_vs_8477407,9
8476454_vs_8481601,9
8477015_vs_8481601,6
8481601_vs_8481617,5
8477407_vs_8481617,8
8475314_vs_8481617,5
8476419_vs_8481617,7
8475314_vs_8477015,9
8476419_vs_8477015,8
8477934_vs_8484958,3
8475314_vs_8477934,8
8475231_vs_8478402,9
8478115_vs_8478402,8
8474641_vs_8475231,5
8474641_vs_8484958,3
8474641_vs_8478115,4
8474641_vs_8477392,4
8477392_vs_8478402,7
8474641_vs_8483553,2
8478402_vs_8483553,3
8478402_vs_8481237,4
8474641_vs_8481237,2
8475151_vs_8478042,9
8477407_vs_8478042,6
8478042_vs_8481601,3
8475314_vs_8476454,2
8475314_vs_8478042,1
8476419_vs_8476454,4
8476419_vs_8478042,3
8470621_vs_8481601,7
8477934_vs_8481601,11
8470621_vs_8475314,5
8475786_vs_8477392,2
8475786_vs_8478115,2
8475231_vs_8475786,2
8475784_vs_8477392,3
8477392_vs_8477953,4
8477392_vs_8477406,3
8470621_vs_8481237,2
8470621_vs_8484958,1
8470621_vs_8483553,2
8475786_vs_8481237,1
8475786_vs_8483553,1
