,time_together
8474102_vs_8483457,16
8476469_vs_8482245,11
8482476_vs_8482245,8
8481528_vs_8483457,14
8474102_vs_8481593,17
8478133_vs_8482105,13
8481528_vs_8481593,13
8480208_vs_8483457,15
8476469_vs_8482105,12
8482476_vs_8482105,7
8480208_vs_8481593,14
8478133_vs_8482245,11
8476469_vs_8482095,9
8482476_vs_8482095,10
8478133_vs_8482095,11
8482476_vs_8484321,9
8476469_vs_8484321,10
8478133_vs_8484321,10
8482116_vs_8483457,11
8482116_vs_8481593,10
8473512_vs_8483457,13
8473512_vs_8481593,7
8483515_vs_8482245,19
8483515_vs_8482105,20
8480801_vs_8481593,8
8480801_vs_8483457,9
8482116_vs_8476875,20
8480801_vs_8476875,18
8481540_vs_8482105,18
8482116_vs_8478851,17
8480801_vs_8478851,19
8473512_vs_8476875,23
8473512_vs_8478851,19
8481540_vs_8482245,17
8480018_vs_8482105,18
8480018_vs_8482245,17
8481596_vs_8476875,12
8482092_vs_8476875,14
8481596_vs_8478851,14
8478020_vs_8476875,9
8482092_vs_8478851,15
8481618_vs_8474612,10
8479339_vs_8474612,10
8478020_vs_8478851,10
8482749_vs_8478469,8
8482749_vs_8474612,8
8481618_vs_8478469,11
8479339_vs_8478469,9
8482092_vs_8482964,11
8478020_vs_8482964,9
8481596_vs_8482964,12
8478020_vs_8475233,8
8481596_vs_8475233,10
8482092_vs_8475233,10
8475848_vs_8482095,8
8480208_vs_8482964,9
8481618_vs_8482095,12
8479339_vs_8482095,10
8481528_vs_8475233,12
8480208_vs_8475233,12
8481528_vs_8482964,8
8475848_vs_8474612,10
8476981_vs_8474612,12
8474102_vs_8475233,7
8476981_vs_8482095,4
8474102_vs_8482964,10
8477989_vs_8482095,5
8477989_vs_8474612,11
8475848_vs_8484321,8
8477989_vs_8484321,7
8476981_vs_8484321,5
8478020_vs_8483457,10
8482092_vs_8481593,8
8481596_vs_8481593,9
8478020_vs_8481593,8
8475848_vs_8478469,12
8476981_vs_8478469,14
8477989_vs_8478469,12
8481596_vs_8483457,15
8482092_vs_8483457,16
8478133_vs_8474612,7
8482476_vs_8478469,10
8478133_vs_8478469,13
8482476_vs_8474612,10
8478146_vs_8481593,8
8478874_vs_8483457,7
8478874_vs_8481593,8
8478146_vs_8483457,11
8480188_vs_8481593,8
8480188_vs_8483457,6
8478874_vs_8476875,8
8480188_vs_8476875,11
8478146_vs_8476875,5
8480188_vs_8478851,10
8478146_vs_8478851,3
8478874_vs_8478851,6
8483515_vs_8482095,8
8483515_vs_8484321,7
8481540_vs_8482095,8
8480018_vs_8484321,6
8481540_vs_8484321,7
8480018_vs_8482095,8
8479339_vs_8482105,11
8481618_vs_8482245,8
8482749_vs_8482105,8
8479339_vs_8482245,10
8481618_vs_8482105,7
8482749_vs_8482245,8
8476981_vs_8482245,10
8475848_vs_8482245,8
8480188_vs_8482964,8
8480188_vs_8475233,7
8478874_vs_8475233,8
8478874_vs_8482964,8
8478146_vs_8475233,7
8478146_vs_8482964,7
8481540_vs_8478469,15
8483515_vs_8478469,14
8480208_vs_8476875,11
8480208_vs_8478851,8
8480018_vs_8478469,15
8481528_vs_8476875,10
8476981_vs_8482105,12
8482116_vs_8475233,7
8480801_vs_8475233,8
8477989_vs_8482105,14
8476469_vs_8478469,10
8474102_vs_8476875,7
8474102_vs_8478851,7
8481528_vs_8478851,6
8483515_vs_8474612,12
8480018_vs_8474612,12
8481540_vs_8474612,11
8482749_vs_8484321,9
8481618_vs_8484321,10
8482749_vs_8482095,10
8480801_vs_8482964,5
8482116_vs_8482964,3
8475848_vs_8482105,5
8477989_vs_8482245,10
8476469_vs_8474612,5
8479339_vs_8484321,9
8473512_vs_8475233,5
8473512_vs_8482964,4
