,time_together
8478401_vs_8478403,14
8477964_vs_8478401,14
8477964_vs_8479987,12
8478403_vs_8479987,13
8475913_vs_8478401,16
8477956_vs_8478403,14
8477956_vs_8477964,13
8475913_vs_8479987,11
8475913_vs_8477956,12
8476448_vs_8482177,9
8476448_vs_8480880,10
8478462_vs_8480880,8
8476448_vs_8477496,7
8475191_vs_8482177,9
8477496_vs_8478462,6
8475191_vs_8480880,11
8475191_vs_8477496,7
8478462_vs_8482177,9
8478462_vs_8479999,8
8475191_vs_8479999,10
8476448_vs_8479999,13
8475191_vs_8479968,13
8476448_vs_8481043,8
8478462_vs_8481043,12
8475191_vs_8481043,10
8476448_vs_8479968,11
8478462_vs_8479968,7
8476438_vs_8481043,6
8476438_vs_8480880,8
8476438_vs_8479968,9
8476438_vs_8479999,11
8476881_vs_8479999,10
8476881_vs_8481043,9
8476881_vs_8479968,9
8479999_vs_8481604,9
8479968_vs_8481604,9
8481043_vs_8481604,8
8476438_vs_8480355,4
8476881_vs_8480355,5
8480355_vs_8481604,4
8476871_vs_8479968,5
8478434_vs_8481043,7
8479353_vs_8481043,4
8476871_vs_8480355,9
8478434_vs_8480355,10
8479353_vs_8480355,5
8478434_vs_8479968,5
8476871_vs_8481043,10
8479353_vs_8479968,9
8478434_vs_8481556,7
8479353_vs_8481556,9
8477887_vs_8478434,10
8477887_vs_8479353,7
8476871_vs_8477887,9
8476871_vs_8481556,4
8478401_vs_8478434,9
8478401_vs_8479353,9
8476871_vs_8478401,7
8478434_vs_8479987,10
8477887_vs_8477964,8
8476871_vs_8479987,11
8477887_vs_8478403,7
8478401_vs_8478462,11
8478462_vs_8479987,8
8477956_vs_8478462,10
8475191_vs_8477956,8
8476448_vs_8479987,8
8475191_vs_8479987,7
8476448_vs_8477956,9
8480880_vs_8481604,7
8475191_vs_8481556,9
8476881_vs_8481556,6
8481556_vs_8481604,6
8476438_vs_8481556,6
8477956_vs_8478434,10
8479353_vs_8479987,10
8476871_vs_8477956,11
8477956_vs_8479353,10
8477964_vs_8481556,7
8475913_vs_8477887,7
8478403_vs_8481556,7
8475913_vs_8481556,7
8477964_vs_8480355,8
8478403_vs_8480355,7
8475913_vs_8480355,7
8477496_vs_8478403,7
8478403_vs_8479999,3
8476438_vs_8477496,12
8476438_vs_8477956,6
8476438_vs_8479987,6
8477496_vs_8479353,4
8479353_vs_8479999,9
8476438_vs_8482177,11
8479353_vs_8482177,5
8475191_vs_8478401,6
8475913_vs_8482177,6
8475913_vs_8479968,2
8477964_vs_8482177,5
8477887_vs_8478462,11
8478462_vs_8480355,10
8478462_vs_8481556,8
8477887_vs_8481604,3
8476438_vs_8477887,2
8476881_vs_8477887,4
8477496_vs_8481604,12
8476881_vs_8477496,13
8477496_vs_8477964,4
8477964_vs_8480880,4
8475913_vs_8480880,4
8475913_vs_8477496,7
8478403_vs_8480880,4
8477496_vs_8478434,3
8476871_vs_8479999,8
8475191_vs_8480355,5
8476448_vs_8477887,6
8475191_vs_8477887,6
8476448_vs_8480355,3
8476448_vs_8481556,7
8476881_vs_8482177,10
8476881_vs_8480880,7
8478403_vs_8482177,3
8476448_vs_8478401,7
8476871_vs_8482177,7
8478434_vs_8482177,4
8478434_vs_8479999,6
8476881_vs_8479987,6
8478401_vs_8481604,7
8476881_vs_8478401,7
8476438_vs_8478401,4
8479987_vs_8481604,6
8477956_vs_8481604,5
8476881_vs_8477956,6
8478403_vs_8481043,6
8475913_vs_8481043,4
8477964_vs_8481043,4
8477964_vs_8479999,4
8475913_vs_8479999,4
8478403_vs_8479968,2
8477964_vs_8479968,1
8481604_vs_8482177,9
8476871_vs_8480880,3
8478434_vs_8480880,1
8476871_vs_8477496,4
8479353_vs_8480880,4
