,time_together
8475231_vs_8476875,16
8478133_vs_8476429,9
8478133_vs_8476422,11
8475231_vs_8478851,15
8476469_vs_8476429,7
8482476_vs_8476429,9
8478115_vs_8476875,14
8476469_vs_8476422,11
8482476_vs_8476422,10
8478115_vs_8478851,14
8477392_vs_8476875,13
8477392_vs_8478851,13
8476981_vs_8480865,12
8476981_vs_8477506,16
8475314_vs_8476875,9
8477989_vs_8480865,11
8477989_vs_8477506,14
8476419_vs_8476875,13
8475314_vs_8478851,10
8476419_vs_8478851,9
8477407_vs_8476875,11
8477407_vs_8478851,10
8475848_vs_8480865,13
8475848_vs_8477506,16
8475314_vs_8481593,13
8476419_vs_8481593,14
8477407_vs_8481593,13
8477407_vs_8483457,14
8475314_vs_8483457,14
8476419_vs_8483457,21
8475848_vs_8477950,12
8477989_vs_8477950,14
8476981_vs_8477950,13
8481540_vs_8477950,19
8481601_vs_8481593,8
8480018_vs_8476917,25
8483515_vs_8477950,19
8481601_vs_8476875,20
8481540_vs_8476917,25
8483515_vs_8476917,22
8475151_vs_8481593,9
8480018_vs_8477950,19
8475151_vs_8476875,21
8477500_vs_8481593,9
8477500_vs_8476875,22
8481601_vs_8478851,17
8477500_vs_8478851,18
8475151_vs_8478851,15
8480018_vs_8476429,8
8483515_vs_8476429,8
8481540_vs_8476429,6
8481540_vs_8476422,7
8483515_vs_8476422,8
8480018_vs_8476422,7
8475151_vs_8482964,5
8481601_vs_8482964,6
8477500_vs_8482964,5
8477500_vs_8475233,7
8475151_vs_8475233,6
8481601_vs_8475233,9
8484958_vs_8482964,11
8484958_vs_8475233,9
8483553_vs_8482964,11
8482749_vs_8476429,5
8482749_vs_8476422,7
8481237_vs_8475233,10
8481618_vs_8476429,9
8481237_vs_8482964,12
8481618_vs_8476422,10
8483553_vs_8475233,9
8479339_vs_8476429,8
8479339_vs_8476422,10
8477392_vs_8475233,7
8482476_vs_8477950,9
8475231_vs_8475233,6
8477392_vs_8482964,9
8476469_vs_8477950,14
8475231_vs_8482964,7
8478133_vs_8476917,13
8476469_vs_8476917,11
8482476_vs_8476917,10
8478115_vs_8475233,8
8478115_vs_8482964,9
8478133_vs_8477950,16
8475231_vs_8481593,9
8478115_vs_8481593,8
8477392_vs_8481593,9
8475848_vs_8476917,12
8477407_vs_8482964,7
8476981_vs_8476917,9
8478115_vs_8483457,10
8475231_vs_8483457,12
8477989_vs_8476917,10
8478133_vs_8480865,11
8476469_vs_8480865,10
8477989_vs_8476422,7
8476981_vs_8476422,8
8475151_vs_8483457,15
8477500_vs_8483457,16
8481601_vs_8483457,15
8483515_vs_8477506,14
8480018_vs_8477506,15
8481540_vs_8477506,16
8480018_vs_8480865,11
8481540_vs_8480865,9
8483515_vs_8480865,10
8479339_vs_8480865,13
8482749_vs_8480865,10
8481618_vs_8480865,13
8482749_vs_8477506,10
8479339_vs_8477506,15
8481618_vs_8477506,15
8477407_vs_8475233,8
8484958_vs_8481593,5
8481237_vs_8481593,6
8482476_vs_8477506,8
8481618_vs_8477950,10
8479339_vs_8477950,7
8475314_vs_8475233,7
8476469_vs_8477506,7
8481618_vs_8476917,13
8476419_vs_8475233,7
8477989_vs_8476429,4
8476981_vs_8476429,4
8475848_vs_8476429,7
8475848_vs_8476422,7
8482476_vs_8480865,8
8481237_vs_8483457,4
8483553_vs_8483457,5
8484958_vs_8483457,4
8483553_vs_8481593,4
8477392_vs_8483457,10
8475314_vs_8482964,5
8476419_vs_8482964,3
8479339_vs_8476917,8
8482749_vs_8477950,7
8482749_vs_8476917,7
8483553_vs_8478851,10
8481237_vs_8476875,12
8484958_vs_8478851,10
8481237_vs_8478851,10
8483553_vs_8476875,10
8484958_vs_8476875,12
8478133_vs_8477506,5
