,time_together
8478424_vs_8478970,5
8478424_vs_8475200,6
8476921_vs_8481563,8
8476921_vs_8483490,11
8481517_vs_8475200,8
8481517_vs_8478970,7
8482702_vs_8483490,10
8482702_vs_8481563,10
8480806_vs_8478970,5
8473533_vs_8481563,8
8480806_vs_8475200,6
8473533_vs_8483490,10
8478427_vs_8481605,18
8478873_vs_8475200,15
8482093_vs_8481605,19
8476458_vs_8478970,12
8478427_vs_8475462,12
8482809_vs_8481605,14
8482093_vs_8475462,13
8476458_vs_8475200,13
8482809_vs_8475462,12
8478873_vs_8478970,13
8478366_vs_8470613,12
8478873_vs_8470613,15
8476458_vs_8476958,13
8476458_vs_8470613,11
8478366_vs_8476958,13
8478873_vs_8476958,16
8478427_vs_8476885,12
8478427_vs_8482803,14
8482093_vs_8482803,13
8482093_vs_8476885,12
8482809_vs_8482803,9
8482809_vs_8476885,12
8480829_vs_8482803,12
8475791_vs_8476885,15
8475791_vs_8482803,9
8478873_vs_8476906,7
8478366_vs_8476906,5
8476458_vs_8476906,6
8480829_vs_8476885,16
8484153_vs_8476906,12
8483445_vs_8476958,11
8483445_vs_8476906,10
8484153_vs_8476958,15
8473986_vs_8476906,13
8473986_vs_8476958,9
8484153_vs_8480336,8
8483445_vs_8480336,9
8473986_vs_8480336,9
8478458_vs_8476885,13
8478458_vs_8482803,10
8478458_vs_8481563,4
8475791_vs_8481563,7
8480829_vs_8481563,7
8478458_vs_8483490,5
8475791_vs_8483490,6
8480829_vs_8483490,8
8479370_vs_8483490,8
8484153_vs_8475200,17
8483445_vs_8475200,17
8473986_vs_8475200,15
8479370_vs_8481563,8
8476873_vs_8483490,7
8476873_vs_8481563,7
8481754_vs_8478970,10
8481754_vs_8475200,10
8473986_vs_8478970,14
8484153_vs_8478970,13
8480762_vs_8483490,9
8482745_vs_8478970,14
8482745_vs_8475200,17
8480762_vs_8481563,9
8481533_vs_8475200,15
8481533_vs_8478970,13
8482745_vs_8476906,7
8481533_vs_8476906,8
8473533_vs_8481605,10
8482702_vs_8481605,4
8476921_vs_8475462,4
8481533_vs_8480336,8
8481754_vs_8480336,4
8482745_vs_8480336,9
8473533_vs_8475462,4
8482702_vs_8475462,3
8476921_vs_8481605,8
8481754_vs_8476906,4
8478366_vs_8475200,8
8478366_vs_8478970,7
8483445_vs_8478970,13
8480806_vs_8476906,11
8480806_vs_8480336,9
8481517_vs_8480336,9
8478424_vs_8476906,9
8478424_vs_8480336,8
8481517_vs_8476906,12
8484153_vs_8470613,13
8482745_vs_8476958,15
8481533_vs_8470613,15
8481533_vs_8476958,15
8482745_vs_8470613,15
8473533_vs_8482803,11
8476921_vs_8482803,9
8476873_vs_8475462,4
8476873_vs_8482803,7
8480806_vs_8476958,6
8480762_vs_8482803,8
8481517_vs_8476958,7
8480762_vs_8475462,7
8480806_vs_8470613,6
8481517_vs_8470613,6
8473986_vs_8470613,8
8478424_vs_8476958,6
8478424_vs_8470613,6
8481754_vs_8476958,8
8481754_vs_8470613,7
8482809_vs_8483490,4
8482093_vs_8483490,5
8480829_vs_8475462,5
8480829_vs_8481605,7
8482809_vs_8481563,5
8478427_vs_8481563,5
8478427_vs_8483490,3
8482093_vs_8481563,5
8478873_vs_8480336,7
8478366_vs_8480336,5
8476458_vs_8480336,5
8475791_vs_8481605,9
8475791_vs_8475462,6
8478458_vs_8481605,7
8478458_vs_8475462,4
8480762_vs_8481605,7
8482702_vs_8482803,8
8476873_vs_8481605,6
8483445_vs_8470613,8
8480762_vs_8476885,6
8479370_vs_8482803,5
8479370_vs_8476885,5
8476873_vs_8476885,6
8479370_vs_8475462,5
8479370_vs_8481605,4
8482702_vs_8476885,7
8473533_vs_8476885,7
8476921_vs_8476885,7
