,time_together
8477948_vs_8478851,17
8476372_vs_8476875,14
8476875_vs_8477948,17
8476372_vs_8478851,16
8476372_vs_8483457,22
8477948_vs_8483457,26
8476372_vs_8481593,16
8477948_vs_8481593,23
8481178_vs_8483457,17
8481178_vs_8481593,13
8482142_vs_8483457,21
8481593_vs_8482142,15
8478851_vs_8481178,14
8478851_vs_8482126,9
8481593_vs_8482126,10
8476875_vs_8482126,9
8475233_vs_8477948,13
8475233_vs_8482126,7
8477948_vs_8482964,14
8482126_vs_8482964,7
8482142_vs_8482964,10
8475233_vs_8476372,7
8475233_vs_8482142,11
8476372_vs_8482964,9
8478851_vs_8482142,14
8476875_vs_8482142,18
8481178_vs_8482964,9
8475233_vs_8481178,9
8482126_vs_8483457,12
8476875_vs_8481178,15
