,time_together
8475848_vs_8482702,14
8476921_vs_8476981,15
8473533_vs_8475848,13
8476981_vs_8482702,17
8476921_vs_8477989,15
8477989_vs_8482702,15
8473533_vs_8476981,14
8475848_vs_8476921,14
8473533_vs_8477989,15
8478427_vs_8483515,17
8482093_vs_8483515,16
8478427_vs_8480018,17
8480018_vs_8482093,17
8478427_vs_8481540,16
8480018_vs_8482809,15
8482809_vs_8483515,14
8481540_vs_8482093,15
8481540_vs_8482809,14
8478133_vs_8480762,8
8476469_vs_8480762,10
8476873_vs_8478133,8
8476873_vs_8482476,12
8480762_vs_8482476,10
8480830_vs_8482476,7
8478133_vs_8480830,9
8476469_vs_8480830,10
8476469_vs_8476873,9
8478133_vs_8480829,14
8480829_vs_8481618,14
8475791_vs_8481618,13
8475791_vs_8479339,10
8475791_vs_8478133,15
8478458_vs_8481618,12
8478458_vs_8479339,8
8478133_vs_8478458,11
8479339_vs_8480829,11
8476921_vs_8480018,10
8476921_vs_8481540,9
8473533_vs_8483515,10
8473533_vs_8479339,3
8473533_vs_8480018,9
8473533_vs_8481540,9
8476921_vs_8483515,12
8476921_vs_8479339,3
8478427_vs_8479339,4
8478427_vs_8481618,4
8481618_vs_8482093,5
8478427_vs_8482476,3
8475848_vs_8478427,10
8482093_vs_8482476,4
8475848_vs_8482093,7
8476873_vs_8480018,8
8476873_vs_8481618,6
8475848_vs_8476873,5
8477989_vs_8482093,8
8476873_vs_8477989,6
8477989_vs_8480829,6
8475848_vs_8480829,6
8475848_vs_8478458,4
8477989_vs_8478458,6
8473533_vs_8476469,4
8476469_vs_8482702,4
8476469_vs_8476921,4
8476981_vs_8480830,4
8477989_vs_8480830,6
8476873_vs_8476981,3
8477989_vs_8480762,7
8476981_vs_8480762,5
8478458_vs_8483515,5
8475791_vs_8483515,4
8480829_vs_8483515,6
8479339_vs_8482093,4
8480762_vs_8481618,4
8475848_vs_8480762,4
8480018_vs_8480762,6
8475791_vs_8482476,5
8475791_vs_8475848,5
8476981_vs_8478458,6
8475791_vs_8477989,5
8475791_vs_8476981,4
8476469_vs_8478458,5
8475791_vs_8476469,6
8478458_vs_8482476,4
8480829_vs_8482476,5
8480829_vs_8481540,4
8476873_vs_8481540,5
8480762_vs_8481540,5
8476873_vs_8483515,5
8480762_vs_8483515,5
8478133_vs_8482093,5
8480018_vs_8480829,6
8476981_vs_8482093,7
8476981_vs_8482809,7
8476981_vs_8478427,8
8477989_vs_8482809,6
8477989_vs_8478427,8
8475848_vs_8482809,4
8476921_vs_8478133,4
8478133_vs_8482702,4
8473533_vs_8478133,5
8481618_vs_8482702,3
8479339_vs_8482702,1
8480830_vs_8481618,4
8479339_vs_8480762,2
8476873_vs_8479339,2
8476981_vs_8480829,6
8482702_vs_8483515,9
8476469_vs_8482809,3
8478133_vs_8478427,4
8476469_vs_8478427,3
8478133_vs_8482809,4
8476469_vs_8482093,3
8480018_vs_8480830,7
8478458_vs_8480018,4
8480018_vs_8482702,7
8480830_vs_8483515,5
8480830_vs_8481540,5
8481540_vs_8482702,6
8473533_vs_8482476,3
8482476_vs_8482702,2
8476921_vs_8482476,3
8473533_vs_8481618,2
8476921_vs_8481618,2
8475791_vs_8480018,4
8475791_vs_8481540,2
8478458_vs_8481540,2
8476469_vs_8480829,5
8479339_vs_8480830,3
8481618_vs_8482809,3
8479339_vs_8482809,2
8482476_vs_8482809,2
8475848_vs_8480830,1
