,time_together
8480823_vs_8480865,14
8477845_vs_8481059,16
8480823_vs_8481059,12
8477845_vs_8480865,19
8477506_vs_8477845,14
8477506_vs_8480823,12
8476917_vs_8480823,15
8476917_vs_8477845,14
8477506_vs_8480873,20
8476917_vs_8480873,16
8476917_vs_8478911,16
8477506_vs_8478911,14
8476917_vs_8480796,7
8477506_vs_8480796,5
8475795_vs_8476917,11
8475795_vs_8477506,8
8475795_vs_8476429,10
8475795_vs_8477950,7
8477950_vs_8480796,15
8476429_vs_8480796,11
8477950_vs_8480823,13
8476429_vs_8480823,12
8476429_vs_8477845,13
8477845_vs_8477950,19
8478911_vs_8481059,15
8478911_vs_8480865,18
8480873_vs_8481059,14
8480865_vs_8480873,15
8476429_vs_8480873,12
8476429_vs_8478911,14
8477950_vs_8480873,14
8477950_vs_8478911,18
8475795_vs_8480865,8
8475795_vs_8481059,7
8480796_vs_8481059,10
8480796_vs_8480865,14
