,time_together
8480113_vs_8483490,8
8478873_vs_8477504,13
8478366_vs_8477504,11
8478398_vs_8476885,14
8476460_vs_8483490,8
8476458_vs_8476331,5
8480113_vs_8476885,14
8476458_vs_8477504,8
8478398_vs_8483490,8
8476460_vs_8476885,16
8478873_vs_8476331,10
8478366_vs_8476331,8
8482745_vs_8476331,16
8482745_vs_8477504,14
8482745_vs_8480049,15
8481533_vs_8480049,12
8481533_vs_8477504,12
8478873_vs_8480049,10
8478891_vs_8476885,10
8482745_vs_8480145,12
8481533_vs_8480145,10
8478873_vs_8480145,10
8478891_vs_8483490,6
8479293_vs_8476885,7
8476392_vs_8476885,9
8479293_vs_8483490,6
8476392_vs_8483490,6
8476392_vs_8475462,11
8482118_vs_8480049,12
8478891_vs_8475462,12
8479293_vs_8475462,11
8482118_vs_8480145,11
8479293_vs_8481605,11
8476392_vs_8481605,10
8478891_vs_8481605,9
8484153_vs_8480049,11
8484153_vs_8480145,13
8482118_vs_8476331,13
8484153_vs_8476331,12
8481533_vs_8476331,13
8482118_vs_8477504,10
8484153_vs_8477504,16
8483445_vs_8477504,11
8483445_vs_8476331,10
8479293_vs_8481563,13
8478891_vs_8481563,14
8476392_vs_8481563,13
8476480_vs_8481563,12
8476480_vs_8481605,11
8482149_vs_8481563,16
8482149_vs_8481605,15
8483445_vs_8479378,8
8484153_vs_8474568,8
8473986_vs_8479378,7
8483445_vs_8474568,8
8475799_vs_8481605,10
8473986_vs_8474568,8
8475799_vs_8481563,14
8484153_vs_8479378,7
8476480_vs_8482178,8
8482149_vs_8482178,9
8475799_vs_8482178,11
8485512_vs_8479378,8
8482149_vs_8483490,10
8475799_vs_8483490,10
8476480_vs_8476885,13
8482149_vs_8476885,15
8485512_vs_8474568,8
8475799_vs_8476885,14
8476480_vs_8483490,10
8479994_vs_8476885,10
8479994_vs_8483490,7
8480289_vs_8476885,7
8480289_vs_8483490,8
8481019_vs_8476885,6
8481517_vs_8479378,7
8480806_vs_8479378,9
8481517_vs_8474568,6
8480806_vs_8474568,8
8481019_vs_8483490,5
8481517_vs_8480145,4
8485512_vs_8480145,3
8480806_vs_8480145,5
8480806_vs_8480049,4
8485512_vs_8480049,3
8481517_vs_8480049,5
8476460_vs_8475462,17
8476458_vs_8479378,10
8478398_vs_8475462,17
8480113_vs_8481605,17
8478873_vs_8479378,13
8476460_vs_8481605,17
8476458_vs_8480049,9
8480113_vs_8475462,17
8478398_vs_8481605,18
8478366_vs_8479378,11
8478366_vs_8480049,9
8478366_vs_8474568,13
8476458_vs_8474568,10
8478873_vs_8474568,13
8482745_vs_8474568,9
8482745_vs_8479378,11
8482149_vs_8475462,12
8478398_vs_8482178,4
8478398_vs_8481563,10
8476392_vs_8482178,9
8483445_vs_8480145,11
8478891_vs_8482178,10
8483445_vs_8480049,10
8479293_vs_8482178,10
8473986_vs_8480049,10
8473986_vs_8480145,11
8480289_vs_8482178,8
8480289_vs_8481563,10
8480289_vs_8475462,9
8480806_vs_8477504,15
8479994_vs_8481605,9
8479994_vs_8475462,10
8481019_vs_8481605,7
8481019_vs_8475462,8
8480806_vs_8476331,9
8481517_vs_8477504,11
8480289_vs_8481605,8
8485512_vs_8476331,9
8481517_vs_8476331,9
8485512_vs_8477504,10
8481019_vs_8482178,8
8479994_vs_8482178,8
8481019_vs_8481563,7
8479994_vs_8481563,9
8476480_vs_8475462,8
8475799_vs_8475462,8
8482118_vs_8474568,8
8481533_vs_8479378,9
8481533_vs_8474568,7
8482118_vs_8479378,9
8473986_vs_8477504,11
8473986_vs_8476331,11
8480113_vs_8481563,8
8476460_vs_8481563,8
8478366_vs_8480145,9
8476460_vs_8482178,3
8480113_vs_8482178,3
8476458_vs_8480145,7
