,time_together
8475462_vs_8478407,17
8476457_vs_8481605,20
8475462_vs_8476457,18
8478407_vs_8481605,20
8476457_vs_8476885,12
8476885_vs_8478407,11
8476457_vs_8482803,14
8478407_vs_8482803,12
8476885_vs_8479324,17
8477986_vs_8482803,17
8476885_vs_8477986,17
8479324_vs_8482803,21
8479324_vs_8483490,10
8477986_vs_8481563,14
8479324_vs_8481563,14
8477986_vs_8483490,10
8479372_vs_8481563,13
8479372_vs_8483490,11
8476467_vs_8483490,13
8476467_vs_8481563,13
8478407_vs_8483490,15
8476457_vs_8481563,17
8478407_vs_8481563,18
8476457_vs_8483490,16
8479324_vs_8481605,17
8475462_vs_8479324,12
8477986_vs_8481605,18
8475462_vs_8477986,15
8475462_vs_8479372,10
8479372_vs_8481605,14
8476467_vs_8481605,12
8475462_vs_8476467,10
8476885_vs_8479372,13
8476467_vs_8476885,11
8479372_vs_8482803,12
8476467_vs_8482803,12
