player_id,action,count,success,attempts,success_rate,total_player_events
8476460.0,NZ REC FACE OFF+ENTRY,1,1,1,1.0,187
8476460.0,CONT F/OFF LPR+ NZ,1,1,1,1.0,187
8476460.0,NZPASS south+,2,2,2,1.0,187
8476460.0,N-ZONE PASS RECEPTION,8,8,8,1.0,187
8476460.0,NZPASS north+,6,6,6,1.0,187
8476460.0,O-ZONE PASS RECEPTION,15,15,15,1.0,187
8476460.0,SOUTH CYCLE +,8,8,8,1.0,187
8476460.0,DZ FACE OFF-,2,0,2,0.0,187
8476460.0,SHOT PRESSURE,3,0,3,0.0,187
8476460.0,BLOCK OPPOSITION PASS+,4,4,4,1.0,187
8476460.0,CONT LPR- DZ,1,0,1,0.0,187
8476460.0,NZ FACE OFF-,5,0,5,0.0,187
8476460.0,DEF LPR NZ,1,1,1,1.0,187
8476460.0,CARRY OVER REDLINE,6,6,6,1.0,187
8476460.0,CONTROLLED ENTRY INTO OZ,4,4,4,1.0,187
8476460.0,OZPUCKPROTECTION-,1,0,1,0.0,187
8476460.0,OZPUCKPROTECTION+,2,2,2,1.0,187
8476460.0,OZPASS TO SLOT+,3,3,3,1.0,187
8476460.0,OZ REC FACE OFF+SON,1,1,1,1.0,187
8476460.0,OZ FACE OFF-,4,0,4,0.0,187
8476460.0,1ST ASSIST,3,3,3,1.0,187
8476460.0,CHIP DUMP+,1,1,1,1.0,187
8476460.0,CONT LPR- OZ,8,0,8,0.0,187
8476460.0,DZ REC FACE OFF+,2,2,2,1.0,187
8476460.0,CONT F/OFF LPR+ DZ,2,2,2,1.0,187
8476460.0,DZONE D2D OFFBOARDS+,2,2,2,1.0,187
8476460.0,OZPASS OFF THE RUSH-,1,0,1,0.0,187
8476460.0,FAILED PASS TRAJECTORY LOCATION OZ,10,0,10,0.0,187
8476460.0,LPR+ OZ,3,3,3,1.0,187
8476460.0,SOUTH CYCLE -,2,0,2,0.0,187
8476460.0,NORTH CYCLE OFFBOARDS+,3,3,3,1.0,187
8476460.0,SOUTH CYCLE OFFBOARDS+,1,1,1,1.0,187
8476460.0,OFF LPR OZ,2,2,2,1.0,187
8476460.0,EAST/WEST PASS-,1,0,1,0.0,187
8476460.0,SLOT SHOT FOR ONNET,1,1,1,1.0,187
8476460.0,D-ZONE PASS RECEPTION,7,7,7,1.0,187
8476460.0,CONTROLLED EXIT FROM DZ,6,6,6,1.0,187
8476460.0,DUMPIN AGAINST,2,0,2,0.0,187
8476460.0,OFF LPR DZ,3,3,3,1.0,187
8476460.0,OZ ENTRY PASS+,2,2,2,1.0,187
8476460.0,NORTH CYCLE OFFBOARDS-,1,0,1,0.0,187
8476460.0,DUMP IN-,1,0,1,0.0,187
8476460.0,1on1 CONTROLLED ENTRY AGAINST+,1,1,1,1.0,187
8476460.0,OZDEKE-,1,0,1,0.0,187
8476460.0,NZ REC FACE OFF+,2,2,2,1.0,187
8476460.0,CONT LPR- NZ,1,0,1,0.0,187
8476460.0,LPRREB+,2,2,2,1.0,187
8476460.0,OFF GLASS DUMP OUT+,1,1,1,1.0,187
8476460.0,OZ REC FACE OFF+SFS,1,1,1,1.0,187
8476460.0,SLOT SHOT FOR MISSED,2,0,2,0.0,187
8476460.0,NORTH CYCLE +,1,1,1,1.0,187
8476460.0,CONTROLLED BREAKOUT,1,0,1,0.0,187
8476460.0,DZONE D2D+,2,2,2,1.0,187
8476460.0,EAST/WEST PASS+,2,2,2,1.0,187
