,time_together
8476461_vs_8477935,17
8477409_vs_8484387,12
8477409_vs_8477989,12
8476461_vs_8477409,16
8477935_vs_8484387,12
8473419_vs_8476461,17
8473419_vs_8484387,13
8477935_vs_8477989,13
8473419_vs_8477989,13
8477409_vs_8480220,10
8482159_vs_8482713,14
8478542_vs_8482159,15
8480220_vs_8482113,6
8480220_vs_8482713,14
8478542_vs_8480220,16
8482113_vs_8482159,8
8477409_vs_8482159,11
8476461_vs_8482113,16
8477989_vs_8482113,14
8476461_vs_8482713,9
8477989_vs_8482713,7
8476461_vs_8478542,12
8477989_vs_8478542,9
8477935_vs_8481533,10
8473419_vs_8478439,12
8473419_vs_8481533,11
8477935_vs_8478439,12
8478439_vs_8482113,15
8481533_vs_8482113,14
8477933_vs_8481533,15
8477933_vs_8478439,18
8477935_vs_8480015,9
8473419_vs_8480015,10
8477935_vs_8481553,8
8473419_vs_8481553,9
8480185_vs_8481553,9
8473419_vs_8482159,12
8480185_vs_8482159,8
8473419_vs_8480220,13
8480185_vs_8480220,5
8480003_vs_8481553,13
8480003_vs_8482159,13
8480003_vs_8480220,13
8478542_vs_8481553,14
8479981_vs_8482159,5
8479316_vs_8481553,4
8479022_vs_8479981,6
8479316_vs_8482159,4
8479022_vs_8479316,6
8479981_vs_8481553,5
8479022_vs_8480185,1
8477903_vs_8479316,7
8477903_vs_8480185,1
8477903_vs_8479981,7
8475235_vs_8479981,8
8475235_vs_8479316,7
8475235_vs_8480185,1
8477903_vs_8478421,8
8478421_vs_8479022,7
8475235_vs_8478421,8
8475235_vs_8480003,5
8477903_vs_8478542,7
8478542_vs_8479022,7
8475235_vs_8478542,5
8477903_vs_8480003,5
8479022_vs_8480003,5
8478542_vs_8481533,8
8480003_vs_8481533,5
8478421_vs_8481533,2
8475235_vs_8482713,5
8477903_vs_8482713,8
8481533_vs_8482713,8
8478439_vs_8480003,4
8478439_vs_8478542,7
8478439_vs_8482713,7
8480015_vs_8482713,7
8478542_vs_8480015,9
8480003_vs_8480015,5
8477933_vs_8480015,15
8480185_vs_8481533,13
8480015_vs_8482113,14
8480015_vs_8480185,13
8478439_vs_8480185,13
8477989_vs_8480185,13
8477933_vs_8477989,14
8482113_vs_8484387,13
8480185_vs_8484387,13
8477933_vs_8484387,13
8480003_vs_8484387,6
8476461_vs_8480003,8
8477989_vs_8480003,7
8477409_vs_8481553,7
8477935_vs_8480220,12
8477935_vs_8482159,11
8481553_vs_8482713,11
8479981_vs_8480220,4
8479022_vs_8482713,6
8478421_vs_8482159,4
8478439_vs_8479316,2
8478421_vs_8478439,2
8478439_vs_8479981,2
8476461_vs_8480185,15
8477409_vs_8479022,3
8475235_vs_8477935,4
8475235_vs_8477409,3
8477935_vs_8479022,5
8477409_vs_8477903,6
8477903_vs_8477935,7
8478421_vs_8481553,3
8478421_vs_8480220,3
8477989_vs_8478421,4
8477989_vs_8479981,4
8476461_vs_8478421,3
8476461_vs_8479981,2
8476461_vs_8479316,5
8477989_vs_8479316,5
8479316_vs_8484387,4
8478421_vs_8484387,3
8479981_vs_8484387,3
8478542_vs_8484387,4
8482713_vs_8484387,5
8477933_vs_8482159,11
8477933_vs_8480220,9
8477933_vs_8481553,9
8476461_vs_8477933,17
8477903_vs_8477933,3
8473419_vs_8477903,7
8477933_vs_8479022,2
8473419_vs_8479022,4
8477903_vs_8482113,2
8479022_vs_8482113,1
8481553_vs_8482113,5
8479316_vs_8481533,1
8478421_vs_8480015,1
8479316_vs_8480015,1
8479981_vs_8481533,2
8479981_vs_8480015,1
8477409_vs_8478439,9
8477409_vs_8480015,7
8479316_vs_8480220,2
8473419_vs_8475235,4
8477409_vs_8481533,7
