,time_together
8478507_vs_8480069,20
8478038_vs_8478507,16
8479410_vs_8480069,22
8478038_vs_8479410,17
8470613_vs_8477220,15
8470613_vs_8480434,17
8479398_vs_8480434,18
8477220_vs_8479398,18
8480434_vs_8484258,13
8477220_vs_8484258,14
8476312_vs_8477220,16
8476312_vs_8480434,17
8484258_vs_8484386,10
8474013_vs_8476312,11
8474013_vs_8484258,10
8476312_vs_8484386,13
8476312_vs_8478507,8
8478507_vs_8484258,6
8479410_vs_8484258,7
8476312_vs_8479410,8
8476312_vs_8476874,1
8476874_vs_8484258,1
8476874_vs_8479398,1
8470613_vs_8476874,1
8478507_vs_8479398,12
8470613_vs_8478507,10
8470613_vs_8479410,15
8479398_vs_8479410,10
8478038_vs_8484386,11
8474013_vs_8480069,12
8480069_vs_8484386,8
8474013_vs_8478038,8
8479398_vs_8484386,14
8474013_vs_8479398,14
8470613_vs_8474013,12
8470613_vs_8484386,11
8478038_vs_8480434,15
8477220_vs_8480069,11
8480069_vs_8480434,14
8477220_vs_8478038,12
