,time_together
8479977_vs_8478038,14
8478474_vs_8478038,13
8477476_vs_8479410,21
8478831_vs_8480069,18
8477476_vs_8478507,20
8480039_vs_8479410,21
8479977_vs_8480069,13
8478474_vs_8480069,17
8480039_vs_8478507,21
8477492_vs_8479410,21
8478831_vs_8478038,15
8477492_vs_8478507,20
8477951_vs_8479398,14
8476455_vs_8477220,17
8480855_vs_8479398,15
8477951_vs_8470613,16
8479343_vs_8479398,17
8477501_vs_8477220,17
8475754_vs_8480434,21
8480855_vs_8470613,14
8476455_vs_8480434,21
8479343_vs_8470613,20
8477501_vs_8480434,16
8475754_vs_8477220,19
8479343_vs_8484258,12
8477951_vs_8484258,10
8477951_vs_8476312,11
8480855_vs_8476312,10
8480855_vs_8484258,11
8479343_vs_8476312,13
8482699_vs_8484258,7
8482699_vs_8476312,8
8479525_vs_8474013,9
8482175_vs_8476312,13
8482175_vs_8484258,12
8476455_vs_8484386,5
8479525_vs_8484386,10
8483431_vs_8484258,9
8483431_vs_8476312,13
8475754_vs_8474013,11
8475754_vs_8484386,4
8476455_vs_8474013,9
8480835_vs_8484386,12
8480835_vs_8474013,9
8478109_vs_8484386,10
8478109_vs_8474013,9
8479525_vs_8478507,8
8480835_vs_8479410,7
8478831_vs_8484258,6
8479525_vs_8479410,8
8480835_vs_8478507,8
8478831_vs_8476312,8
8478109_vs_8479410,9
8478474_vs_8484258,5
8478109_vs_8478507,7
8479977_vs_8476312,7
8478474_vs_8476312,8
8479977_vs_8484258,6
8479293_vs_8484258,6
8481641_vs_8477220,7
8484149_vs_8476874,1
8480448_vs_8477220,7
8481641_vs_8476874,1
8480448_vs_8476874,1
8479293_vs_8476312,7
8484149_vs_8477220,6
8475461_vs_8476312,4
8475461_vs_8484258,6
8475461_vs_8479398,10
8483431_vs_8470613,14
8479293_vs_8479398,14
8475461_vs_8470613,8
8479293_vs_8470613,13
8483431_vs_8479398,13
8480448_vs_8478507,7
8484149_vs_8478507,5
8481641_vs_8478507,7
8480448_vs_8479410,9
8484149_vs_8479410,7
8481641_vs_8479410,9
8475461_vs_8478038,3
8483431_vs_8478038,16
8479293_vs_8478038,6
8479977_vs_8470613,7
8483431_vs_8480069,15
8482175_vs_8478038,12
8480448_vs_8484386,8
8482699_vs_8478038,15
8481641_vs_8474013,8
8482175_vs_8480069,11
8481641_vs_8484386,10
8482699_vs_8480069,20
8480448_vs_8474013,8
8480039_vs_8484386,8
8480039_vs_8474013,12
8477492_vs_8474013,12
8477492_vs_8484386,7
8482699_vs_8479398,13
8479343_vs_8478038,19
8482699_vs_8470613,13
8477476_vs_8474013,12
8478831_vs_8470613,12
8478831_vs_8479398,10
8479977_vs_8479398,7
8477501_vs_8479410,11
8477501_vs_8478507,5
8475754_vs_8479410,14
8478474_vs_8479398,10
8475754_vs_8478507,11
8476455_vs_8479410,11
8476455_vs_8478507,7
8477951_vs_8478038,17
8477951_vs_8480069,15
8479343_vs_8480069,15
8478474_vs_8470613,8
8479525_vs_8480434,9
8478109_vs_8477220,9
8480835_vs_8477220,12
8480835_vs_8480434,14
8479525_vs_8477220,8
8478109_vs_8480434,10
8477492_vs_8477220,10
8477476_vs_8480434,10
8480855_vs_8480069,13
8480039_vs_8480434,10
8477492_vs_8480434,9
8477476_vs_8477220,11
8480039_vs_8477220,9
8480855_vs_8478038,9
8477476_vs_8484386,4
8484149_vs_8474013,8
8484149_vs_8484386,8
8482175_vs_8479398,17
8482175_vs_8470613,11
8477501_vs_8474013,8
8477501_vs_8484386,6
8481641_vs_8480434,9
8484149_vs_8480434,6
8480448_vs_8480434,9
8475461_vs_8480069,2
8479293_vs_8480069,6
