,time_together
8478507_vs_8482111,10
8479410_vs_8482111,10
8478507_vs_8481056,10
8479410_vs_8481056,12
8478507_vs_8482482,10
8479410_vs_8482482,13
8474600_vs_8478507,13
8474600_vs_8479410,20
8477220_vs_8482482,9
8474600_vs_8477220,16
8474600_vs_8480434,15
8480434_vs_8482482,13
8476869_vs_8477220,18
8476869_vs_8480434,17
8477220_vs_8480246,17
8480246_vs_8480434,16
8474013_vs_8482482,12
8474013_vs_8474600,17
8474600_vs_8484386,12
8482482_vs_8484386,10
8480434_vs_8482111,10
8476874_vs_8482111,6
8480434_vs_8481056,12
8476874_vs_8481056,7
8476869_vs_8476874,8
8476874_vs_8480246,8
8476869_vs_8479410,16
8479410_vs_8480246,16
8478507_vs_8480246,10
8476869_vs_8478507,12
8477220_vs_8482111,10
8477220_vs_8481056,11
8474013_vs_8480246,10
8476869_vs_8484386,7
8474013_vs_8476869,12
8480246_vs_8484386,4
8476874_vs_8482482,9
8474600_vs_8476874,11
8481056_vs_8484386,4
8482111_vs_8484386,4
8474013_vs_8481056,5
8474013_vs_8482111,5
