,time_together
8476467_vs_8481527,12
8478468_vs_8479372,11
8479372_vs_8481527,12
8476467_vs_8478468,10
8478407_vs_8478468,17
8478407_vs_8481527,16
8476457_vs_8481527,14
8476457_vs_8478468,16
8475188_vs_8476457,16
8475188_vs_8478407,17
8477447_vs_8478407,19
8476457_vs_8477447,17
8477447_vs_8477986,21
8475188_vs_8477986,16
8475188_vs_8479324,16
8477447_vs_8479324,17
8477018_vs_8479324,16
8477018_vs_8477986,18
8477986_vs_8480727,16
8479324_vs_8480727,12
8477018_vs_8479372,11
8479372_vs_8480727,11
8476467_vs_8480727,7
8476467_vs_8477018,9
8476457_vs_8480727,16
8476457_vs_8477018,15
8478407_vs_8480727,17
8477018_vs_8478407,14
8475188_vs_8476467,10
8475188_vs_8479372,12
8477447_vs_8479372,12
8476467_vs_8477447,11
8477986_vs_8478468,10
8478468_vs_8479324,8
8479324_vs_8481527,8
8477986_vs_8481527,9
