,time_together
8477409_vs_8480220,10
8477935_vs_8482159,12
8477409_vs_8481553,11
8473419_vs_8482159,9
8477935_vs_8480220,14
8473419_vs_8480220,12
8477935_vs_8481553,9
8473419_vs_8481553,7
8477409_vs_8482159,13
8473419_vs_8476461,13
8476461_vs_8477935,15
8476461_vs_8477409,16
8473419_vs_8478439,12
8477409_vs_8478439,16
8477935_vs_8478439,14
8477935_vs_8484387,9
8477409_vs_8484387,11
8473419_vs_8484387,8
8476461_vs_8482113,11
8482113_vs_8484387,8
8477933_vs_8484387,7
8478439_vs_8482113,9
8476461_vs_8477933,15
8477933_vs_8478439,11
8477989_vs_8482113,11
8477409_vs_8477989,8
8477933_vs_8477989,13
8480185_vs_8481533,13
8481533_vs_8482113,12
8477989_vs_8480185,8
8477933_vs_8481533,9
8480185_vs_8484387,7
8477933_vs_8480015,7
8480015_vs_8482113,11
8480015_vs_8480185,11
8480185_vs_8481553,11
8479316_vs_8480220,4
8476461_vs_8480185,6
8479316_vs_8481553,5
8480185_vs_8482159,10
8480185_vs_8480220,10
8479316_vs_8482159,5
8476461_vs_8479316,9
8477933_vs_8482159,15
8477933_vs_8480220,19
8480220_vs_8482113,12
8477933_vs_8481553,13
8481553_vs_8482113,12
8482113_vs_8482159,14
8479316_vs_8484387,10
8478439_vs_8480185,7
8479316_vs_8481533,8
8478439_vs_8479316,9
8479316_vs_8480015,8
8478439_vs_8478542,10
8480003_vs_8483733,9
8478542_vs_8484779,10
8478439_vs_8480003,4
8478542_vs_8483733,9
8480003_vs_8484779,9
8482713_vs_8484779,8
8482713_vs_8483733,8
8478439_vs_8482713,8
8477903_vs_8478542,11
8477903_vs_8482713,10
8477903_vs_8480003,9
8480015_vs_8482713,6
8478542_vs_8480015,8
8480003_vs_8480015,5
8477409_vs_8483733,3
8477409_vs_8480015,4
8477409_vs_8484779,1
8473419_vs_8483733,6
8473419_vs_8480015,5
8477989_vs_8478542,11
8473419_vs_8477989,9
8478542_vs_8481533,6
8473419_vs_8481533,6
8477409_vs_8481533,6
8477935_vs_8481533,6
8477935_vs_8477989,9
8477935_vs_8480015,4
8482159_vs_8482713,6
8477903_vs_8477935,6
8477409_vs_8477903,5
8477903_vs_8482113,4
8478542_vs_8482159,7
8476461_vs_8482713,5
8476461_vs_8478542,7
8478542_vs_8484387,4
8482713_vs_8484387,3
8476461_vs_8478421,4
8478421_vs_8478439,4
8478421_vs_8484387,5
8478439_vs_8479981,4
8477989_vs_8478421,5
8479981_vs_8484387,5
8477989_vs_8479981,2
8477989_vs_8479316,4
8479981_vs_8481533,2
8478421_vs_8481533,3
8479981_vs_8480015,3
8473419_vs_8477903,5
8473419_vs_8484779,4
8477989_vs_8480003,7
8478421_vs_8480015,4
8478421_vs_8483733,8
8480003_vs_8481533,4
8478421_vs_8481553,2
8479981_vs_8480220,2
8478421_vs_8480220,1
8479981_vs_8481553,2
8479981_vs_8482159,3
8478542_vs_8481553,5
8478542_vs_8480220,6
8480003_vs_8484387,2
8476461_vs_8480003,3
8479981_vs_8484779,6
8477903_vs_8479981,6
8479981_vs_8483733,6
8477903_vs_8478421,7
8478421_vs_8484779,7
8477903_vs_8479316,7
8479316_vs_8483733,6
8479316_vs_8484779,7
8477903_vs_8477933,6
8477933_vs_8483733,3
8476461_vs_8479981,3
8481533_vs_8482713,3
8477989_vs_8482713,8
8477903_vs_8480185,1
8477935_vs_8484779,3
8477933_vs_8484779,1
8482113_vs_8484779,1
8482113_vs_8483733,2
8477935_vs_8483733,4
8480220_vs_8482713,5
8480003_vs_8480220,4
8478421_vs_8482159,1
8480185_vs_8483733,2
8480185_vs_8484779,2
8480003_vs_8481553,3
8480003_vs_8482159,3
8481553_vs_8482713,4
