,time_together
8477934_vs_8476462,12
8477953_vs_8478399,9
8479996_vs_8477498,15
8481721_vs_8477498,13
8477953_vs_8476462,9
8481617_vs_8476462,10
8477015_vs_8477498,12
8477934_vs_8478399,12
8479996_vs_8479442,12
8481721_vs_8479442,10
8481617_vs_8478399,10
8477015_vs_8479442,9
8480002_vs_8479442,9
8477953_vs_8482684,10
8481617_vs_8482684,12
8480002_vs_8477498,14
8477934_vs_8477488,16
8477953_vs_8477488,11
8481617_vs_8477488,13
8477934_vs_8482684,12
8478414_vs_8477498,13
8478414_vs_8479442,8
8482110_vs_8477498,13
8482110_vs_8479442,7
8478402_vs_8482684,13
8482110_vs_8475218,18
8478414_vs_8475218,16
8478402_vs_8477488,18
8478233_vs_8477488,9
8478233_vs_8482684,7
8480002_vs_8475218,21
8476454_vs_8482684,10
8476454_vs_8477488,18
8480002_vs_8480803,21
8482110_vs_8480803,18
8478414_vs_8480803,14
8476292_vs_8475218,12
8481559_vs_8480803,14
8476292_vs_8480803,13
8478402_vs_8483495,11
8481559_vs_8475218,15
8476454_vs_8483495,8
8478233_vs_8475455,7
8478402_vs_8475455,14
8476454_vs_8475455,14
8478233_vs_8483495,5
8476822_vs_8480803,6
8485493_vs_8477488,9
8485493_vs_8475455,7
8477934_vs_8475455,11
8477015_vs_8480803,10
8476454_vs_8476462,13
8478402_vs_8476462,12
8479407_vs_8480803,15
8485493_vs_8476462,9
8478402_vs_8478399,12
8476454_vs_8478399,12
8485493_vs_8478399,8
8483512_vs_8476462,9
8479996_vs_8475218,10
8474641_vs_8478399,8
8478458_vs_8478399,7
8483512_vs_8478399,6
8478458_vs_8476462,7
8474641_vs_8476462,11
8479365_vs_8476462,6
8479365_vs_8478399,5
8479365_vs_8477488,5
8483512_vs_8477488,5
8474641_vs_8477488,6
8478458_vs_8477488,4
8479365_vs_8475455,13
8483512_vs_8475455,13
8478458_vs_8475455,12
8474641_vs_8475455,8
8481032_vs_8475218,5
8481559_vs_8476967,17
8481032_vs_8476967,9
8481559_vs_8480834,12
8481032_vs_8480834,9
8478414_vs_8480834,6
8479365_vs_8483495,12
8482110_vs_8476967,10
8478414_vs_8476967,8
8478458_vs_8483495,12
8474641_vs_8483495,7
8482110_vs_8480834,8
8485493_vs_8483495,6
8477508_vs_8483495,8
8477508_vs_8482684,6
8485493_vs_8482684,7
8481617_vs_8483495,9
8476822_vs_8480834,9
8483531_vs_8480834,8
8476822_vs_8476967,9
8483531_vs_8476967,8
8483531_vs_8475218,5
8476822_vs_8475218,5
8481032_vs_8480803,5
8483531_vs_8480803,4
8483512_vs_8483495,13
8483512_vs_8482684,8
8479407_vs_8475218,13
8481559_vs_8477498,15
8476292_vs_8477498,11
8479407_vs_8477498,14
8481559_vs_8479442,10
8476292_vs_8479442,8
8479407_vs_8479442,7
8477953_vs_8483495,6
8477934_vs_8483495,8
8481617_vs_8475455,9
8477953_vs_8475455,7
8479407_vs_8480834,10
8476292_vs_8476967,9
8479407_vs_8476967,12
8476292_vs_8480834,7
8478233_vs_8476462,10
8477508_vs_8476462,9
8483531_vs_8477498,3
8481032_vs_8477498,4
8477508_vs_8478399,8
8478233_vs_8478399,8
8476822_vs_8477498,3
8476822_vs_8479442,3
8481032_vs_8479442,4
8483531_vs_8479442,3
8477015_vs_8475218,8
8479996_vs_8480803,8
8481721_vs_8475218,9
8481721_vs_8480803,8
8481721_vs_8480834,4
8479996_vs_8480834,3
8477015_vs_8480834,4
8481721_vs_8476967,7
8479996_vs_8476967,6
8477015_vs_8476967,7
8480002_vs_8480834,8
8480002_vs_8476967,11
8477508_vs_8475455,7
8477508_vs_8477488,4
8479365_vs_8482684,4
8474641_vs_8482684,5
8478458_vs_8482684,3
