,time_together
8478407_vs_8481122,18
8475171_vs_8476457,16
8476457_vs_8481122,18
8475171_vs_8478407,17
8476457_vs_8476931,19
8476931_vs_8478407,26
8475690_vs_8478407,23
8475690_vs_8476457,18
8475690_vs_8476467,13
8476931_vs_8479372,13
8476467_vs_8476931,10
8475690_vs_8479372,12
8476853_vs_8479372,13
8476467_vs_8476853,25
8476457_vs_8476853,24
8476853_vs_8478407,21
8476457_vs_8478443,22
8478407_vs_8478443,22
8479985_vs_8481122,12
8475171_vs_8479985,11
8479324_vs_8481122,11
8475171_vs_8479324,12
8476931_vs_8479324,13
8476931_vs_8479985,13
8475690_vs_8479324,14
8475690_vs_8479985,13
8478443_vs_8479372,7
8476467_vs_8478443,14
8476467_vs_8481122,13
8475171_vs_8476467,13
8478443_vs_8479985,7
8476853_vs_8479324,20
8475171_vs_8479372,14
8476853_vs_8479985,6
8478443_vs_8479324,12
8479372_vs_8481122,10
