,time_together
8475167_vs_8481161,8
8481161_vs_8482655,9
8475167_vs_8479371,13
8479371_vs_8482655,10
8478460_vs_8482655,15
8482655_vs_8483485,15
8475167_vs_8478460,16
8475167_vs_8483485,16
8475167_vs_8478500,18
8478178_vs_8478460,14
8478178_vs_8483485,12
8478178_vs_8478500,15
8474151_vs_8479371,12
8478178_vs_8479371,14
8474151_vs_8478500,13
8478416_vs_8479371,11
8478416_vs_8478500,12
8476923_vs_8478416,11
8474151_vs_8476923,11
8474151_vs_8483485,14
8478416_vs_8483485,15
8474151_vs_8478460,18
8482929_vs_8483485,10
8478460_vs_8482929,12
8478416_vs_8478460,18
8476923_vs_8482655,16
8475167_vs_8476923,14
8478500_vs_8482655,16
8478500_vs_8482929,14
8476923_vs_8482929,13
8476923_vs_8478178,11
8478416_vs_8481161,5
8474151_vs_8481161,6
8479371_vs_8482929,12
8481161_vs_8482929,9
8478178_vs_8481161,10
